Time (ms),50 (nA),75 (nA),100 (nA),125 (nA) ,149 (nA),174 (nA)
0,0.026437407,0.018520698,0.004551393,0.030676791,-0.035659323,-0.013756906
100,0.024415618,0.021229124,0.006039128,0.0254888,-0.028029918,-0.024323622
200,0.027162202,0.032024736,0.005505071,0.015379857,-0.011855593,-0.020547062
300,0.03368534,0.045643217,0.005924678,0.032050086,0.004547604,-0.026383564
400,0.03547825,0.033970234,0.005581359,0.029074612,0.009277831,-0.029320878
500,0.023500093,0.028477055,0.005886536,0.022627781,0.013664735,-0.021691491
600,0.025674469,0.021877624,0.008137206,0.022246305,0.019119754,-0.006890452
700,0.025483733,0.017147398,0.008251651,0.026099151,0.023277768,0.017523619
800,0.026437413,0.007610655,0.01057861,0.020796723,0.034683719,0.011687133
900,0.0334946,0.018558833,0.005810247,0.021330792,0.035599249,0.016150322
1000,0.034791603,0.017528873,0.000851139,0.027853925,0.046471143,0.01542553
1100,0.047723437,0.013294562,-0.008952621,0.024191805,0.045975244,0.020994981
1200,0.063401863,0.01836811,-0.011432181,0.020262671,0.044449362,0.016760677
1300,0.068895031,0.014553406,-0.014331329,0.019270848,0.048416636,0.012335628
1400,0.080110254,0.01699481,-0.020434857,0.028807595,0.036209591,0.012831543
1500,0.077134769,0.017071103,-0.016467582,0.026137296,0.041206853,0.01431927
1600,0.076257413,0.026226381,-0.011622918,0.015418001,0.031097905,0.012068604
1700,0.080110248,0.048618682,-0.025088796,0.029341644,0.039680982,0.012183047
1800,0.085488964,0.043926588,-0.019061577,0.041434236,0.047043351,0.009283876
1900,0.064164814,0.021534304,-0.013988041,0.035445176,0.041130565,0.014052245
2000,0.043489112,0.02473866,-0.005977174,0.016486121,0.039986148,0.005087712
2100,0.035974165,0.01981769,-0.001208802,0.0217504,0.039299509,0.004248476
2200,0.040361071,0.019779542,0.002415159,0.009886713,0.050323995,0.003332954
2300,0.023728985,0.024280887,0.020573137,0.016219092,0.050400287,0.001692629
2400,0.014459259,0.026035654,0.01801728,0.017363514,0.043648263,0.010809746
2500,0.020410205,0.034160974,0.009243472,0.013968424,0.041245004,-0.008149287
2600,0.014611857,0.038318989,0.006039127,0.018584213,0.02621509,-0.010972168
2700,0.004274031,0.038929346,-0.00040771,0.009276361,0.034836309,0.005888793
2800,-0.010946605,0.035457956,0.001690367,0.008780438,0.018890864,0.001883367
2900,-0.018575997,0.04171406,0.001842954,0.012900319,0.013702876,-0.000863218
3000,-0.03009638,0.047703141,0.00149965,0.004355418,0.01408435,-0.012574332
3100,-0.03551325,0.041141862,-0.004298682,0.005042062,0.019157895,-0.016694206
3200,-0.032652239,0.04304921,-0.002429499,0.003935764,0.023087041,0.010008667
3300,-0.026167243,0.030308124,-0.010631083,0.00767422,0.01458026,0.005507322
3400,-0.010984763,0.014667857,-0.017650131,0.002715096,0.022858159,-0.017113825
3500,-0.000837667,0.012874947,-0.020244117,0.003668753,0.031288634,-0.011620668
3600,0.006448402,-0.00486338,-0.018680088,0.004698738,0.031441227,0.014242981
3700,0.008470191,-0.000819812,-0.017917169,-0.006516446,0.023506652,0.002722601
3800,0.019799838,-0.003413795,-0.010211481,-0.01712132,0.016067989,0.013747066
3900,0.027314797,-0.030078514,-0.015017983,-0.022042292,0.016258724,0.013975948
4000,0.010644566,-0.016116722,-0.007655629,-0.011055931,0.032852666,0.017866934
4100,0.007173191,-0.014819738,-0.003688357,-0.00609681,0.037163277,0.01847729
4200,0.002862594,-0.03129924,-0.007998959,-0.014031369,0.031136051,0.026907776
4300,0.001870768,-0.034465409,-0.002353213,-0.01216213,0.007332336,0.013632627
4400,-0.002783163,-0.034007659,-0.005633847,-0.007965982,0.009239681,0.008902407
4500,-0.011442514,-0.033664333,-0.011317729,-0.006821499,0.013092525,0.002798894
4600,-0.009458874,-0.032672529,-0.010859963,-0.006363715,0.003517634,0.005583621
4700,-0.005453444,-0.023059494,-0.003573906,-0.009186623,-0.001403326,0.012869694
4800,-0.008009288,-0.01813855,0.003139955,-0.022080323,0.004433158,-0.00128283
4900,-0.014532421,-0.00028577,0.01515625,-0.026924941,-0.00361585,-0.016617899
5000,-0.026968328,0.010013917,0.024082654,-0.023606122,0.002029899,-0.007615226
5100,-0.024526925,-0.004138615,0.023815618,-0.025437172,0.010651116,-0.011696948
5200,-0.020712227,-0.006389282,0.01534699,-0.010025756,0.002869132,-0.008912226
5300,-0.016783091,-0.010203973,0.016567693,0.009543655,0.004127981,-0.017991207
5400,-0.001371716,-0.010203979,0.009815678,0.017974113,-0.005523207,-0.019097458
5500,0.008851682,0.001087523,0.019009104,0.018889707,-0.017463208,-0.021538877
5600,-0.010336255,-0.001124996,0.020420552,0.021788867,-0.026198867,-0.029320855
5700,-0.01319727,-0.000743531,0.026180742,0.028235685,-0.03268385,-0.018181934
5800,-0.015180919,-0.006084114,0.024235253,0.037963206,-0.016814705,-0.025811333
5900,-0.015066474,-0.002574586,0.029270652,0.034110365,-0.024634839,-0.029626034
6000,-0.014608714,0.000973073,0.026333337,0.033309282,-0.014945506,-0.026040213
6100,-0.011633249,0.014973015,0.023739327,0.032851567,-0.007850165,-0.035958438
6200,-0.010259956,0.024052015,0.013859256,0.030028678,-0.009032723,-0.03496662
6300,-0.010717724,0.022106512,0.007908328,0.004584657,-0.010596757,-0.044312638
6400,0.000917094,0.028438917,0.002567749,0.005118709,-0.015975473,-0.033936659
6500,-0.019834862,0.02313648,-0.010554816,0.004699113,-0.025702952,-0.035920299
6600,-0.002554284,0.026798586,-0.018107913,-0.002167315,-0.028449541,-0.041260864
6700,0.002938876,0.021229134,-0.025889891,-0.018570525,-0.042449486,-0.029473451
6800,0.003816263,0.002880438,-0.021541141,-0.011856653,-0.042678364,-0.030656011
6900,-0.011671394,0.006275513,-0.025317677,-0.016396148,-0.034057148,-0.034928451
7000,-0.017889348,-0.001201279,-0.026500218,-0.018074616,-0.030242449,-0.02867236
7100,-0.02464136,-0.01554454,-0.032145972,-0.009071904,-0.016967302,-0.029549743
7200,-0.001638744,-0.015887864,-0.027263154,-0.009224498,-0.022689347,-0.026116513
7300,-0.010984747,-0.018329276,-0.037143225,-0.011208157,-0.039779186,-0.027413496
7400,-0.002249091,-0.021724338,-0.03695248,-0.016701297,-0.034972674,-0.006241933
7500,-0.014417978,-0.032596215,-0.028026101,-0.019524192,-0.040656576,0.014624457
7600,-0.024641359,-0.01874888,-0.03142118,-0.017540547,-0.035773757,0.014510009
7700,-0.023191781,-0.042247393,-0.020358581,-0.017693126,-0.033828265,0.019736141
7800,-0.016020148,-0.040034899,-0.009219669,-0.023529595,-0.045348666,0.019545393
7900,-0.006674146,-0.057315448,0.000584102,-0.030319758,-0.045691979,0.02130015
8000,-0.009458877,-0.058688754,0.005543212,-0.027039127,-0.051452191,0.026449987
8100,-0.032995556,-0.060367223,0.017864688,-0.030319774,-0.049773715,0.023054915
8200,-0.019453377,-0.049342753,0.003864747,-0.022842955,-0.043136128,0.014777038
8300,-0.022810311,-0.046405416,0.007374268,-0.023987359,-0.052634746,0.012297473
8400,-0.024793956,-0.03747904,0.005695804,-0.022842962,-0.05782274,0.028242892
8500,-0.020025592,-0.023669854,0.001919258,-0.0493551,-0.050117048,0.013098566
8600,-0.033148161,-0.018291131,-0.000636595,-0.044510437,-0.053054358,0.013289305
8700,-0.044897416,-0.011653556,-0.014674689,-0.031349719,-0.057212379,0.008787959
8800,-0.048445086,-0.014781607,-0.010211491,-0.045540392,-0.060493036,0.005469167
8900,-0.041693071,-0.028438226,0.010311597,-0.052559448,-0.061065236,0.004629945
9000,-0.058477724,-0.047855027,-0.004451297,-0.062782845,-0.055114313,0.016150322
9100,-0.062445026,-0.036754252,-0.012424012,-0.056793785,-0.038901811,0.022253837
9200,-0.064466814,-0.02035104,0.007259822,-0.065300539,-0.048438568,0.022711589
9300,-0.061910948,-0.026874187,0.011875615,-0.075066183,-0.060416726,0.016531786
9400,-0.057752946,-0.027217496,0.015919204,-0.082390394,-0.064574741,0.008978685
9500,-0.050924631,-0.020503635,0.013058181,-0.079300493,-0.067855388,0.005507332
9600,-0.041082706,-0.019893273,0.019962779,-0.082962591,-0.072051542,0.012755244
9700,-0.044058172,-0.008411065,0.018742076,-0.073044382,-0.060798179,-0.001053947
9800,-0.041769354,-0.007037775,0.000965601,-0.059845528,-0.072890803,-0.002694266
9900,-0.029104568,-0.009784341,0.002567741,-0.070679242,-0.084601916,-0.008683335
10000,-0.012167311,-0.012759814,0.002491461,-0.073273247,-0.089065123,-0.015397217
10100,-0.014074654,-0.021495451,0.016491411,-0.079758234,-0.083343063,-0.017380842
10200,-0.003050182,-0.017718913,0.014393317,-0.082275953,-0.078116924,-0.01871598
10300,-0.008047433,-0.014323845,0.004894713,-0.094444849,-0.068694618,-0.013108376
10400,0.000497479,-0.019702559,0.002758491,-0.073731007,-0.057403104,-0.005669719
10500,0.009919784,-0.015773429,0.00203369,-0.079414926,-0.058127906,-0.003419055
10600,0.018960617,-0.017032272,-0.002505804,-0.108940709,-0.070029767,-0.00338091
10700,0.027505545,-0.018901463,-0.008685614,-0.108711809,-0.081969799,0.004019598
10800,0.044061336,-0.012721668,-0.011279596,-0.112602845,-0.070792718,0.002035957
10900,0.040055914,-0.024623523,-0.019633791,-0.110390272,-0.058509372,-0.006089348
