file_id,region,condition,candidate_id,mechanism_cluster,current_na,sweep,two_state_proxy_abs_corr,one_state_proxy_abs_corr,corr_delta_one_minus_two,split_sensitivity_status,mechanism_structure_persists,simulation_status,failure_reason
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,100,3,0.16612141614561243,0.43173188938833873,0.2656104732427263,split_sensitive,False,ok,
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,100,3,0.16612141614561243,0.43173188938833873,0.2656104732427263,split_sensitive,False,ok,
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_01,unlabeled,100,3,0.16612141614561243,0.43173188938833873,0.2656104732427263,split_sensitive,False,ok,
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_01,unlabeled,100,3,0.16612141614561243,0.43173188938833873,0.2656104732427263,split_sensitive,False,ok,
3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__cand_01,unlabeled,100,3,0.16612141614561243,0.43173188938833873,0.2656104732427263,split_sensitive,False,ok,
DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__cand_01,unlabeled,100,3,0.16612141614561243,0.43173188938833873,0.2656104732427263,split_sensitive,False,ok,
DH_1_MFA,DH,MFA,DH_1_MFA__cand_34,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__cand_43,unlabeled,100,3,0.9526275591026325,0.9526275591029472,3.1463720517876936e-13,split_robust,False,ok,
DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__cand_01,unlabeled,100,3,0.16612141614561243,0.43173188938833873,0.2656104732427263,split_sensitive,False,ok,
DH_2_MFA,DH,MFA,DH_2_MFA__cand_79,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__cand_94,unlabeled,100,3,0.9413781525453588,0.04145925171570056,-0.8999189008296583,split_sensitive,False,ok,
DH_3_MFA,DH,MFA,DH_3_MFA__cand_74,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
DH_3_MFA_BA,DH,MFA_BA,DH_3_MFA_BA__cand_71,unlabeled,100,3,0.9141791926508429,0.9212970707450651,0.007117878094222152,split_robust,False,ok,
DH_4_MFA,DH,MFA,DH_4_MFA__cand_24,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
DH_4_MFA_BA,DH,MFA_BA,DH_4_MFA_BA__cand_43,unlabeled,100,3,0.9526275591026325,0.9526275591029472,3.1463720517876936e-13,split_robust,False,ok,
DH_5_MFA,DH,MFA,DH_5_MFA__cand_73,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
DH_5_MFA_BA,DH,MFA_BA,DH_5_MFA_BA__cand_44,unlabeled,100,3,0.9526275591026325,0.9526275591029472,3.1463720517876936e-13,split_robust,False,ok,
DH_6_MFA,DH,MFA,DH_6_MFA__cand_81,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_94,unlabeled,100,3,0.9526275591026325,0.9526275591029472,3.1463720517876936e-13,split_robust,False,ok,
VH_1_MFA,VH,MFA,VH_1_MFA__cand_80,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_84,unlabeled,100,3,0.9141791926508429,0.9212970707450651,0.007117878094222152,split_robust,False,ok,
VH_2_MFA,VH,MFA,VH_2_MFA__cand_79,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_117,unlabeled,100,3,0.8507104879108845,0.6142878112382536,-0.23642267667263095,split_robust,False,ok,
VH_3_MFA,VH,MFA,VH_3_MFA__cand_26,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_22,unlabeled,100,3,0.27995564863172934,0.21145775428859248,-0.06849789434313686,split_robust,False,ok,
VH_4_MFA,VH,MFA,VH_4_MFA__cand_80,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_75,unlabeled,100,3,0.8507104879108845,0.6142878112382536,-0.23642267667263095,split_robust,False,ok,
VH_5_MFA,VH,MFA,VH_5_MFA__cand_80,unlabeled,100,3,0.42190028737130625,0.4212588187805274,-0.0006414685907788487,split_robust,False,ok,
