mechanism_cluster,region,condition,n_candidates_before_proxy_exclusion,n_cells_before_proxy_exclusion,n_candidates_after_proxy_exclusion,n_cells_after_proxy_exclusion,holdout_pass_fraction_after_proxy_exclusion,perturbation_robust_fraction_after_proxy_exclusion,proxy_exclusion_support_status,claim_scope
M2,DH,CONTROL,4,4,0,0,,,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M2,DH,MFA,1,1,0,0,,,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M2,DH,MFA_BA,2,2,0,0,,,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M2,VH,MFA,5,5,0,0,,,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M2,VH,MFA_BA,6,6,0,0,,,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M3,DH,CONTROL,3,3,2,2,1.0,1.0,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M3,DH,MFA,2,2,1,1,1.0,1.0,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M3,DH,MFA_BA,4,4,1,1,1.0,1.0,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M3,VH,MFA,1,1,0,0,,,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
M3,VH,MFA_BA,1,1,0,0,,,blocked_or_underpowered_after_proxy_exclusion,proxy_assumption_blocks_or_underpowers_group_claim
