file_id,region,condition,candidate_id,mechanism_cluster,current_na,sweep,proxy_signal,target_signal,pearson_r,spearman_r,scaled_rmse,best_lag_samples,proxy_validity_status,explicit_ecs_variant_required,simulation_status,failure_reason
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,100,3,delta_K_a_t,K_o,-0.16612141614561243,-0.652908067542214,0.9861053062922723,8,proxy_limited,True,ok,
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,100,3,delta_K_a_t,K_o,-0.16612141614561243,-0.652908067542214,0.9861053062922723,8,proxy_limited,True,ok,
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_01,unlabeled,100,3,delta_K_a_t,K_o,-0.16612141614561243,-0.652908067542214,0.9861053062922723,8,proxy_limited,True,ok,
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_01,unlabeled,100,3,delta_K_a_t,K_o,-0.16612141614561243,-0.652908067542214,0.9861053062922723,8,proxy_limited,True,ok,
3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__cand_01,unlabeled,100,3,delta_K_a_t,K_o,-0.16612141614561243,-0.652908067542214,0.9861053062922723,8,proxy_limited,True,ok,
DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__cand_01,unlabeled,100,3,delta_K_a_t,K_o,-0.16612141614561243,-0.652908067542214,0.9861053062922723,8,proxy_limited,True,ok,
DH_1_MFA,DH,MFA,DH_1_MFA__cand_34,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__cand_43,unlabeled,100,3,delta_K_a_t,K_o,0.9526275591026325,0.8223264540337712,0.3041393326062262,-3,proxy_supported,False,ok,
DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__cand_01,unlabeled,100,3,delta_K_a_t,K_o,-0.16612141614561243,-0.652908067542214,0.9861053062922723,8,proxy_limited,True,ok,
DH_2_MFA,DH,MFA,DH_2_MFA__cand_79,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__cand_94,unlabeled,100,3,delta_K_a_t,K_o,-0.9413781525453588,-0.975422138836773,0.3373531886766255,8,proxy_supported,False,ok,
DH_3_MFA,DH,MFA,DH_3_MFA__cand_74,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
DH_3_MFA_BA,DH,MFA_BA,DH_3_MFA_BA__cand_71,unlabeled,100,3,delta_K_a_t,K_o,0.9141791926508429,0.797373358348968,0.4053102561301073,-5,proxy_supported,False,ok,
DH_4_MFA,DH,MFA,DH_4_MFA__cand_24,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
DH_4_MFA_BA,DH,MFA_BA,DH_4_MFA_BA__cand_43,unlabeled,100,3,delta_K_a_t,K_o,0.9526275591026325,0.8223264540337712,0.3041393326062262,-3,proxy_supported,False,ok,
