fit_scope,file_id,candidate_id,simulation_health,trace_rmse_mV,trace_objective_loss,pass_stim_end_depolarization_mV,pass_rise_tau_s,pass_undershoot_magnitude_mV,pass_decay_tau_s,weighted_pass_fraction,weighted_feature_penalty,feature_loss,binary_penalty,peak_depolarization_mV,stim_end_depolarization_mV,rise_slope_mV_per_s,rise_tau_s,plateau_slope_mV_per_s,undershoot_magnitude_mV,decay_slope_mV_per_s,decay_tau_s,return_slope_mV_per_s,plateau_reached_sim,has_undershoot_sim,sweep,current_na,region,condition,pass_peak_depolarization_mV,pass_rise_slope_mV_per_s,pass_plateau_slope_mV_per_s,pass_decay_slope_mV_per_s,pass_return_slope_mV_per_s
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_01,ok,4.1252853931734945,924.4590144639699,False,False,True,False,0.25,0.75,0.75,0.0,2.695246368889073,-0.02724988629005054,-7.75906246585919e-05,34736.75306454204,-1.7403212696061005e-07,0.027250846593105393,-9.087336533673748e-08,29659365.63372175,-3.42639869821218e-08,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_01,ok,6.075394467275746,1809.9205103016006,False,False,True,False,0.25,0.75,0.75,0.0,4.063688291457552,-0.027250903257751702,-2.7110827793756542e-05,149891.708300895,-1.6855261054499322e-08,0.027250992371634197,-8.087102315838025e-09,502490030.7615872,-3.4524112718654355e-09,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_01,ok,7.744422838612285,2820.212182891718,False,False,True,False,0.25,0.75,0.75,0.0,5.621545909017939,-0.027250986314541592,-7.6207345121088e-06,737664.5781434462,-9.91282250221443e-10,0.02725099890650995,-9.91283768287414e-10,5670975445.033236,-5.364117511509088e-10,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_01,ok,8.757286283783408,3537.2451598744124,False,False,True,False,0.25,0.75,0.75,0.0,7.636998619003236,-0.027251009900169265,-1.3084076489177871e-06,5836864.852723818,-6.457898748632364e-10,0.027251007560948892,2.0079558679631188e-09,3803369755.7059603,3.841854283196363e-11,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_01,ok,10.375265960337646,4867.928248427682,False,False,True,False,0.25,0.75,0.75,0.0,8.539207611242958,-0.027251000565598815,-5.572775164882007e-07,15323079.360987928,2.469743627422288e-12,0.027251000560966077,2.467462121867634e-12,3460724902548.693,1.7386141635025629e-12,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_01,ok,12.06572255834163,6471.688235341472,False,False,True,False,0.25,0.75,0.75,0.0,9.130969053870672,-0.027251000587710905,-3.0295888903117293e-07,30139300.692151472,4.166601343147627e-12,0.027251000579923357,4.168118925780416e-12,2190669032352.7751,2.200473763447533e-12,True,True,6,175,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_02,ok,3.564918180959743,735.8765349713312,False,False,True,False,0.25,0.75,0.75,0.0,3.3545036875639056,-0.019822807490328387,-1.228061725491436e-05,273154.3226153007,-5.456087631083892e-09,0.019822837066655552,-2.680260758458888e-09,1251558706.359861,-1.0378183779028875e-09,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_02,ok,5.264682244290716,1414.231818069556,False,False,True,False,0.25,0.75,0.75,0.0,5.017392402128735,-0.019822832513938238,-1.668823988872512e-06,3006543.7910672515,8.925919433655204e-09,0.019822836792585008,-1.0664693711919081e-09,4704675574.996771,-6.678518928071319e-12,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_02,ok,6.67160131779281,2161.1233273515404,False,False,True,False,0.25,0.75,0.75,0.0,6.884570741487266,-0.019822836514563846,1.4315384931459722e-07,48092110.51221977,-9.518346243416566e-12,0.01982283659955897,-9.520625387529201e-12,723121692247.7773,-1.8872056726826187e-12,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_02,ok,7.379325590999703,2592.943044899766,False,False,True,False,0.25,0.75,0.75,0.0,9.26232445536381,-0.019822836640770447,1.5257766469419562e-07,60705637.83977072,-8.498372035341646e-10,0.01982283663897988,9.566188687714148e-13,,9.54629093044399e-13,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_02,ok,8.869504469970417,3647.9593452292256,False,False,True,False,0.25,0.75,0.75,0.0,10.31374023093673,-0.019822835680258777,9.499972254464833e-08,108566003.71742602,-8.664588169162294e-10,0.019822837204074517,8.015090273494481e-11,128679027671.63802,1.5725082071565048e-11,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_02,ok,10.477345258407858,4974.729322130844,False,False,True,False,0.25,0.75,0.75,0.0,10.999219643425803,-0.01982283572037602,6.684903801181402e-08,164538188.88885054,2.1965469864157216e-09,0.01982283868635193,-4.660322867954273e-10,23601840376.896667,1.137474916785111e-10,True,True,6,175,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_03,ok,4.413619305518092,1030.7522231586934,False,False,True,False,0.25,0.75,0.75,0.0,2.364453942724765,-0.02050870296855578,-0.00016741718959877876,14123.125279974314,-1.8413493557150189e-06,0.0205228385299705,-1.130264514832104e-06,2091947.4261969505,-5.86415404570219e-07,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_03,ok,6.498070987101257,2037.3277521416837,False,False,True,False,0.25,0.75,0.75,0.0,3.5736719552863576,-0.020523995236686687,-8.64344680905729e-05,41345.449728938926,-3.5435417135377293e-07,0.02052674542629518,-2.2087115205323172e-07,16179894.576839413,-1.1388893261669517e-07,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_03,ok,8.311869251387929,3205.648335711055,False,False,True,False,0.25,0.75,0.75,0.0,4.9596059085820485,-0.020527128191716315,-3.780546250908157e-05,131187.54749768396,-5.363483539844629e-08,0.020527544375482876,-3.25622512945478e-08,152311517.5212864,-1.7014153710392433e-08,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_03,ok,9.499351986218185,4108.518980743235,False,False,True,False,0.25,0.75,0.75,0.0,6.767063140111063,-0.020527622348595287,-1.1999516182857698e-05,563944.6655172958,-4.636746795597942e-09,0.020527667137812955,-4.636749073992914e-09,1459441309.4439116,-1.3492164405965772e-09,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_03,ok,11.191980897665038,5605.389401530755,False,False,True,False,0.25,0.75,0.75,0.0,7.581324570974047,-0.020527665431600894,-7.004743486199744e-06,1082312.9477774943,-1.5012248111352248e-09,0.020527673828127035,-1.291760445090426e-09,5868986467.102527,-2.1490295152462672e-10,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_03,ok,12.931118106164053,7371.981523084235,False,False,True,False,0.25,0.75,0.75,0.0,8.117105631567227,-0.020527671042344764,-4.8746678954831055e-06,1665160.7464558936,-8.23571971082326e-10,0.02052767985577475,-8.235795664957475e-10,9855885164.932804,-2.788083442832013e-10,True,True,6,175,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_04,ok,3.391392805704697,681.3857975524036,False,False,True,False,0.25,0.75,0.75,0.0,3.575747099637283,-0.007990661814545774,-9.179634340705856e-06,389530.45044301084,-1.7173078325824152e-07,0.00799172605771048,-9.285805109895887e-08,38507669.04236023,-4.032510781785218e-08,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_pre_04,ok,5.017130690928833,1302.663258827878,False,False,True,False,0.25,0.75,0.75,0.0,5.329223358301604,-0.007991772827935506,3.9225434732903804e-06,1358614.2243138088,-2.4315952596746873e-08,0.007991891595722223,-1.2812991461287553e-08,415923430.0907027,-2.587120407729955e-09,True,True,2,75,DH,CONTROL,,,,,
