file_id,region,condition,n_candidates,n_accepted_candidates,best_candidate_id,best_trace_rmse_mV,best_weighted_pass_fraction,holdout_pass_count,holdout_mean_rmse_mV,holdout_mean_pass_fraction,cell_reviewer_facing
1_DH_1_CONTROL,DH,CONTROL,111,2,1_DH_1_CONTROL__hybrid_optuna_087,7.598614341672754,0.3592140714053211,3,7.581328705455518,0.3596089913772268,True
1_DH_2_CONTROL,DH,CONTROL,111,4,1_DH_2_CONTROL__hybrid_optuna_098,13.977227693028652,0.3592629870825042,3,13.982361406690702,0.3593400005006864,True
2_DH_1_CONTROL,DH,CONTROL,111,2,2_DH_1_CONTROL__hybrid_optuna_096,12.448600024573151,0.3592629849136366,3,12.449729895697262,0.3592784978311763,True
3_DH_1_CONTROL,DH,CONTROL,111,3,3_DH_1_CONTROL__hybrid_optuna_097,15.033451490435638,0.3592629849136366,3,15.03473662999395,0.3592932305184015,True
3_DH_2_CONTROL,DH,CONTROL,111,2,3_DH_2_CONTROL__hybrid_optuna_098,14.757077556565273,0.3592629849136366,3,14.75816737558676,0.3592785028336003,True
DH_1_CONTROL,DH,CONTROL,111,3,DH_1_CONTROL__hybrid_optuna_099,14.37998457908929,0.3598312687182541,3,14.379885750991996,0.3598628598328197,True
DH_2_CONTROL,DH,CONTROL,111,1,DH_2_CONTROL__hybrid_optuna_044,6.691091388914987,0.3205460241541799,3,6.680108984440455,0.3200100880015195,True
DH_1_MFA,DH,MFA,111,111,DH_1_MFA__hybrid_optuna_100,6.612076131214443,0.4243595874860515,6,5.002370704090611,0.3528956730180694,True
DH_2_MFA,DH,MFA,111,105,DH_2_MFA__hybrid_optuna_089,6.531705655214541,0.4039584588384186,6,6.514858125927517,0.4034658048643297,True
DH_3_MFA,DH,MFA,111,111,DH_3_MFA__hybrid_optuna_099,5.1738325931057805,0.3999937647234321,6,5.174060065392665,0.4000036341686446,True
DH_4_MFA,DH,MFA,111,105,DH_4_MFA__hybrid_optuna_058,6.987205761191735,0.407066898141559,6,6.708083239584087,0.4028785587054139,True
DH_5_MFA,DH,MFA,111,111,DH_5_MFA__hybrid_optuna_099,7.721973853652833,0.3999937647234321,6,7.72208158024421,0.3999992487855623,True
DH_6_MFA,DH,MFA,111,110,DH_6_MFA__hybrid_optuna_089,6.095703691089766,0.4120279411059476,6,5.750019158511894,0.4041954131080984,True
DH_1_MFA_BA,DH,MFA_BA,111,110,DH_1_MFA_BA__hybrid_pre_07,9.2903736093772,0.5002343326983888,6,9.290373597988715,0.5002343324077609,True
DH_2_MFA_BA,DH,MFA_BA,111,111,DH_2_MFA_BA__hybrid_pre_07,4.77898306267596,0.5002343326983888,6,4.7789830521136345,0.5002343324077609,True
DH_3_MFA_BA,DH,MFA_BA,111,111,DH_3_MFA_BA__hybrid_optuna_084,3.6648485637389294,0.6539194370885316,6,3.664848557554818,0.6539198194098773,True
DH_4_MFA_BA,DH,MFA_BA,111,111,DH_4_MFA_BA__hybrid_optuna_009,5.7407085435306975,0.501154708041544,6,5.747983450966527,0.5011547091449916,True
DH_5_MFA_BA,DH,MFA_BA,111,109,DH_5_MFA_BA__hybrid_optuna_090,7.756491796912903,0.6539194370885316,6,7.756491791800969,0.6539205914599983,True
