file_id,region,condition,n_sweeps,stim_onset_s,stim_offset_s,step_source
1_DH_1_CONTROL,DH,CONTROL,6,11.166,31.116,IP_curr
1_DH_2_CONTROL,DH,CONTROL,6,21.153,41.129,IP_curr
2_DH_1_CONTROL,DH,CONTROL,6,21.144,41.143,IP_curr
3_DH_1_CONTROL,DH,CONTROL,6,21.144,41.166,IP_volt
3_DH_2_CONTROL,DH,CONTROL,6,21.141,41.133,IP_curr
DH_1_CONTROL,DH,CONTROL,6,21.11,41.088,IP_curr
DH_2_CONTROL,DH,CONTROL,6,21.108,41.099,IP_curr
1_VH_1_CONTROL,VH,CONTROL,6,21.076,41.079,IP_curr
1_VH_2_CONTROL,VH,CONTROL,6,21.081,41.092,IP_curr
2_VH_1_CONTROL,VH,CONTROL,6,21.117,41.075,IP_curr
3_VH_1_CONTROL,VH,CONTROL,6,21.097,41.089,IP_curr
DH_1_MFA,DH,MFA,6,21.096,41.082,IP_curr
DH_2_MFA,DH,MFA,6,21.072,41.081,IP_curr
DH_3_MFA,DH,MFA,6,21.111,41.096,IP_curr
DH_4_MFA,DH,MFA,6,21.075,41.075,IP_curr
DH_5_MFA,DH,MFA,6,21.107,41.098,IP_curr
DH_6_MFA,DH,MFA,6,21.107,41.094,IP_curr
VH_1_MFA,VH,MFA,6,21.105,41.078,IP_curr
VH_2_MFA,VH,MFA,6,21.103,41.118,IP_curr
VH_3_MFA,VH,MFA,6,21.088,41.079,IP_curr
VH_4_MFA,VH,MFA,6,21.111,41.081,IP_curr
VH_5_MFA,VH,MFA,6,21.099,41.09,IP_curr
VH_6_MFA,VH,MFA,6,21.087,41.069,IP_curr
VH_7_OG_MFA,VH,MFA,6,21.1646,41.1282,IP_curr
DH_1_MFA_BA,DH,MFA_BA,6,21.106,41.102,IP_curr
DH_2_MFA_BA,DH,MFA_BA,6,21.117,41.116,IP_curr
DH_3_MFA_BA,DH,MFA_BA,6,21.114,41.092,IP_curr
DH_4_MFA_BA,DH,MFA_BA,6,21.118,41.076,IP_curr
DH_5_MFA_BA,DH,MFA_BA,6,21.104,41.078,IP_curr
DH_6_MFA_BA,DH,MFA_BA,6,21.089,41.071,IP_curr
VH_1_MFA_BA,VH,MFA_BA,6,21.072,41.109,IP_curr
VH_2_MFA_BA,VH,MFA_BA,6,21.098,41.07,IP_curr
VH_3_MFA_BA,VH,MFA_BA,6,21.076,41.074,IP_curr
VH_4_MFA_BA,VH,MFA_BA,6,21.075,41.076,IP_curr
VH_5_MFA_BA,VH,MFA_BA,6,21.096,41.093,IP_curr
VH_6_MFA_BA,VH,MFA_BA,6,21.073,41.099,IP_curr
VH_7_OG_MFA_BA,VH,MFA_BA,6,21.122,41.1456,IP_curr
