file_id,region,condition,effective_selection_strategy,n_selected,min_pairwise_effective_log_distance,effective_cluster_count,mean_trace_rmse_mV,mean_weighted_pass_fraction,rank1_retained
1_DH_1_CONTROL,DH,CONTROL,quality_filtered_effective_maximin,5,0.0,2,2.5818613067015477,0.6596295013348366,False
1_DH_2_CONTROL,DH,CONTROL,quality_filtered_effective_maximin,5,1.816085590783547,5,2.919112668699686,0.6770041190305719,True
2_DH_1_CONTROL,DH,CONTROL,quality_filtered_effective_maximin,5,0.4560046946140639,4,2.087938015483598,0.6711271320137217,False
3_DH_1_CONTROL,DH,CONTROL,quality_filtered_effective_maximin,5,1.18556564905698,5,3.2248373103637062,0.6748761878681413,False
3_DH_2_CONTROL,DH,CONTROL,quality_filtered_effective_maximin,5,0.2514278941724711,4,3.4467840295008996,0.6729026536294948,True
DH_1_CONTROL,DH,CONTROL,quality_filtered_effective_maximin,5,3.3283105479544663,5,2.6801297683763226,0.6239410742443583,True
DH_2_CONTROL,DH,CONTROL,quality_filtered_effective_maximin,5,0.9664948518794035,5,2.8011285211704022,0.6320187084885329,True
DH_2_MFA,DH,MFA,quality_filtered_effective_maximin,5,0.9796976974974133,5,3.6719503866089886,0.9998537334011335,False
DH_2_MFA_BA,DH,MFA_BA,quality_filtered_effective_maximin,5,1.3774310329296653,5,2.342008892924779,0.9999981689043415,True
DH_3_MFA,DH,MFA,quality_filtered_effective_maximin,5,0.9000176313582167,5,3.2162192905059173,0.9994623162430638,True
DH_3_MFA_BA,DH,MFA_BA,quality_filtered_effective_maximin,1,,1,1.482898305069652,1.0,True
DH_4_MFA_BA,DH,MFA_BA,quality_filtered_effective_maximin,1,,1,3.9952887464725406,0.9999998125055362,True
DH_5_MFA_BA,DH,MFA_BA,quality_filtered_effective_maximin,5,1.4143080823586547,5,3.291836123605541,0.999996139410935,True
DH_6_MFA,DH,MFA,quality_filtered_effective_maximin,3,0.5820652241701502,3,2.829323602024646,0.9909612646634751,True
DH_6_MFA_BA,DH,MFA_BA,quality_filtered_effective_maximin,5,1.5311109529496973,5,2.846330199486546,0.9999986682799671,True
VH_1_MFA,VH,MFA,quality_filtered_effective_maximin,5,2.3348853658850626,5,2.2598238288377126,0.7717167188846713,True
VH_1_MFA_BA,VH,MFA_BA,quality_filtered_effective_maximin,1,,1,1.205831576143505,0.9915856850710858,True
VH_2_MFA,VH,MFA,quality_filtered_effective_maximin,5,1.7774415535155421,5,2.786289431482876,0.8747550726640789,True
VH_2_MFA_BA,VH,MFA_BA,quality_filtered_effective_maximin,5,2.20635520674785,5,2.0416347286334715,0.9735216659007021,True
VH_3_MFA_BA,VH,MFA_BA,quality_filtered_effective_maximin,5,1.7237284263232646,5,2.6755145380833265,0.973837044982526,True
VH_4_MFA,VH,MFA,quality_filtered_effective_maximin,5,0.20953393490571592,4,2.951287322212556,0.8563317093802134,False
VH_4_MFA_BA,VH,MFA_BA,quality_filtered_effective_maximin,5,0.9189707404586507,5,1.3481582193914772,0.973659090202689,True
VH_5_MFA,VH,MFA,quality_filtered_effective_maximin,5,0.9662151629639402,5,2.5172750484182957,0.7287925738290196,False
VH_5_MFA_BA,VH,MFA_BA,quality_filtered_effective_maximin,5,0.8488084186937498,5,2.180335498303035,0.9738703634478865,False
VH_6_MFA,VH,MFA,quality_filtered_effective_maximin,5,1.77874548011773,5,2.040844545766002,0.849919848369886,False
VH_6_MFA_BA,VH,MFA_BA,quality_filtered_effective_maximin,2,0.0,1,1.283668530080144,0.9872048907828401,True
VH_7_OG_MFA,VH,MFA,quality_filtered_effective_maximin,5,1.1474836796464016,5,2.4500360979862252,0.946406879028892,False
VH_7_OG_MFA_BA,VH,MFA_BA,quality_filtered_effective_maximin,5,1.3865152584417937,5,1.7207264844863566,0.9256778276747244,True
