file_id,region,condition,fit_scope,heldout_sweep,train_sweeps,candidate_id,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,heldout_trace_rmse_mV,heldout_weighted_pass_fraction,simulation_health,heldout_pass
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",1_DH_1_CONTROL__hybrid_optuna_087,3,True,1033578.319059925,11,4.842399700122938,0.5,ok,True
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",1_DH_1_CONTROL__hybrid_optuna_087,3,True,1607040.5852392442,11,5.987389366655575,0.5,ok,True
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",1_DH_1_CONTROL__hybrid_optuna_087,3,True,1470978.7014843572,11,7.080176763839731,0.4076539482633607,ok,True
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",1_DH_1_CONTROL__hybrid_optuna_087,3,True,1814292.7415800511,11,7.844877514712494,0.25,ok,False
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",1_DH_1_CONTROL__hybrid_optuna_087,3,True,1807733.303714455,11,9.134642386652615,0.25,ok,False
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",1_DH_1_CONTROL__hybrid_optuna_087,3,True,1864453.633997917,11,10.59848650074975,0.25,ok,False
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",1_DH_2_CONTROL__hybrid_optuna_098,3,True,1107336.5571900215,11,7.040021974568944,0.5,ok,True
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",1_DH_2_CONTROL__hybrid_optuna_098,3,True,1619175.9019565436,12,9.814321561701838,0.5,ok,True
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",1_DH_2_CONTROL__hybrid_optuna_098,3,True,1549491.213786975,11,12.817611715149264,0.4060400030041181,ok,True
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",1_DH_2_CONTROL__hybrid_optuna_098,3,True,1883426.989852408,11,16.004566223194466,0.25,ok,False
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",1_DH_2_CONTROL__hybrid_optuna_098,3,True,1905423.3753953537,11,18.224134346160064,0.25,ok,False
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",1_DH_2_CONTROL__hybrid_optuna_098,3,True,1869149.3812762636,11,19.99351261936964,0.25,ok,False
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",2_DH_1_CONTROL__hybrid_optuna_096,3,True,1138999.670385364,11,6.721773658921634,0.5,ok,True
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",2_DH_1_CONTROL__hybrid_optuna_096,3,True,1620520.833801864,10,9.176134486016968,0.5,ok,True
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",2_DH_1_CONTROL__hybrid_optuna_096,3,True,1560706.3586738524,10,11.470899737690704,0.4056709869870583,ok,True
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",2_DH_1_CONTROL__hybrid_optuna_096,3,True,1890233.2733429149,10,14.138183822017794,0.25,ok,False
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",2_DH_1_CONTROL__hybrid_optuna_096,3,True,1911634.6832613973,10,15.830782399214732,0.25,ok,False
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",2_DH_1_CONTROL__hybrid_optuna_096,3,True,1955231.4716573416,10,17.36060527032174,0.25,ok,False
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",3_DH_1_CONTROL__hybrid_optuna_097,3,True,1139721.122568858,11,7.604833542205367,0.5,ok,True
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",3_DH_1_CONTROL__hybrid_optuna_097,3,True,1621927.8128929974,11,10.64491486128733,0.5,ok,True
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",3_DH_1_CONTROL__hybrid_optuna_097,3,True,1558367.373607071,10,14.257154249467256,0.4057593831104088,ok,True
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",3_DH_1_CONTROL__hybrid_optuna_097,3,True,1886812.942331794,10,16.933883456812012,0.25,ok,False
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",3_DH_1_CONTROL__hybrid_optuna_097,3,True,1909164.366937636,10,19.51524052561727,0.25,ok,False
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",3_DH_1_CONTROL__hybrid_optuna_097,3,True,1959236.0597553535,10,21.25239314457447,0.25,ok,False
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",3_DH_2_CONTROL__hybrid_optuna_098,3,True,1139428.8798991302,11,7.322934721475438,0.5,ok,True
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",3_DH_2_CONTROL__hybrid_optuna_098,3,True,1621591.1630008032,10,10.465989130812089,0.5,ok,True
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",3_DH_2_CONTROL__hybrid_optuna_098,3,True,1560954.959473997,10,13.45685000183208,0.4056710170016019,ok,True
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",3_DH_2_CONTROL__hybrid_optuna_098,3,True,1890563.0267811515,10,16.82312135953715,0.25,ok,False
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",3_DH_2_CONTROL__hybrid_optuna_098,3,True,1907642.4204147293,10,19.20012680286777,0.25,ok,False
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",3_DH_2_CONTROL__hybrid_optuna_098,3,True,1958952.034279789,10,21.27998223699604,0.25,ok,False
DH_1_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",DH_1_CONTROL__hybrid_optuna_099,3,True,621672.3438998943,12,7.082542043324577,0.5,ok,True
DH_1_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",DH_1_CONTROL__hybrid_optuna_099,3,True,881223.465517366,11,9.924219198062186,0.5,ok,True
