fit_scope,file_id,candidate_id,simulation_health,trace_rmse_mV,trace_objective_loss,pass_stim_end_depolarization_mV,pass_rise_tau_s,pass_undershoot_magnitude_mV,pass_decay_tau_s,weighted_pass_fraction,weighted_feature_penalty,feature_loss,binary_penalty,peak_depolarization_mV,stim_end_depolarization_mV,rise_slope_mV_per_s,rise_tau_s,plateau_slope_mV_per_s,undershoot_magnitude_mV,decay_slope_mV_per_s,decay_tau_s,return_slope_mV_per_s,plateau_reached_sim,has_undershoot_sim,sweep,current_na,region,condition,pass_peak_depolarization_mV,pass_rise_slope_mV_per_s,pass_plateau_slope_mV_per_s,pass_decay_slope_mV_per_s,pass_return_slope_mV_per_s
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_001,ok,0.6589865497113525,179.92984655431752,False,False,True,False,0.25,0.75,0.75,0.0,7.382199076973464,-1.28307227669211e-05,-4.228563299909799e-07,17457936.782289475,-1.4740942349331804e-07,1.5589932374382443e-05,-1.4741204128541954e-07,50078670.72866886,-1.4741204490075418e-07,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_001,ok,0.8804054100812505,201.85619212697355,False,False,True,False,0.25,0.75,0.75,0.0,10.51231162284077,-1.5174742358681216e-05,-5.399310812854119e-07,19469728.61390781,-1.4741212252200678e-07,1.793393948901212e-05,-1.4741169963621758e-07,71312600.34843259,-1.4741100386490818e-07,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_001,ok,1.0777465998443454,237.6405348425029,False,False,True,False,0.25,0.75,0.75,0.0,13.744456702803618,-1.7598792283024522e-05,-6.604426726962632e-07,20810976.139218487,-1.4741768988554157e-07,2.035802522470931e-05,-1.4741768988554334e-07,93234785.55032954,-1.4741157816094645e-07,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_001,ok,0.9597226192801804,251.85228412491267,False,False,True,False,0.25,0.75,0.75,0.0,17.52310195008579,-2.044374652143688e-05,-8.016406323729035e-07,21859049.10809769,-1.3697501806478204e-07,2.3197080565751094e-05,-1.4702545382615757e-07,119184137.8078999,-1.463118184212044e-07,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_001,ok,1.56128145912983,328.8901611256359,False,False,True,False,0.25,0.75,0.75,0.0,19.09586723834217,-2.1620518168674607e-05,-8.604261343403891e-07,22193499.79761045,-1.4740962164985405e-07,2.4379709259392257e-05,-1.474108569015229e-07,129541796.57946812,-1.4741085834765576e-07,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_001,ok,2.725036611825961,594.4463843590531,False,False,True,False,0.25,0.75,0.75,0.0,20.0933437961899,-2.237128585136361e-05,-8.977051482752108e-07,22383010.540594395,-1.474110588541607e-07,2.513048070795776e-05,-1.4741106189104465e-07,136308249.45173663,-1.4741105945069082e-07,True,True,6,175,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_002,ok,0.6560195270825416,178.33806483418573,False,False,True,False,0.25,0.75,0.75,0.0,7.381492352186655,-2.8096005678435176e-05,-8.953975991250686e-07,8243815.216167017,-3.225637633077984e-07,3.413354680503744e-05,-3.225637655854614e-07,22883823.72641595,-3.225535218035821e-07,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_002,ok,0.8781342159252107,199.9785819619049,False,False,True,False,0.25,0.75,0.75,0.0,10.51137018638262,-3.2964224715215096e-05,-1.138482680469171e-06,9232788.839660576,-3.225615524578581e-07,3.9001725866683046e-05,-3.225615486617601e-07,32587176.710900854,-3.225514533797823e-07,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_002,ok,1.0784861224880642,242.0014346191967,False,False,True,False,0.25,0.75,0.75,0.0,13.743307330461164,-3.799652476743631e-05,-1.389568960590362e-06,9890338.457633857,-3.2255922544718934e-07,4.403402733998973e-05,-3.225556419266791e-07,42607555.23719901,-3.2255563569022586e-07,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_002,ok,0.9652028718336216,262.38791015255526,False,False,True,False,0.25,0.75,0.75,0.0,17.521749325224178,-4.3886332619536006e-05,-1.6832245370400604e-06,10409632.784961691,-3.225567162236121e-07,4.992378526935681e-05,-3.225567200197186e-07,54321451.81831287,-3.225520072491749e-07,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_002,ok,1.567067924490198,340.9491734277477,False,False,True,False,0.25,0.75,0.75,0.0,19.094441557735426,-4.633972133660791e-05,-1.8055027285456784e-06,10575692.440584611,-3.225559661138096e-07,5.237714142936056e-05,-3.225559683914714e-07,59197297.3030261,-3.22551773698504e-07,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_002,ok,2.728131935962362,595.1519036413554,False,False,True,False,0.25,0.75,0.75,0.0,20.091875063265743,-4.789642640901093e-05,-1.8830464676925364e-06,10669877.460796865,-3.225549852009917e-07,5.393378862095233e-05,-3.2255159528170214e-07,62290422.23684679,-3.225485461077721e-07,True,True,6,175,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_003,ok,0.6550575731402412,173.59362560384852,False,False,True,False,0.25,0.75,0.75,0.0,7.381830926986495,-4.828277781143697e-06,-1.5862767090391135e-07,46535581.62281811,-5.660372216149095e-08,5.887764970680109e-06,-5.660366521995786e-08,130412596.04481833,-5.6603457067018634e-08,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_003,ok,0.8799389956999796,194.77637322958708,False,False,True,False,0.25,0.75,0.75,0.0,10.511823502555233,-5.678209106463328e-06,-2.0243555526213518e-07,51926764.9842608,-5.66025962375688e-08,6.737681047752631e-06,-5.6602594719128163e-08,185712749.6489642,-5.660275749960679e-08,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_003,ok,1.0828326907778327,244.314254296724,False,False,True,False,0.25,0.75,0.75,0.0,13.743864482867563,-6.557348484648173e-06,-2.418268388511594e-07,56833495.1908572,-5.660107172291168e-08,7.616822756517649e-06,-5.660280730085263e-08,242812417.58587715,-5.660283071015011e-08,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_003,ok,0.9649138076639044,265.18568016344176,False,False,True,False,0.25,0.75,0.75,0.0,17.522410956234566,-7.587138938447424e-06,-2.945608382256573e-07,59486559.93031562,-5.660268582558146e-08,8.646610595519633e-06,-5.6602685825582383e-08,309568542.56401855,-5.660268582558141e-08,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_003,ok,1.5804488995742685,349.01343586611944,False,False,True,False,0.25,0.75,0.75,0.0,19.09514178715837,-8.01492808477633e-06,-3.202331875355949e-07,59628865.87148588,-5.518871442485154e-08,9.075847017925298e-06,-5.6968174548626496e-08,335189637.69603103,-5.6603493039606336e-08,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_003,ok,2.7462919428202417,603.2811519195692,False,False,True,False,0.25,0.75,0.75,0.0,20.092598342587262,-8.28889014314882e-06,-3.329253442540733e-07,60351663.48661494,-5.6602655456763853e-08,9.34836123178684e-06,-5.660265545676307e-08,354976249.44355035,-5.660265545676373e-08,True,True,6,175,DH,CONTROL,,,,,
