file_id,region,condition,fit_scope,heldout_sweep,train_sweeps,candidate_id,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,heldout_trace_rmse_mV,heldout_weighted_pass_fraction,simulation_health,heldout_pass
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",1_DH_1_CONTROL__cand_09,3,True,178.3542508481441,18,,0.0,failed:ODESolverWarningError,False
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",1_DH_1_CONTROL__cand_09,3,True,186.72600415371969,22,1.4794783183216913,0.7142857142857143,ok,True
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",1_DH_1_CONTROL__cand_09,3,True,185.09863250894955,18,1.2555087377319967,0.6686491863052572,ok,True
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",1_DH_1_CONTROL__cand_09,3,True,184.87504414877012,16,2.332027816773463,0.7142857142857143,ok,True
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",1_DH_1_CONTROL__cand_09,3,True,174.95196707548865,17,3.888018688740247,0.6506513868585458,ok,True
1_DH_1_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",1_DH_1_CONTROL__cand_09,3,True,165.3275360940973,21,5.355825152348234,0.6084243003430395,ok,False
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",1_DH_2_CONTROL__cand_10,0,False,86.90683439518851,40,3.5279413667886037,0.6099382050089405,ok,True
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",1_DH_2_CONTROL__cand_10,3,True,98.37886986195689,14,1.7889274878875097,0.7142857142857143,ok,True
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",1_DH_2_CONTROL__cand_10,3,True,98.51548304046325,14,1.16666222733475,0.7142857142857143,ok,True
1_DH_2_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",1_DH_2_CONTROL__cand_10,3,True,95.4130419499002,20,2.1727589003479832,0.7142857142857143,ok,True
