file_id,file,region,condition,group_label,cell_label,source_path
1_DH_1,1_DH_1.atf,DH,CONTROL,DH_CONTROL,1_DH_1,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/1_DH_1.atf
1_DH_2,1_DH_2.atf,DH,CONTROL,DH_CONTROL,1_DH_2,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/1_DH_2.atf
2_DH_1,2_DH_1.atf,DH,CONTROL,DH_CONTROL,2_DH_1,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/2_DH_1.atf
3_DH_1,3_DH_1.atf,DH,CONTROL,DH_CONTROL,3_DH_1,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/3_DH_1.atf
3_DH_2,3_DH_2.atf,DH,CONTROL,DH_CONTROL,3_DH_2,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/3_DH_2.atf
DH_old,DH_old.atf,DH,CONTROL,DH_CONTROL,DH_old,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/DH_old.atf
DH_old_2,DH_old_2.atf,DH,CONTROL,DH_CONTROL,DH_old_2,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/DH_old_2.atf
1_VH_1,1_VH_1.atf,VH,CONTROL,VH_CONTROL,1_VH_1,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/1_VH_1.atf
1_VH_2,1_VH_2.atf,VH,CONTROL,VH_CONTROL,1_VH_2,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/1_VH_2.atf
2_VH_1,2_VH_1.atf,VH,CONTROL,VH_CONTROL,2_VH_1,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/2_VH_1.atf
3_VH_1,3_VH_1.atf,VH,CONTROL,VH_CONTROL,3_VH_1,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/3_VH_1.atf
DH_1_MFA,DH_1_MFA.atf,DH,MFA,DH_MFA,DH_1,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/DH_1_MFA.atf
DH_2_MFA,DH_2_MFA.atf,DH,MFA,DH_MFA,DH_2,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/DH_2_MFA.atf
DH_3_MFA,DH_3_MFA.atf,DH,MFA,DH_MFA,DH_3,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/DH_3_MFA.atf
DH_4_MFA,DH_4_MFA.atf,DH,MFA,DH_MFA,DH_4,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/DH_4_MFA.atf
DH_5_MFA,DH_5_MFA.atf,DH,MFA,DH_MFA,DH_5,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/DH_5_MFA.atf
DH_6_MFA,DH_6_MFA.atf,DH,MFA,DH_MFA,DH_6,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/DH_6_MFA.atf
VH_1_MFA,VH_1_MFA.atf,VH,MFA,VH_MFA,VH_1,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/VH_1_MFA.atf
VH_2_MFA,VH_2_MFA.atf,VH,MFA,VH_MFA,VH_2,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/VH_2_MFA.atf
VH_3_MFA,VH_3_MFA.atf,VH,MFA,VH_MFA,VH_3,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/VH_3_MFA.atf
VH_4_MFA,VH_4_MFA.atf,VH,MFA,VH_MFA,VH_4,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/VH_4_MFA.atf
VH_5_MFA,VH_5_MFA.atf,VH,MFA,VH_MFA,VH_5,/mnt/data/astromodel_step02_work/data/2_K+ Pumps Data/VH_5_MFA.atf
