condition,feature,n_regions,mean_missing_rate,mean_completeness,mean_reliability_weight,any_small_stratum
CONTROL,decay_slope_mV_per_s,2,0.0,1.0,0.9,True
CONTROL,decay_tau_s,2,0.0,1.0,0.9,True
CONTROL,peak_depolarization_mV,2,0.0,1.0,0.45,True
CONTROL,plateau_slope_mV_per_s,2,0.0,1.0,0.9,True
CONTROL,return_slope_mV_per_s,2,0.07738095238095238,0.9226190476190477,0.830952380952381,True
CONTROL,rise_slope_mV_per_s,2,0.0,1.0,0.9,True
CONTROL,rise_tau_s,2,0.0,1.0,0.9,True
CONTROL,stim_end_depolarization_mV,2,0.0,1.0,0.45,True
CONTROL,undershoot_magnitude_mV,2,0.0,1.0,0.9,True
MFA,decay_slope_mV_per_s,2,0.0,1.0,1.0,False
MFA,decay_tau_s,2,0.0,1.0,1.0,False
MFA,peak_depolarization_mV,2,0.0,1.0,0.5,False
MFA,plateau_slope_mV_per_s,2,0.0,1.0,1.0,False
MFA,return_slope_mV_per_s,2,0.22619047619047622,0.7738095238095237,0.7738095238095237,False
MFA,rise_slope_mV_per_s,2,0.0,1.0,1.0,False
MFA,rise_tau_s,2,0.0,1.0,1.0,False
MFA,stim_end_depolarization_mV,2,0.0,1.0,0.5,False
MFA,undershoot_magnitude_mV,2,0.0,1.0,1.0,False
MFA_BA,decay_slope_mV_per_s,2,0.0,1.0,1.0,False
MFA_BA,decay_tau_s,2,0.0,1.0,1.0,False
MFA_BA,peak_depolarization_mV,2,0.0,1.0,0.5,False
MFA_BA,plateau_slope_mV_per_s,2,0.0,1.0,1.0,False
MFA_BA,return_slope_mV_per_s,2,0.6448412698412698,0.3551587301587302,0.3551587301587302,False
MFA_BA,rise_slope_mV_per_s,2,0.0,1.0,1.0,False
MFA_BA,rise_tau_s,2,0.0,1.0,1.0,False
MFA_BA,stim_end_depolarization_mV,2,0.0,1.0,0.5,False
MFA_BA,undershoot_magnitude_mV,2,0.0,1.0,1.0,False
