condition,region,sweep,feature,n_total_rows,n_non_missing,missing_rate,median,q1,q3,iqr,acceptable_lower,acceptable_upper,threshold_scope,reliability_weight
CONTROL,DH,1,decay_slope_mV_per_s,7,7,0.0,10.67495682819381,6.7261988234165795,11.78521972014316,5.059020896726581,-0.8623325216732924,19.373751065233034,region_specific,1.0
CONTROL,DH,1,decay_tau_s,7,7,0.0,0.2240000000000002,0.2015000000000029,0.3490000000000002,0.1474999999999973,-0.01974999999999305,0.5702499999999961,region_specific,1.0
CONTROL,DH,1,peak_depolarization_mV,7,7,0.0,7.602527999999992,6.837189999999978,7.888072000000001,1.0508820000000227,5.260866999999944,9.464395000000035,region_specific,1.0
CONTROL,DH,1,plateau_slope_mV_per_s,7,7,0.0,-0.02141959744780579,-0.039323834804400444,0.002951037905259208,0.042274872709659655,-0.10273614386888993,0.06636334696974869,region_specific,1.0
CONTROL,DH,1,return_slope_mV_per_s,7,7,0.0,0.031702182466168585,0.025138152298903024,0.031798512073832955,0.00666035977492993,0.015147612636508129,0.04178905173622785,region_specific,1.0
CONTROL,DH,1,rise_slope_mV_per_s,7,7,0.0,8.977098973305967,4.99145169476484,9.29297388967467,4.30152219490983,-1.4608315975999053,15.745257182039415,region_specific,1.0
CONTROL,DH,1,rise_tau_s,7,7,0.0,0.28000000000000114,0.26150000000000073,0.4480000000000004,0.18649999999999967,-0.018249999999998767,0.7277499999999999,region_specific,1.0
CONTROL,DH,1,undershoot_magnitude_mV,7,7,0.0,1.1645040000000222,0.6045780000000036,1.467870000000005,0.8632920000000013,-0.6903599999999983,2.762808000000007,region_specific,1.0
CONTROL,DH,2,decay_slope_mV_per_s,7,7,0.0,14.568734291581151,9.055353463098786,17.00819820218645,7.952844739087663,-2.873913645532708,28.93746531081794,region_specific,1.0
CONTROL,DH,2,decay_tau_s,7,7,0.0,0.2430000000000021,0.19950000000000045,0.3699999999999992,0.17049999999999876,-0.05624999999999769,0.6257499999999974,region_specific,1.0
CONTROL,DH,2,peak_depolarization_mV,7,7,0.0,11.071756,10.098313999999991,11.889019999999995,1.7907060000000037,7.412254999999986,14.575079,region_specific,1.0
CONTROL,DH,2,plateau_slope_mV_per_s,7,7,0.0,-0.006853942433990255,-0.04767457092468505,0.01685588495646175,0.06453045588114681,-0.14447025474640526,0.11365156877818197,region_specific,1.0
CONTROL,DH,2,return_slope_mV_per_s,7,7,0.0,0.040809698045554246,0.026522264737295166,0.051969092843336895,0.02544682810604173,-0.011647977421767423,0.09013933500239948,region_specific,1.0
CONTROL,DH,2,rise_slope_mV_per_s,7,7,0.0,14.038428131868121,9.532401576678545,15.62496652265108,6.092564945972535,0.3935541577197412,24.763813941609882,region_specific,1.0
CONTROL,DH,2,rise_tau_s,7,7,0.0,0.24200000000000088,0.22550000000000026,0.3949999999999996,0.16949999999999932,-0.02874999999999872,0.6492499999999986,region_specific,1.0
CONTROL,DH,2,undershoot_magnitude_mV,7,7,0.0,1.910347999999999,0.386884000000002,2.0355479999999986,1.6486639999999966,-2.086111999999993,4.5085439999999934,region_specific,1.0
