scope,region,sweep,feature,experimental_contrast,cond_1,cond_2,mean_cond_1,mean_cond_2,ci_low_cond_1,ci_high_cond_1,ci_low_cond_2,ci_high_cond_2,estimate,pvalue,n_cond_1,n_cond_2,n_files,experimental_direction_raw,qvalue_bh,reject_bh_0p05,experimental_direction
region_DH,DH,1,decay_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,9.119878882934383,4.348748498739332,5.356205887536197,12.88355187833257,2.3072688924915035,6.390228104987161,-4.771130384195051,0.02254889110456619,7,6,13,decrease,0.04261207767792036,True,decrease
region_DH,DH,2,decay_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,12.7507093876933,6.623817461107637,7.468608227792021,18.03281054759458,3.3115476211555412,9.936087301059732,-6.126891926585663,0.03601608055173451,7,6,13,decrease,0.060446568758155815,False,no_clear_change
region_DH,DH,3,decay_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,16.24373732425396,8.406026985139166,8.30997487477988,24.17749977372804,4.017933119869839,12.794120850408493,-7.837710339114794,0.061255389575161884,7,6,13,decrease,0.0957738990100251,False,no_clear_change
region_DH,DH,4,decay_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,18.668426958597454,8.997644640878265,10.404691086820025,26.932162830374885,4.567705237705402,13.427584044051128,-9.670782317719189,0.031658249296050815,7,6,13,decrease,0.05566285590514429,False,no_clear_change
region_DH,DH,5,decay_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,21.097816216063414,10.019203763698904,11.108531720733966,31.087100711392864,5.198310549032736,14.840096978365072,-11.07861245236451,0.03774813888967142,7,6,13,decrease,0.06282893934380389,False,no_clear_change
region_DH,DH,6,decay_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,21.542551712246002,10.596047141507668,11.743157818585438,31.341945605906567,5.466349329898095,15.725744953117243,-10.946504570738334,0.03782825722991526,7,6,13,decrease,0.06282893934380389,False,no_clear_change
region_DH,DH,1,decay_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.33858836841420675,0.7877217586162123,0.16814964538603355,0.50902709144238,0.3326227400847533,1.2428207771476714,0.44913339020200554,0.052797077607807434,7,6,13,increase,0.08318228606573684,False,no_clear_change
region_DH,DH,2,decay_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.3566120249016035,0.8277473444115783,0.1637688008650358,0.5494552489381712,0.28677634727619883,1.3687183415469577,0.4711353195099748,0.07799398020804808,7,6,13,increase,0.11735771316571499,False,no_clear_change
region_DH,DH,3,decay_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.36979156391022067,0.8548917313696288,0.14559526930568528,0.593987858514756,0.2702628332719772,1.4395206294672804,0.48510016745940815,0.09081102530076011,7,6,13,increase,0.13249024967892054,False,no_clear_change
region_DH,DH,4,decay_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.3883317699848798,0.9095124475034098,0.17848412946933284,0.5981794105004268,0.31884023228082836,1.5001846627259912,0.5211806775185299,0.07496630593397552,7,6,13,increase,0.11351364936374841,False,no_clear_change
region_DH,DH,5,decay_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.3966452074182593,0.9512811708695104,0.16799727928825905,0.6252931355482596,0.3320828794912676,1.5704794622477531,0.554635963451251,0.07197440965202037,7,6,13,increase,0.11002457526423497,False,no_clear_change
region_DH,DH,6,decay_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.42589666570176377,0.9932150722981975,0.17077469171289028,0.6810186396906373,0.3757316850932684,1.6106984595031266,0.5673184065964337,0.0677611991700942,7,6,13,increase,0.10458320129146371,False,no_clear_change
region_DH,DH,1,peak_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,7.441753714285716,8.961652333333332,6.657138462305353,8.22636896626608,7.16470608659529,10.758598580071373,1.5198986190476154,0.08829183019882285,7,6,13,increase,0.1304002415244153,False,no_clear_change
region_DH,DH,2,peak_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,10.988730857142858,13.958202666666663,9.821255882666891,12.156205831618825,11.289030162358532,16.627375170974794,2.969471809523805,0.035185518124488564,7,6,13,increase,0.05925981999913864,False,no_clear_change
region_DH,DH,3,peak_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,14.154602857142857,18.53761800000001,12.37510333992219,15.934102374363524,14.747008183473481,22.328227816526535,4.383015142857152,0.030736571143582508,7,6,13,increase,0.05467726157827745,False,no_clear_change
region_DH,DH,4,peak_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,17.056656571428572,22.376336000000006,15.201640234203799,18.911672908653344,18.001188267687233,26.751483732312778,5.319679428571433,0.02468637707754508,7,6,13,increase,0.04592814340008387,True,increase
region_DH,DH,5,peak_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,20.08041028571429,26.952205333333335,17.840514539936684,22.320306031491896,21.4563284792635,32.448082187403166,6.871795047619045,0.021946728202816998,7,6,13,increase,0.041638061412459126,True,increase
region_DH,DH,6,peak_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,22.82742371428571,29.99396933333334,20.282627171400236,25.372220257171186,24.93501178391579,35.05292688275089,7.166545619047628,0.012925243212855344,7,6,13,increase,0.026400496775193894,True,increase
region_DH,DH,1,plateau_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,-0.015110068945324597,-0.0026954647756397506,-0.04020312276714746,0.009982984876498263,-0.043110790036982545,0.03771986048570305,0.012414604169684847,0.5252596868558128,7,6,13,increase,0.5974916480846127,False,no_clear_change
region_DH,DH,2,plateau_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,-0.017994720986345403,0.01326391546292658,-0.038129387862504985,0.002139945889814178,-0.054622282440565766,0.08115011336641892,0.03125863644927199,0.30179326085879216,7,6,13,increase,0.37335248766036144,False,no_clear_change
region_DH,DH,3,plateau_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,0.005010596787271182,0.016739801877278377,-0.026805002148540143,0.03682619572308251,-0.043625530089687684,0.07710513384424444,0.011729205090007196,0.6738123375772436,7,6,13,increase,0.742346824017267,False,no_clear_change
region_DH,DH,4,plateau_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,-0.02923103653066773,0.024589940728173623,-0.060492893219647834,0.0020308201583123693,-0.042494372752989576,0.09167425420933682,0.05382097725884136,0.10449030365338345,7,6,13,increase,0.14927186236197634,False,no_clear_change
region_DH,DH,5,plateau_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,-0.009838335049955474,0.02123553178180332,-0.060658662054630906,0.04098199195471996,-0.0431890194568116,0.08566008302041823,0.031073866831758792,0.3618000425954166,7,6,13,increase,0.43744085754609563,False,no_clear_change
region_DH,DH,6,plateau_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,-0.0038392932341613792,0.030379976410261512,-0.04611521582659839,0.03843662935827563,-0.04376396139837693,0.10452391421889995,0.034219269644422894,0.33741204067665304,7,6,13,increase,0.41421426988438226,False,no_clear_change
region_DH,DH,1,return_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,0.030502262339941476,0.03611178998582499,0.024654031994282836,0.036350492685600116,-0.02999983281969127,0.10222341279134126,0.005609527645883513,0.7512765192697838,6,3,13,increase,0.8085487202903503,False,no_clear_change
region_DH,DH,2,return_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,0.03985078189759757,0.04283455787775323,0.019720252579733474,0.05998131121546166,-0.012270881573015376,0.09793999732852182,0.002983775980155659,0.8824239925704602,6,4,13,increase,0.9089345846219332,False,no_clear_change
region_DH,DH,3,return_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,0.04369780214568644,0.042789741833908365,0.029460139875821433,0.05793546441555145,0.017800276629481436,0.06777920703833529,-0.0009080603117780778,0.9278615325757075,6,4,13,decrease,0.9396066152665392,False,no_clear_change
region_DH,DH,4,return_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,0.05565162312015494,0.5924802896375309,0.03640086994113461,0.07490237629917526,-0.861024234020321,2.045984813295383,0.5368286665173759,0.3631433475705496,7,5,13,increase,0.43796182621573826,False,no_clear_change
region_DH,DH,5,return_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,0.056250200710983154,0.05083648572056575,0.036902249838993886,0.07559815158297242,0.0035244110521730487,0.09814856038895844,-0.005413714990417408,0.761495723156553,7,4,13,decrease,0.8158882748105925,False,no_clear_change
region_DH,DH,6,return_slope_mV_per_s,CONTROL_to_MFA,CONTROL,MFA,0.05555676930909168,0.06735406992966411,0.03475716636328325,0.0763563722549001,-0.016528622960863285,0.1512367628201915,0.01179730062057243,0.6941103550626846,7,4,13,increase,0.7577540538744312,False,no_clear_change
