scope,region,experimental_contrast,feature,estimate,experimental_direction,n_sweeps,n_obs,min_qvalue_bh
region_blind,ALL,CONTROL_to_MFA,decay_slope_mV_per_s,-7.401743923330567,decrease,6,144,0.012006170691910971
region_blind,ALL,CONTROL_to_MFA,decay_tau_s,0.41272382165870336,increase,6,144,0.0029226400024073814
region_blind,ALL,CONTROL_to_MFA,peak_depolarization_mV,2.1251308503496524,no_clear_change,6,144,0.15414614897912715
region_blind,ALL,CONTROL_to_MFA,plateau_slope_mV_per_s,0.027737621177779434,no_clear_change,6,144,0.04464627998709657
region_blind,ALL,CONTROL_to_MFA,return_slope_mV_per_s,-0.004748860156996888,no_clear_change,6,122,0.11423459890883735
region_blind,ALL,CONTROL_to_MFA,rise_slope_mV_per_s,-8.072455043381426,decrease,6,144,0.008365255433340163
region_blind,ALL,CONTROL_to_MFA,rise_tau_s,0.3326342929251973,increase,6,144,0.0012077497788967168
region_blind,ALL,CONTROL_to_MFA,stim_end_depolarization_mV,2.319206293706295,no_clear_change,6,144,0.13665137343943914
region_blind,ALL,CONTROL_to_MFA,undershoot_magnitude_mV,-0.671725172027976,no_clear_change,6,144,0.02217499874584542
region_blind,ALL,CONTROL_to_MFA_BA,decay_slope_mV_per_s,-11.70407940701916,decrease,6,144,0.0011201638384687512
region_blind,ALL,CONTROL_to_MFA_BA,decay_tau_s,0.46837035522160375,increase,6,144,0.000147184548909871
region_blind,ALL,CONTROL_to_MFA_BA,peak_depolarization_mV,-3.8909208783216824,decrease,6,144,0.012006170691910971
region_blind,ALL,CONTROL_to_MFA_BA,plateau_slope_mV_per_s,0.08011671055177813,increase,6,144,9.461358876095858e-06
region_blind,ALL,CONTROL_to_MFA_BA,return_slope_mV_per_s,0.053809298722174076,no_clear_change,6,89,0.007679261189465392
region_blind,ALL,CONTROL_to_MFA_BA,rise_slope_mV_per_s,-14.996159709274684,decrease,6,144,0.00026532331369574124
region_blind,ALL,CONTROL_to_MFA_BA,rise_tau_s,1.782361791049107,increase,6,144,6.862316619625247e-09
region_blind,ALL,CONTROL_to_MFA_BA,stim_end_depolarization_mV,-3.5056013986013985,no_clear_change,6,144,0.021368169397924058
region_blind,ALL,CONTROL_to_MFA_BA,undershoot_magnitude_mV,-1.4164741538461556,decrease,6,144,8.202757213318868e-05
region_blind,ALL,MFA_to_MFA_BA,decay_slope_mV_per_s,-3.945573074178684,decrease,6,156,0.0006132770391782781
region_blind,ALL,MFA_to_MFA_BA,decay_tau_s,0.060869330243435216,no_clear_change,6,156,0.11134982985533348
region_blind,ALL,MFA_to_MFA_BA,peak_depolarization_mV,-6.033786923076925,decrease,6,156,0.007702014887876897
region_blind,ALL,MFA_to_MFA_BA,plateau_slope_mV_per_s,0.054150380984155644,increase,6,156,0.008828303247209486
region_blind,ALL,MFA_to_MFA_BA,return_slope_mV_per_s,0.042382559377434494,no_clear_change,6,89,0.15055282983496576
region_blind,ALL,MFA_to_MFA_BA,rise_slope_mV_per_s,-6.923704665893258,decrease,6,156,0.00012177230169303946
region_blind,ALL,MFA_to_MFA_BA,rise_tau_s,1.4577316411708954,increase,6,156,2.060448037199682e-06
region_blind,ALL,MFA_to_MFA_BA,stim_end_depolarization_mV,-5.824807692307694,decrease,6,156,0.00984531146628819
region_blind,ALL,MFA_to_MFA_BA,undershoot_magnitude_mV,-0.7615464615384606,decrease,6,156,0.012799441927080947
