feature,sweep,contrast_label,experimental_contrast,cond_1,cond_2,n_DH_cond1,n_DH_cond2,n_VH_cond1,n_VH_cond2,diff_DH_cond2_minus_cond1,diff_VH_cond2_minus_cond1,delta_of_delta_DH_minus_VH,estimate_DH_minus_VH,experimental_direction,pvalue,qvalue_bh,reject_bh_0p05
peak_depolarization_mV,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,1.5198986190476154,-0.15397588571428056,1.673874504761896,1.673874504761896,increase,,,False
stim_end_depolarization_mV,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,1.6983345238095229,-0.09079285714285579,1.7891273809523787,1.7891273809523787,increase,,,False
rise_slope_mV_per_s,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-3.583112134460199,-1.768955041065941,-1.814157093394258,-1.814157093394258,decrease,,,False
rise_tau_s,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.48007692712480315,0.3556801441704073,0.12439678295439588,0.12439678295439588,increase,,,False
plateau_slope_mV_per_s,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.012414604169684849,-0.05059591747663007,0.06301052164631492,0.06301052164631492,increase,,,False
decay_slope_mV_per_s,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-4.771130384195051,-2.2777021906726005,-2.4934281935224507,-2.4934281935224507,decrease,,,False
decay_tau_s,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.44913339020200554,0.3869349231034498,0.062198467098555754,0.062198467098555754,increase,,,False
undershoot_magnitude_mV,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-0.30710414285714194,0.1988501714285782,-0.5059543142857201,-0.5059543142857201,decrease,,,False
return_slope_mV_per_s,1,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,6,3,2,7,0.005609527645883513,0.029240982350446088,-0.023631454704562575,-0.023631454704562575,decrease,,,False
peak_depolarization_mV,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-2.573422333333329,-3.3304549714285723,0.7570326380952435,0.7570326380952435,increase,,,False
stim_end_depolarization_mV,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-2.4126749999999992,-3.1738428571428585,0.7611678571428593,0.7611678571428593,increase,,,False
rise_slope_mV_per_s,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-2.6434315001663524,-2.286007353287695,-0.3574241468786572,-0.3574241468786572,decrease,,,False
rise_tau_s,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.924809747110927,1.1729202249959187,-0.24811047788499174,-0.24811047788499174,decrease,,,False
plateau_slope_mV_per_s,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.0441497528831719,0.012739650588126393,0.031410102295045504,0.031410102295045504,increase,,,False
decay_slope_mV_per_s,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-2.676301443864566,-2.5693102760883546,-0.10699116777621143,-0.10699116777621143,decrease,,,False
decay_tau_s,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.16683279056743672,0.2868274621898296,-0.11999467162239286,-0.11999467162239286,decrease,,,False
undershoot_magnitude_mV,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-0.6070296666666692,-0.5410461714285759,-0.06598349523809333,-0.06598349523809333,decrease,,,False
return_slope_mV_per_s,1,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,3,1,7,3,0.0035099090929885807,-0.00742597160960444,0.01093588070259302,0.01093588070259302,increase,,,False
peak_depolarization_mV,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-1.0535237142857135,-3.484430857142853,2.4309071428571394,2.4309071428571394,increase,,,False
stim_end_depolarization_mV,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-0.7143404761904764,-3.2646357142857143,2.550295238095238,2.550295238095238,increase,,,False
rise_slope_mV_per_s,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-6.226543634626552,-4.054962394353636,-2.171581240272916,-2.171581240272916,decrease,,,False
rise_tau_s,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,1.4048866742357302,1.528600369166326,-0.1237136949305957,-0.1237136949305957,decrease,,,False
plateau_slope_mV_per_s,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.05656435705285675,-0.03785626688850367,0.09442062394136042,0.09442062394136042,increase,,,False
decay_slope_mV_per_s,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-7.447431828059617,-4.847012466760955,-2.6004193612986626,-2.6004193612986626,decrease,,,False
decay_tau_s,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.6159661807694423,0.6737623852932794,-0.05779620452383705,-0.05779620452383705,decrease,,,False
undershoot_magnitude_mV,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-0.9141338095238112,-0.3421959999999977,-0.5719378095238135,-0.5719378095238135,decrease,,,False
return_slope_mV_per_s,1,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,6,1,2,3,0.009119436738872094,0.021815010740841648,-0.012695574001969554,-0.012695574001969554,decrease,,,False
peak_depolarization_mV,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,2.9694718095238013,0.14190680000000455,2.8275650095237967,2.8275650095237967,increase,,,False
stim_end_depolarization_mV,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,3.078304761904766,0.3629285714285704,2.7153761904761957,2.7153761904761957,increase,,,False
rise_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-6.021480822812641,-2.982846761828781,-3.03863406098386,-3.03863406098386,decrease,,,False
rise_tau_s,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.4426808517439463,0.3521472386262857,0.09053361311766056,0.09053361311766056,increase,,,False
plateau_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.03125863644927199,0.02614890870694564,0.005109727742326348,0.005109727742326348,increase,,,False
decay_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-6.126891926585663,-3.152849878767598,-2.974042047818065,-2.974042047818065,decrease,,,False
decay_tau_s,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.4711353195099748,0.32226280732819745,0.14887251218177733,0.14887251218177733,increase,,,False
undershoot_magnitude_mV,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-0.3324724761904764,-0.5484018571428572,0.2159293809523808,0.2159293809523808,increase,,,False
return_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,6,4,4,6,0.002983775980155659,-0.0047369504035089174,0.0077207263836645765,0.0077207263836645765,increase,,,False
peak_depolarization_mV,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-3.927033999999985,-5.256972800000003,1.3299388000000185,1.3299388000000185,increase,,,False
stim_end_depolarization_mV,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-3.6682500000000005,-5.164885714285715,1.4966357142857145,1.4966357142857145,increase,,,False
rise_slope_mV_per_s,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-4.419403315548428,-3.809711003858797,-0.6096923116896313,-0.6096923116896313,decrease,,,False
rise_tau_s,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,1.0292341502169855,1.348268489856054,-0.31903433963906846,-0.31903433963906846,decrease,,,False
plateau_slope_mV_per_s,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.0389294411268485,0.030572878248392756,0.008356562878455744,0.008356562878455744,increase,,,False
decay_slope_mV_per_s,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-3.7163965628233107,-3.7893978454740065,0.07300128265069583,0.07300128265069583,increase,,,False
decay_tau_s,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.12137482287391066,0.21422181946361518,-0.09284699658970452,-0.09284699658970452,decrease,,,False
undershoot_magnitude_mV,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-0.8450813333333376,-0.5271702857142851,-0.3179110476190524,-0.3179110476190524,decrease,,,False
return_slope_mV_per_s,2,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,4,1,6,3,-0.011613933050548676,0.12277246309799805,-0.13438639614854672,-0.13438639614854672,decrease,,,False
peak_depolarization_mV,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-0.9575621904761835,-5.115065999999999,4.157503809523815,4.157503809523815,increase,,,False
stim_end_depolarization_mV,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-0.5899452380952344,-4.801957142857145,4.21201190476191,4.21201190476191,increase,,,False
rise_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-10.440884138361069,-6.792557765687578,-3.648326372673491,-3.648326372673491,decrease,,,False
rise_tau_s,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,1.4719150019609317,1.7004157284823398,-0.22850072652140807,-0.22850072652140807,decrease,,,False
plateau_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.07018807757612049,0.05672178695533839,0.013466290620782098,0.013466290620782098,increase,,,False
decay_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-9.843288489408973,-6.9422477242416045,-2.9010407651673686,-2.9010407651673686,decrease,,,False
decay_tau_s,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.5925101423838854,0.5364846267918126,0.056025515592072805,0.056025515592072805,increase,,,False
undershoot_magnitude_mV,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-1.177553809523814,-1.0755721428571423,-0.10198166666667174,-0.10198166666667174,decrease,,,False
return_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,6,1,4,3,-0.008630157070393017,0.11803551269448914,-0.12666566976488217,-0.12666566976488217,decrease,,,False
peak_depolarization_mV,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,4.38301514285715,0.1958238000000012,4.187191342857149,4.187191342857149,increase,,,False
stim_end_depolarization_mV,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,4.362450000000004,0.41374642857142696,3.9487035714285774,3.9487035714285774,increase,,,False
rise_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-7.877139597189082,-4.678583318194469,-3.198556278994613,-3.198556278994613,decrease,,,False
rise_tau_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.36592681998579096,0.3172705911173458,0.04865622886844517,0.04865622886844517,increase,,,False
plateau_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.011729205090007192,0.03878249423781917,-0.027053289147811976,-0.027053289147811976,decrease,,,False
decay_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-7.837710339114794,-4.764666556792622,-3.0730437823221726,-3.0730437823221726,decrease,,,False
decay_tau_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.48510016745940815,0.33153620575494513,0.15356396170446301,0.15356396170446301,increase,,,False
undershoot_magnitude_mV,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-0.806059809523812,-0.16786731428572088,-0.6381924952380911,-0.6381924952380911,decrease,,,False
return_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,6,4,4,6,-0.0009080603117780778,-0.014263381344514388,0.01335532103273631,0.01335532103273631,increase,,,False
peak_depolarization_mV,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-5.0602586666666785,-6.42822342857143,1.3679647619047515,1.3679647619047515,increase,,,False
stim_end_depolarization_mV,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-4.780050000000001,-6.236057142857143,1.4560071428571417,1.4560071428571417,increase,,,False
rise_slope_mV_per_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-6.443985227725605,-5.651542361309758,-0.7924428664158469,-0.7924428664158469,decrease,,,False
rise_tau_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.9943268014561781,1.7482960769940417,-0.7539692755378635,-0.7539692755378635,decrease,,,False
plateau_slope_mV_per_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.026872836056793907,0.06982993488626366,-0.04295709882946975,-0.04295709882946975,decrease,,,False
decay_slope_mV_per_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-4.104016144735756,-4.637830798281671,0.5338146535459147,0.5338146535459147,increase,,,False
