region,condition,feature,estimate,n_sweeps,pvalue,label,qvalue_bh,reject_bh_0p05
DH,CONTROL,peak_depolarization_mV,3.0601554857142856,6,,slope__DH__CONTROL,,False
DH,CONTROL,stim_end_depolarization_mV,3.067106734693878,6,,slope__DH__CONTROL,,False
DH,CONTROL,rise_slope_mV_per_s,4.707497406713476,6,,slope__DH__CONTROL,,False
DH,CONTROL,rise_tau_s,-0.02513127578732373,6,,slope__DH__CONTROL,,False
DH,CONTROL,plateau_slope_mV_per_s,0.0013308972299156264,6,,slope__DH__CONTROL,,False
DH,CONTROL,decay_slope_mV_per_s,2.5594106933146272,6,,slope__DH__CONTROL,,False
DH,CONTROL,decay_tau_s,0.016433749716068907,6,,slope__DH__CONTROL,,False
DH,CONTROL,undershoot_magnitude_mV,0.2645471428571428,6,,slope__DH__CONTROL,,False
DH,CONTROL,return_slope_mV_per_s,0.005326417493153611,6,,slope__DH__CONTROL,,False
DH,MFA,peak_depolarization_mV,4.22806602857143,6,,slope__DH__MFA,,False
DH,MFA,stim_end_depolarization_mV,4.196961666666668,6,,slope__DH__MFA,,False
DH,MFA,rise_slope_mV_per_s,2.741771003598448,6,,slope__DH__MFA,,False
DH,MFA,rise_tau_s,-0.0701313496109921,6,,slope__DH__MFA,,False
DH,MFA,plateau_slope_mV_per_s,0.005632634106772337,6,,slope__DH__MFA,,False
DH,MFA,decay_slope_mV_per_s,1.2004077079244169,6,,slope__DH__MFA,,False
DH,MFA,decay_tau_s,0.041505393254785784,6,,slope__DH__MFA,,False
DH,MFA,undershoot_magnitude_mV,0.1172287142857129,6,,slope__DH__MFA,,False
DH,MFA,return_slope_mV_per_s,0.02085450660146447,6,,slope__DH__MFA,,False
DH,MFA_BA,peak_depolarization_mV,3.5114235047619036,6,,slope__DH__MFA_BA,,False
DH,MFA_BA,stim_end_depolarization_mV,3.5117476190476182,6,,slope__DH__MFA_BA,,False
DH,MFA_BA,rise_slope_mV_per_s,0.7789091126481791,6,,slope__DH__MFA_BA,,False
DH,MFA_BA,rise_tau_s,-0.06958374056589813,6,,slope__DH__MFA_BA,,False
DH,MFA_BA,plateau_slope_mV_per_s,0.006857625024153043,6,,slope__DH__MFA_BA,,False
DH,MFA_BA,decay_slope_mV_per_s,1.3386586934028795,6,,slope__DH__MFA_BA,,False
DH,MFA_BA,decay_tau_s,-0.017573549903769994,6,,slope__DH__MFA_BA,,False
DH,MFA_BA,undershoot_magnitude_mV,0.08829579047619067,6,,slope__DH__MFA_BA,,False
DH,MFA_BA,return_slope_mV_per_s,0.05652389918713888,6,,slope__DH__MFA_BA,,False
VH,CONTROL,peak_depolarization_mV,3.010350114285715,6,,slope__VH__CONTROL,,False
VH,CONTROL,stim_end_depolarization_mV,2.9639371428571426,6,,slope__VH__CONTROL,,False
VH,CONTROL,rise_slope_mV_per_s,3.683350046771073,6,,slope__VH__CONTROL,,False
VH,CONTROL,rise_tau_s,-0.033514693262132814,6,,slope__VH__CONTROL,,False
VH,CONTROL,plateau_slope_mV_per_s,-0.01274770368827619,6,,slope__VH__CONTROL,,False
VH,CONTROL,decay_slope_mV_per_s,2.026973045747508,6,,slope__VH__CONTROL,,False
VH,CONTROL,decay_tau_s,0.01311503806984812,6,,slope__VH__CONTROL,,False
VH,CONTROL,undershoot_magnitude_mV,0.31838242857142846,6,,slope__VH__CONTROL,,False
VH,CONTROL,return_slope_mV_per_s,0.007469589667694385,6,,slope__VH__CONTROL,,False
VH,MFA,peak_depolarization_mV,3.056606295510204,6,,slope__VH__MFA,,False
VH,MFA,stim_end_depolarization_mV,3.0688734693877544,6,,slope__VH__MFA,,False
VH,MFA,rise_slope_mV_per_s,2.11970131624873,6,,slope__VH__MFA,,False
VH,MFA,rise_tau_s,-0.05647135070216642,6,,slope__VH__MFA,,False
VH,MFA,plateau_slope_mV_per_s,0.0015745445678280589,6,,slope__VH__MFA,,False
VH,MFA,decay_slope_mV_per_s,1.400766710351739,6,,slope__VH__MFA,,False
VH,MFA,decay_tau_s,0.007891850132376345,6,,slope__VH__MFA,,False
VH,MFA,undershoot_magnitude_mV,0.13175107483604653,6,,slope__VH__MFA,,False
VH,MFA,return_slope_mV_per_s,-0.0030338308069998866,6,,slope__VH__MFA,,False
VH,MFA_BA,peak_depolarization_mV,2.145702471836734,6,,slope__VH__MFA_BA,,False
VH,MFA_BA,stim_end_depolarization_mV,2.1391138775510203,6,,slope__VH__MFA_BA,,False
VH,MFA_BA,rise_slope_mV_per_s,0.26958416721062306,6,,slope__VH__MFA_BA,,False
VH,MFA_BA,rise_tau_s,0.13561742618276473,6,,slope__VH__MFA_BA,,False
VH,MFA_BA,plateau_slope_mV_per_s,0.018034224483592664,6,,slope__VH__MFA_BA,,False
VH,MFA_BA,decay_slope_mV_per_s,0.9826026480778813,6,,slope__VH__MFA_BA,,False
VH,MFA_BA,decay_tau_s,-0.04873386889177558,6,,slope__VH__MFA_BA,,False
VH,MFA_BA,undershoot_magnitude_mV,-0.0059868212244899265,6,,slope__VH__MFA_BA,,False
VH,MFA_BA,return_slope_mV_per_s,0.012726027314447132,6,,slope__VH__MFA_BA,,False
