feature,label,region,cond_1,cond_2,estimate,pvalue,qvalue_bh,reject_bh_0p05
peak_depolarization_mV,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,1.1679105428571441,,,False
peak_depolarization_mV,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,-0.7166425238095262,,,False
peak_depolarization_mV,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,0.45126801904761793,,,False
peak_depolarization_mV,delta_slope__VH__CONTROL_to_MFA,VH,CONTROL,MFA,0.046256181224488824,,,False
peak_depolarization_mV,delta_slope__VH__MFA_to_MFA_BA,VH,MFA,MFA_BA,-0.9109038236734697,,,False
peak_depolarization_mV,delta_slope__VH__CONTROL_to_MFA_BA,VH,CONTROL,MFA_BA,-0.8646476424489808,,,False
stim_end_depolarization_mV,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,1.1298549319727895,,,False
stim_end_depolarization_mV,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,-0.6852140476190494,,,False
stim_end_depolarization_mV,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,0.44464088435374016,,,False
stim_end_depolarization_mV,delta_slope__VH__CONTROL_to_MFA,VH,CONTROL,MFA,0.1049363265306118,,,False
stim_end_depolarization_mV,delta_slope__VH__MFA_to_MFA_BA,VH,MFA,MFA_BA,-0.9297595918367341,,,False
stim_end_depolarization_mV,delta_slope__VH__CONTROL_to_MFA_BA,VH,CONTROL,MFA_BA,-0.8248232653061223,,,False
rise_slope_mV_per_s,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,-1.965726403115028,,,False
rise_slope_mV_per_s,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,-1.962861890950269,,,False
rise_slope_mV_per_s,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,-3.928588294065297,,,False
rise_slope_mV_per_s,delta_slope__VH__CONTROL_to_MFA,VH,CONTROL,MFA,-1.5636487305223432,,,False
rise_slope_mV_per_s,delta_slope__VH__MFA_to_MFA_BA,VH,MFA,MFA_BA,-1.8501171490381068,,,False
rise_slope_mV_per_s,delta_slope__VH__CONTROL_to_MFA_BA,VH,CONTROL,MFA_BA,-3.41376587956045,,,False
rise_tau_s,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,-0.04500007382366837,,,False
rise_tau_s,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,0.0005476090450939747,,,False
rise_tau_s,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,-0.044452464778574396,,,False
rise_tau_s,delta_slope__VH__CONTROL_to_MFA,VH,CONTROL,MFA,-0.022956657440033605,,,False
rise_tau_s,delta_slope__VH__MFA_to_MFA_BA,VH,MFA,MFA_BA,0.19208877688493114,,,False
rise_tau_s,delta_slope__VH__CONTROL_to_MFA_BA,VH,CONTROL,MFA_BA,0.16913211944489753,,,False
plateau_slope_mV_per_s,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,0.00430173687685671,,,False
plateau_slope_mV_per_s,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,0.0012249909173807066,,,False
plateau_slope_mV_per_s,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,0.005526727794237417,,,False
plateau_slope_mV_per_s,delta_slope__VH__CONTROL_to_MFA,VH,CONTROL,MFA,0.01432224825610425,,,False
plateau_slope_mV_per_s,delta_slope__VH__MFA_to_MFA_BA,VH,MFA,MFA_BA,0.016459679915764604,,,False
plateau_slope_mV_per_s,delta_slope__VH__CONTROL_to_MFA_BA,VH,CONTROL,MFA_BA,0.030781928171868853,,,False
decay_slope_mV_per_s,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,-1.3590029853902104,,,False
decay_slope_mV_per_s,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,0.1382509854784626,,,False
decay_slope_mV_per_s,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,-1.2207519999117478,,,False
decay_slope_mV_per_s,delta_slope__VH__CONTROL_to_MFA,VH,CONTROL,MFA,-0.626206335395769,,,False
decay_slope_mV_per_s,delta_slope__VH__MFA_to_MFA_BA,VH,MFA,MFA_BA,-0.4181640622738576,,,False
decay_slope_mV_per_s,delta_slope__VH__CONTROL_to_MFA_BA,VH,CONTROL,MFA_BA,-1.0443703976696266,,,False
decay_tau_s,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,0.025071643538716878,,,False
decay_tau_s,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,-0.059078943158555774,,,False
decay_tau_s,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,-0.0340072996198389,,,False
decay_tau_s,delta_slope__VH__CONTROL_to_MFA,VH,CONTROL,MFA,-0.0052231879374717745,,,False
decay_tau_s,delta_slope__VH__MFA_to_MFA_BA,VH,MFA,MFA_BA,-0.05662571902415192,,,False
decay_tau_s,delta_slope__VH__CONTROL_to_MFA_BA,VH,CONTROL,MFA_BA,-0.06184890696162369,,,False
undershoot_magnitude_mV,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,-0.1473184285714299,,,False
undershoot_magnitude_mV,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,-0.028932923809522226,,,False
undershoot_magnitude_mV,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,-0.17625135238095213,,,False
undershoot_magnitude_mV,delta_slope__VH__CONTROL_to_MFA,VH,CONTROL,MFA,-0.18663135373538192,,,False
undershoot_magnitude_mV,delta_slope__VH__MFA_to_MFA_BA,VH,MFA,MFA_BA,-0.13773789606053646,,,False
undershoot_magnitude_mV,delta_slope__VH__CONTROL_to_MFA_BA,VH,CONTROL,MFA_BA,-0.32436924979591836,,,False
return_slope_mV_per_s,delta_slope__DH__CONTROL_to_MFA,DH,CONTROL,MFA,0.015528089108310859,,,False
return_slope_mV_per_s,delta_slope__DH__MFA_to_MFA_BA,DH,MFA,MFA_BA,0.03566939258567441,,,False
return_slope_mV_per_s,delta_slope__DH__CONTROL_to_MFA_BA,DH,CONTROL,MFA_BA,0.051197481693985275,,,False
