feature,label,cond_1,cond_2,estimate,experimental_direction,pvalue,qvalue_bh,reject_bh_0p05
peak_depolarization_mV,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,1.1216543616326553,increase,,,False
peak_depolarization_mV,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,0.19426129986394347,increase,,,False
peak_depolarization_mV,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,1.3159156614965988,increase,,,False
stim_end_depolarization_mV,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,1.0249186054421777,increase,,,False
stim_end_depolarization_mV,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,0.2445455442176847,increase,,,False
stim_end_depolarization_mV,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,1.2694641496598624,increase,,,False
rise_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,-0.4020776725926849,decrease,,,False
rise_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,-0.11274474191216233,decrease,,,False
rise_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.514822414504847,decrease,,,False
rise_tau_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,-0.022043416383634766,decrease,,,False
rise_tau_s,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,-0.19154116783983716,decrease,,,False
rise_tau_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.21358458422347193,decrease,,,False
plateau_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,-0.010020511379247539,decrease,,,False
plateau_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,-0.015234688998383898,decrease,,,False
plateau_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.025255200377631435,decrease,,,False
decay_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,-0.7327966499944414,decrease,,,False
decay_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,0.5564150477523202,increase,,,False
decay_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.17638160224212118,decrease,,,False
decay_tau_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,0.030294831476188652,increase,,,False
decay_tau_s,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,-0.002453224134403853,decrease,,,False
decay_tau_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.027841607341784792,increase,,,False
undershoot_magnitude_mV,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,0.03931292516395202,increase,,,False
undershoot_magnitude_mV,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,0.10880497225101424,increase,,,False
undershoot_magnitude_mV,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.14811789741496623,increase,,,False
return_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA,CONTROL,MFA,0.02603150958300513,increase,,,False
return_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__MFA_to_MFA_BA,MFA,MFA_BA,0.019909534464227392,increase,,,False
return_slope_mV_per_s,delta_of_delta_slope__DH_minus_VH__CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.045941044047232524,increase,,,False
