feature,label,cond_1,cond_2,estimate,experimental_direction,pvalue,qvalue_bh,reject_bh_0p05
peak_depolarization_mV,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,0.5552355769030979,increase,,,False
peak_depolarization_mV,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,-0.8212447621978036,decrease,,,False
peak_depolarization_mV,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.26600918529470574,decrease,,,False
stim_end_depolarization_mV,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,0.559939040959041,increase,,,False
stim_end_depolarization_mV,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,-0.8168924175824177,decrease,,,False
stim_end_depolarization_mV,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.2569533766233767,decrease,,,False
rise_slope_mV_per_s,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,-1.9282697821984098,decrease,,,False
rise_slope_mV_per_s,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,-1.9021531837667969,decrease,,,False
rise_slope_mV_per_s,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-3.830422965965207,decrease,,,False
rise_tau_s,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,-0.034596174350454006,decrease,,,False
rise_tau_s,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,0.10368516095885247,increase,,,False
rise_tau_s,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.06908898660839846,increase,,,False
plateau_slope_mV_per_s,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,0.007236102983480941,increase,,,False
plateau_slope_mV_per_s,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,0.009428284993433574,increase,,,False
plateau_slope_mV_per_s,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.016664387976914514,increase,,,False
decay_slope_mV_per_s,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,-1.0575036786741676,decrease,,,False
decay_slope_mV_per_s,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,-0.16135711715740264,decrease,,,False
decay_slope_mV_per_s,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-1.2188607958315703,decrease,,,False
decay_tau_s,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,0.008178847630870368,increase,,,False
decay_tau_s,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,-0.0577579763169537,decrease,,,False
decay_tau_s,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.04957912868608333,decrease,,,False
undershoot_magnitude_mV,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,-0.15907516349987158,decrease,,,False
undershoot_magnitude_mV,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,-0.08752021656006839,decrease,,,False
undershoot_magnitude_mV,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.24659538005993997,decrease,,,False
return_slope_mV_per_s,region_blind_delta_slope__CONTROL_to_MFA,CONTROL,MFA,0.0007871980077985719,increase,,,False
return_slope_mV_per_s,region_blind_delta_slope__MFA_to_MFA_BA,MFA,MFA_BA,0.033456277712082476,increase,,,False
return_slope_mV_per_s,region_blind_delta_slope__CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.03424347571988105,increase,,,False
