condition,feature,estimate,n_sweeps,pvalue,label,qvalue_bh,reject_bh_0p05
CONTROL,peak_depolarization_mV,3.0420444415584416,6,,region_blind_slope__CONTROL,,False
CONTROL,stim_end_depolarization_mV,3.0295905194805197,6,,region_blind_slope__CONTROL,,False
CONTROL,rise_slope_mV_per_s,4.33508018491624,6,,region_blind_slope__CONTROL,,False
CONTROL,rise_tau_s,-0.028179791232708848,6,,region_blind_slope__CONTROL,,False
CONTROL,plateau_slope_mV_per_s,-0.0037885940130632156,6,,region_blind_slope__CONTROL,,False
CONTROL,decay_slope_mV_per_s,2.36579700329022,6,,region_blind_slope__CONTROL,,False
CONTROL,decay_tau_s,0.015226945481079538,6,,region_blind_slope__CONTROL,,False
CONTROL,undershoot_magnitude_mV,0.2841236103896103,6,,region_blind_slope__CONTROL,,False
CONTROL,return_slope_mV_per_s,0.006186769276179362,6,,region_blind_slope__CONTROL,,False
MFA,peak_depolarization_mV,3.5972800184615394,6,,region_blind_slope__MFA,,False
MFA,stim_end_depolarization_mV,3.5895295604395607,6,,region_blind_slope__MFA,,False
MFA,rise_slope_mV_per_s,2.4068104027178303,6,,region_blind_slope__MFA,,False
MFA,rise_tau_s,-0.06277596558316285,6,,region_blind_slope__MFA,,False
MFA,plateau_slope_mV_per_s,0.0034475089704177255,6,,region_blind_slope__MFA,,False
MFA,decay_slope_mV_per_s,1.3082933246160522,6,,region_blind_slope__MFA,,False
MFA,decay_tau_s,0.023405793111949905,6,,region_blind_slope__MFA,,False
MFA,undershoot_magnitude_mV,0.12504844688973873,6,,region_blind_slope__MFA,,False
MFA,return_slope_mV_per_s,0.006973967283977934,6,,region_blind_slope__MFA,,False
MFA_BA,peak_depolarization_mV,2.776035256263736,6,,region_blind_slope__MFA_BA,,False
MFA_BA,stim_end_depolarization_mV,2.772637142857143,6,,region_blind_slope__MFA_BA,,False
MFA_BA,rise_slope_mV_per_s,0.5046572189510334,6,,region_blind_slope__MFA_BA,,False
MFA_BA,rise_tau_s,0.040909195375689614,6,,region_blind_slope__MFA_BA,,False
MFA_BA,plateau_slope_mV_per_s,0.012875793963851299,6,,region_blind_slope__MFA_BA,,False
MFA_BA,decay_slope_mV_per_s,1.1469362074586495,6,,region_blind_slope__MFA_BA,,False
MFA_BA,decay_tau_s,-0.03435218320500379,6,,region_blind_slope__MFA_BA,,False
MFA_BA,undershoot_magnitude_mV,0.03752823032967035,6,,region_blind_slope__MFA_BA,,False
MFA_BA,return_slope_mV_per_s,0.04043024499606041,6,,region_blind_slope__MFA_BA,,False
