feature_a,feature_b,spearman_r,n_rows,is_redundant
peak_depolarization_mV,stim_end_depolarization_mV,0.9983822062429291,222,True
rise_slope_mV_per_s,decay_slope_mV_per_s,0.8891114802483835,222,False
decay_slope_mV_per_s,undershoot_magnitude_mV,0.7787367253351806,222,False
rise_slope_mV_per_s,undershoot_magnitude_mV,0.7758668145715206,222,False
peak_depolarization_mV,rise_slope_mV_per_s,0.6828828097622611,222,False
rise_tau_s,plateau_slope_mV_per_s,0.6749748145158327,222,False
stim_end_depolarization_mV,plateau_level_mV,0.6652654767792114,117,False
stim_end_depolarization_mV,rise_slope_mV_per_s,0.6614478650880655,222,False
peak_depolarization_mV,plateau_level_mV,0.6577949617108004,117,False
rise_tau_s,decay_tau_s,0.6503382834166269,222,False
peak_depolarization_mV,decay_slope_mV_per_s,0.5881415169202033,222,False
stim_end_depolarization_mV,decay_slope_mV_per_s,0.5696164073900819,222,False
decay_tau_s,plateau_slope_mV_per_s,0.5387489025051674,222,False
undershoot_magnitude_mV,return_slope_mV_per_s,0.4824552202320103,150,False
decay_slope_mV_per_s,return_slope_mV_per_s,0.39989155073558824,150,False
rise_slope_mV_per_s,return_slope_mV_per_s,0.3833610382683675,150,False
plateau_level_mV,return_slope_mV_per_s,0.37098326140596566,108,False
peak_depolarization_mV,return_slope_mV_per_s,0.36353437930574695,150,False
stim_end_depolarization_mV,return_slope_mV_per_s,0.3495995377572337,150,False
peak_depolarization_mV,undershoot_magnitude_mV,0.2888078343610335,222,False
stim_end_depolarization_mV,undershoot_magnitude_mV,0.2658413234570356,222,False
plateau_level_mV,undershoot_magnitude_mV,0.2616303482519921,117,False
decay_tau_s,plateau_level_mV,0.24189632693431642,117,False
rise_slope_mV_per_s,plateau_level_mV,0.2411545205233107,117,False
decay_slope_mV_per_s,plateau_level_mV,0.17041316369194803,117,False
rise_tau_s,plateau_level_mV,0.08245290653239222,117,False
stim_end_depolarization_mV,plateau_slope_mV_per_s,0.0644589357330059,222,False
peak_depolarization_mV,plateau_slope_mV_per_s,0.040345582682696904,222,False
stim_end_depolarization_mV,decay_tau_s,-0.004484304932735426,222,False
peak_depolarization_mV,decay_tau_s,-0.0240897716497822,222,False
plateau_slope_mV_per_s,return_slope_mV_per_s,-0.1342690786257167,150,False
plateau_level_mV,plateau_slope_mV_per_s,-0.1660747201366722,117,False
decay_tau_s,return_slope_mV_per_s,-0.23557135872705454,150,False
rise_tau_s,return_slope_mV_per_s,-0.31647806569180853,150,False
stim_end_depolarization_mV,rise_tau_s,-0.3661100176531461,222,False
peak_depolarization_mV,rise_tau_s,-0.39237202017471073,222,False
decay_slope_mV_per_s,plateau_slope_mV_per_s,-0.5039855308913604,222,False
rise_slope_mV_per_s,decay_tau_s,-0.5248073591518593,222,False
rise_slope_mV_per_s,plateau_slope_mV_per_s,-0.5283511500868399,222,False
decay_tau_s,undershoot_magnitude_mV,-0.6321145182992903,222,False
plateau_slope_mV_per_s,undershoot_magnitude_mV,-0.7328831762690908,222,False
decay_slope_mV_per_s,decay_tau_s,-0.7741252808517383,222,False
rise_tau_s,undershoot_magnitude_mV,-0.8180257147691342,222,False
rise_tau_s,decay_slope_mV_per_s,-0.8252991136135426,222,False
rise_slope_mV_per_s,rise_tau_s,-0.9251164400201594,222,False
