region,condition,feature,n_rows,n_cells,n_non_missing,missing_rate,completeness,max_abs_spearman,redundant_flag,small_stratum,reliability_weight
DH,CONTROL,decay_slope_mV_per_s,42,7,42,0.0,1.0,0.8891114802483835,False,False,1.0
DH,CONTROL,decay_tau_s,42,7,42,0.0,1.0,0.7734693888742954,False,False,1.0
DH,CONTROL,peak_depolarization_mV,42,7,42,0.0,1.0,0.998382206242929,True,False,0.5
DH,CONTROL,plateau_slope_mV_per_s,42,7,42,0.0,1.0,0.7359942840256686,False,False,1.0
DH,CONTROL,return_slope_mV_per_s,42,7,39,0.0714285714285714,0.9285714285714286,0.4824552202320103,False,False,0.9285714285714286
DH,CONTROL,rise_slope_mV_per_s,42,7,42,0.0,1.0,0.9251252144947741,False,False,1.0
DH,CONTROL,rise_tau_s,42,7,42,0.0,1.0,0.9251252144947741,False,False,1.0
DH,CONTROL,stim_end_depolarization_mV,42,7,42,0.0,1.0,0.998382206242929,True,False,0.5
DH,CONTROL,undershoot_magnitude_mV,42,7,42,0.0,1.0,0.8179684721648242,False,False,1.0
VH,CONTROL,decay_slope_mV_per_s,24,4,24,0.0,1.0,0.8891114802483835,False,True,0.8
VH,CONTROL,decay_tau_s,24,4,24,0.0,1.0,0.7734693888742954,False,True,0.8
VH,CONTROL,peak_depolarization_mV,24,4,24,0.0,1.0,0.998382206242929,True,True,0.4
VH,CONTROL,plateau_slope_mV_per_s,24,4,24,0.0,1.0,0.7359942840256686,False,True,0.8
VH,CONTROL,return_slope_mV_per_s,24,4,22,0.08333333333333337,0.9166666666666666,0.4824552202320103,False,True,0.7333333333333334
VH,CONTROL,rise_slope_mV_per_s,24,4,24,0.0,1.0,0.9251252144947741,False,True,0.8
VH,CONTROL,rise_tau_s,24,4,24,0.0,1.0,0.9251252144947741,False,True,0.8
VH,CONTROL,stim_end_depolarization_mV,24,4,24,0.0,1.0,0.998382206242929,True,True,0.4
VH,CONTROL,undershoot_magnitude_mV,24,4,24,0.0,1.0,0.8179684721648242,False,True,0.8
DH,MFA,decay_slope_mV_per_s,36,6,36,0.0,1.0,0.8891114802483835,False,False,1.0
