group,sweep,feature,n,mean,median,std,min,q1,q3,max,iqr,ci95_low,ci95_high,acceptable_low_q1,acceptable_high_q3,acceptable_low_ci95,acceptable_high_ci95
pooled,1,peak_depolarization_mV,9,7.1331,7.3083,0.942,5.5818,6.388,7.6025,8.6889,1.2146,6.4091,7.8572,6.388,7.6025,6.4091,7.8572
T,1,peak_depolarization_mV,5,7.5547,7.6025,0.8346,6.388,7.2864,7.8076,8.6889,0.5212,6.5185,8.5909,7.2864,7.8076,6.5185,8.5909
VH,1,peak_depolarization_mV,4,6.6062,6.738,0.8781,5.5818,6.0212,7.3229,7.367,1.3017,5.2089,8.0035,6.0212,7.3229,5.2089,8.0035
pooled,1,rise_slope_mV_per_s,9,6.9449,6.5183,2.5914,3.8319,4.4107,9.2764,10.5347,4.8657,4.953,8.9368,4.4107,9.2764,4.953,8.9368
T,1,rise_slope_mV_per_s,5,8.9232,9.2764,1.4712,6.5183,8.9771,9.3095,10.5347,0.3324,7.0965,10.7499,8.9771,9.3095,7.0965,10.7499
VH,1,rise_slope_mV_per_s,4,4.472,4.4,0.5873,3.8319,4.25,4.622,5.2559,0.372,3.5374,5.4065,4.25,4.622,3.5374,5.4065
pooled,1,rise_tau_s,9,0.3694,0.31,0.1124,0.246,0.295,0.476,0.541,0.181,0.283,0.4558,0.295,0.476,0.283,0.4558
T,1,rise_tau_s,5,0.282,0.295,0.0298,0.246,0.254,0.305,0.31,0.051,0.2449,0.3191,0.254,0.305,0.2449,0.3191
VH,1,rise_tau_s,4,0.4787,0.4895,0.0619,0.395,0.4557,0.5125,0.541,0.0568,0.3803,0.5772,0.4557,0.5125,0.3803,0.5772
pooled,1,plateau_slope_mV_per_s,9,-0.0294,-0.0214,0.0174,-0.0534,-0.0478,-0.0156,-0.0112,0.0321,-0.0427,-0.016,-0.0478,-0.0156,-0.0427,-0.016
T,1,plateau_slope_mV_per_s,5,-0.0338,-0.0311,0.016,-0.0525,-0.0478,-0.0214,-0.0161,0.0264,-0.0536,-0.014,-0.0478,-0.0214,-0.0536,-0.014
VH,1,plateau_slope_mV_per_s,4,-0.0239,-0.0154,0.0198,-0.0534,-0.0251,-0.0142,-0.0112,0.0109,-0.0554,0.0076,-0.0251,-0.0142,-0.0554,0.0076
pooled,1,decay_slope_mV_per_s,9,8.8551,9.3831,3.2193,4.838,5.9674,11.4218,13.3693,5.4543,6.3805,11.3297,5.9674,11.4218,6.3805,11.3297
T,1,decay_slope_mV_per_s,5,11.4006,11.4218,1.5026,9.3831,10.6782,12.1503,13.3693,1.4721,9.5349,13.2662,10.6782,12.1503,9.5349,13.2662
VH,1,decay_slope_mV_per_s,4,5.6733,5.8696,0.5745,4.838,5.5383,6.0046,6.1162,0.4664,4.7592,6.5875,5.5383,6.0046,4.7592,6.5875
pooled,1,decay_tau_s,9,0.2761,0.265,0.0821,0.17,0.223,0.345,0.398,0.122,0.213,0.3392,0.223,0.345,0.213,0.3392
T,1,decay_tau_s,5,0.2378,0.236,0.0328,0.192,0.223,0.265,0.273,0.042,0.1971,0.2785,0.223,0.265,0.1971,0.2785
VH,1,decay_tau_s,4,0.324,0.364,0.1051,0.17,0.3012,0.3868,0.398,0.0855,0.1568,0.4912,0.3012,0.3868,0.1568,0.4912
