feature_a,feature_b,n_complete_pairs,pearson_r,spearman_r,abs_spearman_r,redundant_flag
peak_depolarization_mV,stim_end_depolarization_mV,222,0.9986286923249394,0.998382206242929,0.998382206242929,True
rise_slope_mV_per_s,rise_tau_s,222,-0.6653368734616774,-0.9251164400201595,0.9251164400201595,False
rise_slope_mV_per_s,decay_slope_mV_per_s,222,0.9195964465118214,0.8891114802483835,0.8891114802483835,False
rise_tau_s,decay_slope_mV_per_s,222,-0.5776474974911547,-0.8252991136135427,0.8252991136135427,False
rise_tau_s,undershoot_magnitude_mV,222,-0.6435434515842018,-0.8180257147691342,0.8180257147691342,False
decay_slope_mV_per_s,undershoot_magnitude_mV,222,0.7795450084137039,0.7787367253351806,0.7787367253351806,False
rise_slope_mV_per_s,undershoot_magnitude_mV,222,0.8231018203460579,0.7758668145715207,0.7758668145715207,False
decay_slope_mV_per_s,decay_tau_s,222,-0.6306104292760821,-0.7741252808517384,0.7741252808517384,False
plateau_slope_mV_per_s,undershoot_magnitude_mV,222,-0.6168319144957326,-0.736164900331719,0.736164900331719,False
peak_depolarization_mV,rise_slope_mV_per_s,222,0.536146007346184,0.6828828097622611,0.6828828097622611,False
rise_tau_s,plateau_slope_mV_per_s,222,0.5792883712183959,0.6774042471747563,0.6774042471747563,False
stim_end_depolarization_mV,rise_slope_mV_per_s,222,0.516852911537557,0.6614478650880656,0.6614478650880656,False
rise_tau_s,decay_tau_s,222,0.34209566282973863,0.6503382834166269,0.6503382834166269,False
decay_tau_s,undershoot_magnitude_mV,222,-0.5582402854430419,-0.6321145182992903,0.6321145182992903,False
peak_depolarization_mV,decay_slope_mV_per_s,222,0.46149268020287143,0.5881415169202033,0.5881415169202033,False
stim_end_depolarization_mV,decay_slope_mV_per_s,222,0.44636274145074734,0.5696164073900819,0.5696164073900819,False
plateau_slope_mV_per_s,decay_tau_s,222,0.4986059398935698,0.5399093267729511,0.5399093267729511,False
rise_slope_mV_per_s,plateau_slope_mV_per_s,222,-0.441271946697749,-0.5278904901695722,0.5278904901695722,False
rise_slope_mV_per_s,decay_tau_s,222,-0.4557325484744796,-0.5248073591518594,0.5248073591518594,False
plateau_slope_mV_per_s,decay_slope_mV_per_s,222,-0.40747308381278824,-0.5026912958857037,0.5026912958857037,False
undershoot_magnitude_mV,return_slope_mV_per_s,150,-0.06569801314057089,0.4824552202320103,0.4824552202320103,False
decay_slope_mV_per_s,return_slope_mV_per_s,150,-0.0799902245727465,0.39989155073558824,0.39989155073558824,False
peak_depolarization_mV,rise_tau_s,222,-0.369463559309483,-0.3923720201747108,0.3923720201747108,False
rise_slope_mV_per_s,return_slope_mV_per_s,150,-0.04394415178884574,0.38336103826836754,0.38336103826836754,False
stim_end_depolarization_mV,rise_tau_s,222,-0.3504372192503304,-0.3661100176531461,0.3661100176531461,False
peak_depolarization_mV,return_slope_mV_per_s,150,0.1593075204827661,0.36353437930574695,0.36353437930574695,False
stim_end_depolarization_mV,return_slope_mV_per_s,150,0.16473915881853674,0.3495995377572336,0.3495995377572336,False
rise_tau_s,return_slope_mV_per_s,150,0.09538025448969804,-0.31647806569180853,0.31647806569180853,False
peak_depolarization_mV,undershoot_magnitude_mV,222,0.28180723759186366,0.2888078343610336,0.2888078343610336,False
stim_end_depolarization_mV,undershoot_magnitude_mV,222,0.25551558716886213,0.2658413234570356,0.2658413234570356,False
decay_tau_s,return_slope_mV_per_s,150,0.3825553878335256,-0.23557135872705454,0.23557135872705454,False
plateau_slope_mV_per_s,return_slope_mV_per_s,150,0.1608801231482909,-0.13107604782434776,0.13107604782434776,False
stim_end_depolarization_mV,plateau_slope_mV_per_s,222,0.14810395720153008,0.07078313831149495,0.07078313831149495,False
peak_depolarization_mV,plateau_slope_mV_per_s,222,0.12385979159778816,0.04646139148908867,0.04646139148908867,False
peak_depolarization_mV,decay_tau_s,222,0.152819020561409,-0.024089771649782207,0.024089771649782207,False
stim_end_depolarization_mV,decay_tau_s,222,0.17154703758003023,-0.004484304932735427,0.004484304932735427,False
