condition,sweep,feature,family,n_cells_DH,n_cells_VH,small_stratum,dh_median,vh_median,dh_mean,vh_mean,dh_minus_vh_median,dh_minus_vh_ci95_low,dh_minus_vh_ci95_high
CONTROL,1,decay_slope_mV_per_s,primary_continuous,7,4,True,10.662435228415804,5.873104063704378,9.119878882934383,5.674447209052764,4.789331164711426,-1.9393647554719802,6.572201211883553
CONTROL,2,decay_slope_mV_per_s,primary_continuous,7,4,True,14.567699679009898,8.347715205079167,12.750709387693322,8.474969216612491,6.219984473930731,-3.481587379075825,10.263447978633419
CONTROL,3,decay_slope_mV_per_s,primary_continuous,7,4,True,18.43721762702272,11.563394272891475,16.24373732425396,11.78249134249333,6.873823354131243,-6.164338941745161,12.394462864441907
CONTROL,4,decay_slope_mV_per_s,primary_continuous,7,4,True,22.5288020880684,12.309477921326089,18.668426958597447,12.63744947313279,10.219324166742311,-4.622095834301118,12.943256444561909
CONTROL,5,decay_slope_mV_per_s,primary_continuous,7,4,True,24.85765093140093,15.360340822768205,21.09781621606342,15.516926871911592,9.497310108632725,-8.592430769959291,14.745022414894036
CONTROL,6,decay_slope_mV_per_s,primary_continuous,7,4,True,27.34514901600247,14.96249259630665,21.542551712246002,15.467092309977994,12.38265641969582,-8.28721572179987,16.461162611133066
MFA,1,decay_slope_mV_per_s,primary_continuous,6,7,False,4.782121285885817,3.071972824778824,4.348748498739327,3.3967450183801646,1.7101484611069933,-1.4192071969651538,3.0683641445921803
MFA,2,decay_slope_mV_per_s,primary_continuous,6,7,False,7.358873288749964,4.780713486520631,6.623817461107638,5.32211933784491,2.578159802229333,-2.2668984878056304,4.9450558184125635
MFA,3,decay_slope_mV_per_s,primary_continuous,6,7,False,9.236831688890339,6.046020229111822,8.406026985139146,7.017824785700708,3.1908114597785167,-3.6094237574922383,7.368114898976839
MFA,4,decay_slope_mV_per_s,primary_continuous,6,7,False,10.098322720356268,6.827218479312846,8.997644640878256,8.32376979562844,3.271104241043423,-5.143774334545189,6.222104200100574
MFA,5,decay_slope_mV_per_s,primary_continuous,6,7,False,11.876809724324222,7.503953034394667,10.019203763698906,9.541875797004655,4.372856689929555,-5.406889786026627,6.515808497499687
MFA,6,decay_slope_mV_per_s,primary_continuous,6,7,False,12.472510400291089,8.572364719899989,10.596047141507666,10.409069113360951,3.9001456803911,-6.4943119280133885,6.699647127034572
MFA_BA,1,decay_slope_mV_per_s,primary_continuous,6,7,False,1.609080411735705,0.6520195319800384,1.672447054874766,0.8274347422918102,0.9570608797556666,0.3046068897469181,1.5215468666242726
