scope,region,experimental_contrast,feature,estimate,experimental_direction,n_sweeps,n_obs,min_qvalue_bh
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,decay_slope_mV_per_s,-4.0883025798898895,decrease,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,decay_tau_s,0.1791982218128005,increase,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,peak_depolarization_mV,4.80457298571429,increase,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,plateau_slope_mV_per_s,0.0002903975198366576,no_clear_change,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,return_slope_mV_per_s,0.020236220474130248,no_clear_change,6,122,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,rise_slope_mV_per_s,-3.435610130002441,decrease,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,rise_tau_s,0.0449599639296242,increase,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,stim_end_depolarization_mV,4.570657142857147,increase,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA,undershoot_magnitude_mV,-0.31420780000000836,no_clear_change,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,decay_slope_mV_per_s,-2.8610440388462144,decrease,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,decay_tau_s,0.07398191749090663,no_clear_change,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,peak_depolarization_mV,6.465247319047617,increase,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,plateau_slope_mV_per_s,-0.027644631034695923,no_clear_change,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,return_slope_mV_per_s,-0.014050688705342125,no_clear_change,6,89,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,rise_slope_mV_per_s,-4.328736931826826,decrease,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,rise_tau_s,-0.7785905024366558,decrease,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,stim_end_depolarization_mV,6.342277380952384,increase,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,CONTROL_to_MFA_BA,undershoot_magnitude_mV,-0.07054091904761828,no_clear_change,6,144,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,decay_slope_mV_per_s,1.1577929867931447,no_clear_change,6,156,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,decay_tau_s,-0.1114532634800075,decrease,6,156,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,peak_depolarization_mV,1.3505173238095178,increase,6,156,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,plateau_slope_mV_per_s,-0.026591140877841663,no_clear_change,6,156,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,return_slope_mV_per_s,-0.06818860672053043,no_clear_change,6,89,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,rise_slope_mV_per_s,-0.7010675890527391,decrease,6,156,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,rise_tau_s,-0.8199021076590184,decrease,6,156,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,stim_end_depolarization_mV,1.6707833333333353,increase,6,156,
delta_of_delta_DH_minus_VH,DH_minus_VH,MFA_to_MFA_BA,undershoot_magnitude_mV,0.1999198495452138,no_clear_change,6,156,
