db_name,condition,current_na,parameter_space,mode_index,eigenvalue,log10_eigenvalue,relative_eigenvalue,mode_class,dominant_parameter,dominant_loading_abs,condition_number_estimate,claim_guardrail
CONTROL_75nA.db,CONTROL,75,effective,1,8945.381232006404,3.951598853950749,1.0,stiff,K_bath_value_middle,0.9789883522157877,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,2,69.25170627912914,1.8404304783643748,0.007741615978461359,stiff,eps,0.7477537569769009,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,3,21.04929983807203,1.3232376544938278,0.0023530914213871663,stiff,P_gap_eff,0.6350903116520704,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,4,12.380864256473279,1.0927509620279172,0.001384051046608811,stiff,gamma_t_eff,0.6525677663707797,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,0.43226175443762127,-0.3642531881801523,4.832234012464409e-05,sloppy,volume_ratio_wa_wo,0.8477102096290139,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,0.05810357923140872,-1.2357971138648873,6.49537205004916e-06,sloppy,gki,0.756359775240776,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,0.028971139411739493,-1.5380344240057613,3.238670176300738e-06,sloppy,ca,0.8907409936441902,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,5.200557224152908e-09,-8.283950120517206,5.813678689897992e-13,sloppy,P_gap_eff,0.447254343236492,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,1.0053841544010605e-09,-8.997667963856712,1.1239142618134766e-13,sloppy,gamma_s_eff,0.9999999999999954,8897475848259.668,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,8967.924396947197,3.9526919383327854,1.0,stiff,K_bath_value_middle,0.9777526823342124,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,85.3101177795072,1.9310005415453533,0.00951280519364636,stiff,eps,0.6212329220858269,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,27.46645813502404,1.4388026597267682,0.0030627441667967223,stiff,eps,0.5849327495493242,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,12.458713802169118,1.0954732094617505,0.001389252769170337,stiff,gt,0.6289139525720691,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,5,0.452729097513524,-0.3441615919119559,5.048315278701938e-05,sloppy,wo,0.8447198920403437,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,6,0.06003224118716899,-1.2216154428001917,6.694106521192883e-06,sloppy,gki,0.7236082681324543,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,7,0.0297177537999101,-1.5269840195807136,3.3137828202506284e-06,sloppy,ca,0.8775546618433636,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,8,5.689318247797701e-09,-8.244939772086214,6.344074722278459e-13,sloppy,gt,0.4707350557831773,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,9,1.3671614054391372e-09,-8.86418021011865,1.5245014843173047e-13,sloppy,pk,0.7189370217854028,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,10,9.093703110977565e-10,-9.041259228640797,1.0140253985719578e-13,sloppy,gs,0.9999999999975588,9861685924319.947,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,1,10273.53470731269,4.0117198924548445,1.0,stiff,K_bath_value_middle,0.9777092505106991,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,2,46.63041148486155,1.6686692478545837,0.004538886840151528,stiff,eps,0.8069924968670757,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,3,21.056787445866902,1.3233921132427642,0.0020496146697084406,stiff,P_gap_eff,0.7016539357643109,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,4,0.368270304676866,-0.43383329888854083,3.584650416518587e-05,sloppy,gamma_t_eff,0.5914531110449682,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,5,0.04340422351972501,-1.362468008688746,4.2248578270563425e-06,sloppy,gamma_s_eff,0.8174479479698394,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,6,0.03122574284562145,-1.5054872211710613,3.0394351832378586e-06,sloppy,gki,0.8080156351169109,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,7,0.001436550353523184,-2.8426791466480177,1.3983019422717764e-07,sloppy,volume_ratio_wa_wo,0.6830453380054122,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,8,0.0003294524464188384,-3.482207263158918,3.206807158439194e-08,sloppy,ca,0.8775867500477511,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,effective,9,6.948976598244399e-09,-8.158079150872059,6.763958847871634e-13,sloppy,gamma_t_eff,0.40893428579872604,1478424133693.041,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,1,10342.605607227271,4.0146299641241745,1.0,stiff,K_bath_value_middle,0.9744247139056916,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,2,55.210351140203564,1.7420205092804721,0.005338147197803165,stiff,eps,0.6297808624104113,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,3,28.76830038816428,1.4589142048223604,0.002781533153315001,stiff,eps,0.6479689861963469,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,4,0.36846920593083227,-0.43359880157192854,3.562634213503713e-05,sloppy,gt,0.5947349175408873,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,5,0.04489336571574691,-1.34781783373887,4.340624347541207e-06,sloppy,gs,0.7819606186957571,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,6,0.032436510720973706,-1.4889658701245805,3.136202998817582e-06,sloppy,gki,0.7733983400500373,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,7,0.0014929389010260598,-2.8259579655436955,1.4434843188672056e-07,sloppy,wo,0.6917897132466939,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,8,0.0003318447735646649,-3.479065017949316,3.208521973735287e-08,sloppy,ca,0.8689455997280218,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,9,9.949954570571245e-09,-8.002178902148271,9.620355786957934e-13,sloppy,gt,0.41084696978366947,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
MFA_100nA.db,MFA,100,raw,10,2.429352747792481e-09,-8.614509420025254,2.3488788416092e-13,sloppy,d,0.7386926466597625,4257350282549.7256,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,1,2367.2887596926034,3.3742512359993335,1.0,stiff,K_bath_value_middle,0.9941891818915782,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,2,62.34931179857793,1.794831664170142,0.02633785656409491,stiff,eps,0.6302227985409609,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,3,12.805925159188426,1.107410959377383,0.005409532363449949,stiff,P_gap_eff,0.6937940983824077,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,4,2.7395640611080783,0.43768146029562627,0.0011572580868688851,stiff,gamma_t_eff,0.8530287197287042,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,5,1.6065222338972303,0.20588674046460453,0.000678633828391024,sloppy,gki,0.8058388868380362,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,6,0.00012406585383892705,-3.906347731231941,5.240841588545253e-08,sloppy,volume_ratio_wa_wo,0.7142299779485479,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,7,4.5418036062705255e-07,-6.342771649190931,1.9185676388968646e-10,sloppy,ca,0.8558292595314364,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,8,2.3598309929795473e-09,-8.627119099336957,9.968496590529901e-13,sloppy,ca,0.515923296171465,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,effective,9,3.1515185190303934e-10,-9.501480136518985,1.3312776086680797e-13,sloppy,gamma_s_eff,0.9998558681609171,7511581307226.242,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,raw,1,2372.746854186728,3.375251406277055,1.0,stiff,K_bath_value_middle,0.9930455932759801,5130219353774.368,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,raw,2,72.64535440588135,1.8612078468460183,0.030616563363132534,stiff,eps,0.5630507606220675,5130219353774.368,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,raw,3,17.96607398292073,1.2544531837402113,0.007571846086833692,stiff,d,0.48444042906802387,5130219353774.368,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,raw,4,2.8185438966924337,0.45002480301742476,0.0011878822604775954,stiff,gt,0.8196382727808328,5130219353774.368,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,raw,5,1.6676131809444925,0.22209531916524336,0.0007028196783832956,sloppy,gki,0.7933165554202463,5130219353774.368,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
BARIUM_100nA.db,BARIUM,100,raw,6,0.00012406063680648585,-3.9063659939204234,5.228566064162303e-08,sloppy,wo,0.7141823237520147,5130219353774.368,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
