source_scope,perturbation_context,baseline_condition,simulated_protocol_condition,baseline_candidate_id,db_name,trial_number,current_na,category_id,factor_source,legacy_selection_rule,legacy_configuration_status,biological_perturbation_selection_policy,max_configs_per_category,baseline_sigmoid_state_at_stim_end_10_90,baseline_sigmoid_state_at_sim_end_10_90,baseline_temporal_recruitment_class,baseline_Ko_efficiency_score,baseline_Ko_efficiency_quadrant,perturbed_parameter,perturbation_factor,baseline_value,perturbed_value,perturbed_parameter_1,factor_1,baseline_value_1,perturbed_value_1,perturbed_parameter_2,factor_2,baseline_value_2,perturbed_value_2,simulation_status,failure_reason,perturbed_peak_depolarization_mV,perturbed_stim_end_depolarization_mV,perturbed_rise_slope_mV_per_s,perturbed_rise_tau_s,perturbed_plateau_slope_mV_per_s,perturbed_undershoot_magnitude_mV,perturbed_decay_slope_mV_per_s,perturbed_decay_tau_s,perturbed_return_slope_mV_per_s,perturbed_Ko_baseline_mM,perturbed_Ko_peak_mM,perturbed_Ko_final_mM,perturbed_Ko_peak_delta_mM,perturbed_Ko_recovery_error_mM,perturbed_Ko_rise_t20_s,perturbed_Ko_rise_t80_s,perturbed_Ko_decay_t80_s,perturbed_Ko_decay_t20_s,perturbed_Ko_rise_rate_mM_per_s,perturbed_Ko_decay_rate_abs_mM_per_s,perturbed_Ko_rise_over_decay_rate,perturbed_Ko_efficiency_score,perturbed_Ko_efficiency_status,perturbed_sigmoid_value_at_stim_end,perturbed_sigmoid_value_at_sim_end,perturbed_sigmoid_peak_during_stim,perturbed_sigmoid_state_at_stim_end_10_90,perturbed_sigmoid_state_at_sim_end_10_90,perturbed_sigmoid_peak_state_during_stim_10_90,perturbed_temporal_recruitment_class,baseline_rise_slope_mV_per_s,delta_rise_slope_mV_per_s,direction_rise_slope_mV_per_s,baseline_rise_tau_s,delta_rise_tau_s,direction_rise_tau_s,baseline_decay_slope_mV_per_s,delta_decay_slope_mV_per_s,direction_decay_slope_mV_per_s,baseline_decay_tau_s,delta_decay_tau_s,direction_decay_tau_s,baseline_return_slope_mV_per_s,delta_return_slope_mV_per_s,direction_return_slope_mV_per_s,baseline_stim_end_depolarization_mV,delta_stim_end_depolarization_mV,direction_stim_end_depolarization_mV,baseline_peak_depolarization_mV,delta_peak_depolarization_mV,direction_peak_depolarization_mV,baseline_undershoot_magnitude_mV,delta_undershoot_magnitude_mV,direction_undershoot_magnitude_mV,Ko_efficiency_score,delta_Ko_efficiency_score,direction_Ko_efficiency_score,sigmoid_state_change,sigmoid_phase_transition,Ko_rise_speed_class,Ko_decay_speed_class,Ko_efficiency_quadrant,Ko_rise_fast_slow_cutoff,Ko_decay_fast_slow_cutoff,Ko_efficiency_threshold_source,Ko_efficiency_threshold_interpretation
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,P_gap_eff,0.5,4.2823603036635075e-06,2.1411801518317538e-06,P_gap_eff,0.5,4.2823603036635075e-06,2.1411801518317538e-06,,,,,ok,,5.069667687832535,4.824571083266704,0.8650435779859773,0.6812907632375165,-0.013116256307088937,0.0,-0.32951253039873935,0.4658702245559745,0.041059711592483915,5.204188912640461,6.311140854521188,5.094390673615772,1.1069519418807268,-0.10979823902468944,11.378724117793878,12.167444095579997,30.971100027905994,32.43055437416089,0.8420874123066049,0.5002212713379007,1.683429835069474,1.683429835069474,defined,9.862634807780822e-131,8.868767416299995e-165,9.862634807780822e-131,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,0.1393803122051831,increase,0.6664245794959189,0.014866183741597538,increase,-0.2514357683509673,-0.07807676204777203,decrease,0.4596530612244898,0.006217163331484699,increase,0.020819885764961212,0.020239825827522703,increase,3.813029841619567,1.0115412416471372,increase,4.308095058359754,0.7615726294727807,increase,0.3010087566305941,-0.3010087566305941,decrease,1.683429835069474,1.003128703686225,increase,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,P_gap_eff,0.75,4.2823603036635075e-06,3.2117702277476307e-06,P_gap_eff,0.75,4.2823603036635075e-06,3.2117702277476307e-06,,,,,ok,,4.640860927104384,4.212621701288995,0.7883335465535597,0.672199077640121,-0.021557088908946576,0.16357867841156803,-0.28854250085901023,0.4596530612244898,0.028832917213464846,5.113328683378786,6.219987120833719,5.06753265408587,1.106658437454933,-0.04579602929291582,11.386655403186088,12.224480745298754,30.964068749088053,32.44703207666501,0.7925220557289728,0.4662776666086005,1.6996783515137261,1.6996783515137261,defined,2.6401971900983635e-112,9.711266711524347e-144,2.6401971900983635e-112,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,0.06267028077276549,increase,0.6664245794959189,0.005774498144202056,increase,-0.2514357683509673,-0.03710673250804292,decrease,0.4596530612244898,0.0,no_change,0.020819885764961212,0.008013031448503634,increase,3.813029841619567,0.3995918596694281,increase,4.308095058359754,0.3327658687446302,increase,0.3010087566305941,-0.13743007821902609,decrease,1.6996783515137261,1.019377220130477,increase,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,P_gap_eff,1.0,4.2823603036635075e-06,4.2823603036635075e-06,P_gap_eff,1.0,4.2823603036635075e-06,4.2823603036635075e-06,,,,,ok,,4.308095058359754,3.813029841619567,0.7256632657807942,0.6664245794959189,-0.02332620349693807,0.3010087566305941,-0.2514357683509673,0.4596530612244898,0.020819885764961212,5.039981421482436,6.156409569762694,5.055555304559533,1.1164281482802583,0.015573883077097506,11.396061968674934,12.732359626795411,30.959892076701717,32.48369963219653,0.5012782031739237,0.4334619268293446,1.1564526712660477,1.1564526712660477,defined,8.530087706558955e-98,2.395535752312065e-128,8.530087706558955e-98,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,0.0,no_change,0.6664245794959189,0.0,no_change,-0.2514357683509673,0.0,no_change,0.4596530612244898,0.0,no_change,0.020819885764961212,0.0,no_change,3.813029841619567,0.0,no_change,4.308095058359754,0.0,no_change,0.3010087566305941,0.0,no_change,1.1564526712660477,0.47615153988279857,increase,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,P_gap_eff,1.25,4.2823603036635075e-06,5.352950379579385e-06,P_gap_eff,1.25,4.2823603036635075e-06,5.352950379579385e-06,,,,,ok,,4.0299879980886715,3.549761569015061,0.6739827039381171,0.6603782954813351,-0.021646205234086002,0.31973337285859316,-0.2196150940767474,0.4596530612244898,0.0148758651618791,4.979819904386259,6.111039721410882,5.051299779173234,1.1312198170246228,0.07147987478697448,11.406445802666997,14.166853821674996,30.958143443324158,32.5414608026298,0.245881002207307,0.4015897139038733,0.6122691734733086,0.6122691734733086,defined,3.865131262934108e-86,9.756887774417743e-117,3.865131262934108e-86,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,-0.05168056184267711,decrease,0.6664245794959189,-0.006046284014583847,decrease,-0.2514357683509673,0.03182067427421992,increase,0.4596530612244898,0.0,no_change,0.020819885764961212,-0.0059440206030821115,decrease,3.813029841619567,-0.26326827260450614,decrease,4.308095058359754,-0.2781070602710827,decrease,0.3010087566305941,0.018724616227999036,increase,0.6122691734733086,-0.06803195790994054,decrease,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,P_gap_eff,1.5,4.2823603036635075e-06,6.423540455495261e-06,P_gap_eff,1.5,4.2823603036635075e-06,6.423540455495261e-06,,,,,ok,,3.7946948557389817,3.3759627430362826,0.630972763479949,0.6543993409373474,-0.018240744886129368,0.2704813132989443,-0.19301963251440374,0.4596530612244898,0.010050242831060338,4.929762920053334,6.077999108155109,5.05105320430015,1.1482361881017749,0.12129028424681554,11.417497086598225,16.429151226596254,30.958374447107165,32.620340868623806,0.13746792847547454,0.3707460838773666,0.3707872704622969,0.3707872704622969,defined,1.313311973607708e-76,9.55134986878873e-108,1.313311973607708e-76,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,-0.09469050230084519,decrease,0.6664245794959189,-0.012025238558571516,decrease,-0.2514357683509673,0.058416135836563576,increase,0.4596530612244898,0.0,no_change,0.020819885764961212,-0.010769642933900874,decrease,3.813029841619567,-0.4370670985832845,decrease,4.308095058359754,-0.5134002026207725,decrease,0.3010087566305941,-0.030527443331649806,decrease,0.3707872704622969,-0.3095138609209522,decrease,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,P_gap_eff,2.0,4.2823603036635075e-06,8.564720607327015e-06,P_gap_eff,2.0,4.2823603036635075e-06,8.564720607327015e-06,,,,,ok,,3.4198345456906907,3.188829282029687,0.5642684407611746,0.643250638428027,-0.009567087446577579,0.07495961920577088,-0.1530843284828164,0.4596530612244898,0.002202642356843685,4.85161898272087,6.035066860775231,5.055622867554935,1.183447878054361,0.20400388483406484,11.440862180306102,18.930527357861227,30.96328606911659,34.0890099371437,0.09480647131737424,0.18800969655169839,0.5042637324362929,0.5042637324362929,defined,4.981797406577135e-62,7.16168953648296e-95,4.981797406577135e-62,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,-0.16139482501961966,decrease,0.6664245794959189,-0.023173941067891946,decrease,-0.2514357683509673,0.09835143986815092,increase,0.4596530612244898,0.0,no_change,0.020819885764961212,-0.018617243408117528,decrease,3.813029841619567,-0.6242005595898803,decrease,4.308095058359754,-0.8882605126690635,decrease,0.3010087566305941,-0.22604913742482324,decrease,0.5042637324362929,-0.17603739894695625,decrease,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,gamma_s_eff,0.5,9.09790791929634e-05,4.54895395964817e-05,gamma_s_eff,0.5,9.09790791929634e-05,4.54895395964817e-05,,,,,ok,,4.308095058359754,3.813029841619567,0.7256632657807942,0.6664245794959189,-0.02332620349693807,0.3010087566305941,-0.2514357683509673,0.4596530612244898,0.020819885764961212,5.039981421482436,6.156409569762694,5.055555304559533,1.1164281482802583,0.015573883077097506,11.396061968674934,12.732359626795411,30.959892076701717,32.48369963219653,0.5012782031739237,0.4334619268293446,1.1564526712660477,1.1564526712660477,defined,8.530087706558955e-98,2.395535752312065e-128,8.530087706558955e-98,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,0.0,no_change,0.6664245794959189,0.0,no_change,-0.2514357683509673,0.0,no_change,0.4596530612244898,0.0,no_change,0.020819885764961212,0.0,no_change,3.813029841619567,0.0,no_change,4.308095058359754,0.0,no_change,0.3010087566305941,0.0,no_change,1.1564526712660477,0.47615153988279857,increase,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,gamma_s_eff,0.75,9.09790791929634e-05,6.823430939472254e-05,gamma_s_eff,0.75,9.09790791929634e-05,6.823430939472254e-05,,,,,ok,,4.308095058359754,3.813029841619567,0.7256632657807942,0.6664245794959189,-0.02332620349693807,0.3010087566305941,-0.2514357683509673,0.4596530612244898,0.020819885764961212,5.039981421482436,6.156409569762694,5.055555304559533,1.1164281482802583,0.015573883077097506,11.396061968674934,12.732359626795411,30.959892076701717,32.48369963219653,0.5012782031739237,0.4334619268293446,1.1564526712660477,1.1564526712660477,defined,8.530087706558955e-98,2.395535752312065e-128,8.530087706558955e-98,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,0.0,no_change,0.6664245794959189,0.0,no_change,-0.2514357683509673,0.0,no_change,0.4596530612244898,0.0,no_change,0.020819885764961212,0.0,no_change,3.813029841619567,0.0,no_change,4.308095058359754,0.0,no_change,0.3010087566305941,0.0,no_change,1.1564526712660477,0.47615153988279857,increase,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,gamma_s_eff,1.0,9.09790791929634e-05,9.09790791929634e-05,gamma_s_eff,1.0,9.09790791929634e-05,9.09790791929634e-05,,,,,ok,,4.308095058359754,3.813029841619567,0.7256632657807942,0.6664245794959189,-0.02332620349693807,0.3010087566305941,-0.2514357683509673,0.4596530612244898,0.020819885764961212,5.039981421482436,6.156409569762694,5.055555304559533,1.1164281482802583,0.015573883077097506,11.396061968674934,12.732359626795411,30.959892076701717,32.48369963219653,0.5012782031739237,0.4334619268293446,1.1564526712660477,1.1564526712660477,defined,8.530087706558955e-98,2.395535752312065e-128,8.530087706558955e-98,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,0.0,no_change,0.6664245794959189,0.0,no_change,-0.2514357683509673,0.0,no_change,0.4596530612244898,0.0,no_change,0.020819885764961212,0.0,no_change,3.813029841619567,0.0,no_change,4.308095058359754,0.0,no_change,0.3010087566305941,0.0,no_change,1.1564526712660477,0.47615153988279857,increase,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,MFA_like_from_control_legacy,CONTROL,CONTROL,CONTROL_50nA.db::trial_2067,CONTROL_50nA.db,2067,50,CONTROL|50|closed_low|closed_low|fully_closed_at_sim_end|closed_low,filter_baseline_fold_grid,top_n_by_objective,legacy_top300_optuna_trial,top_ranked_per_sigmoid_temporal_category,2,closed_low,closed_low,fully_closed_at_sim_end,0.6803011313832491,slow_rise_fast_decay,gamma_s_eff,1.25,9.09790791929634e-05,0.00011372384899120425,gamma_s_eff,1.25,9.09790791929634e-05,0.00011372384899120425,,,,,ok,,4.308095058359754,3.813029841619567,0.7256632657807942,0.6664245794959189,-0.02332620349693807,0.3010087566305941,-0.2514357683509673,0.4596530612244898,0.020819885764961212,5.039981421482436,6.156409569762694,5.055555304559533,1.1164281482802583,0.015573883077097506,11.396061968674934,12.732359626795411,30.959892076701717,32.48369963219653,0.5012782031739237,0.4334619268293446,1.1564526712660477,1.1564526712660477,defined,8.530087706558955e-98,2.395535752312065e-128,8.530087706558955e-98,closed_low,closed_low,closed_low,fully_closed_at_sim_end,0.7256632657807942,0.0,no_change,0.6664245794959189,0.0,no_change,-0.2514357683509673,0.0,no_change,0.4596530612244898,0.0,no_change,0.020819885764961212,0.0,no_change,3.813029841619567,0.0,no_change,4.308095058359754,0.0,no_change,0.3010087566305941,0.0,no_change,1.1564526712660477,0.47615153988279857,increase,unchanged_closed,False,slow_rise,slow_decay,slow_rise_slow_decay,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
