perturbation_context,category_id,perturbed_parameter,sigmoid_state_change,n_rows,n_candidates,phase_transition_fraction
MFA_BA_from_MFA_legacy,MFA|100|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gki,unchanged_closed,30,2,0.0
MFA_BA_from_MFA_legacy,MFA|100|open_high|open_high|early_sustained_open_recruitment|open_high,gki,unchanged_open,15,1,0.0
MFA_BA_from_MFA_legacy,MFA|100|partial_mid|closed_low|delayed_ionic_recruitment_after_load|partial_mid,gki,partial_to_closed,15,1,1.0
MFA_BA_from_MFA_legacy,MFA|125|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gki,unchanged_closed,30,2,0.0
MFA_BA_from_MFA_legacy,MFA|125|open_high|partial_mid|fully_open_at_sim_end|open_high,gki,open_to_partial,15,1,1.0
MFA_BA_from_MFA_legacy,MFA|150|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gki,unchanged_closed,30,2,0.0
MFA_BA_from_MFA_legacy,MFA|150|open_high|open_high|early_sustained_open_recruitment|open_high,gki,open_to_closed,15,1,1.0
MFA_BA_from_MFA_legacy,MFA|150|open_high|open_high|early_sustained_open_recruitment|open_high,gki,unchanged_open,15,1,0.0
MFA_BA_from_MFA_legacy,MFA|150|partial_mid|open_high|intermediate_or_mixed_temporal_recruitment|partial_mid,gki,partial_to_open,11,1,1.0
MFA_BA_from_MFA_legacy,MFA|150|partial_mid|open_high|intermediate_or_mixed_temporal_recruitment|partial_mid,gki,unchanged_partial,4,1,0.0
MFA_BA_from_MFA_legacy,MFA|150|partial_mid|partial_mid|intermediate_or_mixed_temporal_recruitment|partial_mid,gki,delayed_opening_after_load,2,1,1.0
MFA_BA_from_MFA_legacy,MFA|150|partial_mid|partial_mid|intermediate_or_mixed_temporal_recruitment|partial_mid,gki,opened_during_stim_then_closed_by_end,2,1,1.0
MFA_BA_from_MFA_legacy,MFA|150|partial_mid|partial_mid|intermediate_or_mixed_temporal_recruitment|partial_mid,gki,partial_to_closed,7,2,1.0
MFA_BA_from_MFA_legacy,MFA|150|partial_mid|partial_mid|intermediate_or_mixed_temporal_recruitment|partial_mid,gki,unchanged_partial,19,2,0.0
MFA_BA_from_MFA_legacy,MFA|175|closed_low|closed_low|fully_closed_at_sim_end|closed_low,gki,unchanged_closed,30,2,0.0
MFA_BA_from_MFA_legacy,MFA|175|closed_low|partial_mid|recruited_during_load_then_closed_by_end|closed_low,gki,closed_to_partial,12,1,1.0
