file_id,region,condition,candidate_id,buffering_phenotype,phenotype_window_scope,phenotype_specificity_score,dominant_signed_flux_mode,dKs_activation_score_mean,long_range_distribution_fraction_mean,voltage_coupling_score_mean,kir_current_score_mean,phenotype_claim_scope
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,low_recruitment_local_storage,M_tot,1.0,STRICTLY_LOCAL,4.145197712117035e-92,2.3498938400486715e-93,0.365459159340842,0.562708416456233,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,low_recruitment_local_storage,M_tot,1.0,STRICTLY_LOCAL,4.145197712117035e-92,2.3498938400486715e-93,0.365459159340842,0.562708416456233,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,mixed_local_spatial_buffering,M_tot,1.0,STRICTLY_LOCAL,0.38407851232011975,0.01623915407691016,0.3674311467077403,0.6311549223482059,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,available_surface_voltage_coupled_but_ionic_recruitment_low,M_tot,1.0,BALANCED_OR_WEAK,9.8596765073187e-305,6.779235440218869e-306,0.4879553642792191,0.5117835929132143,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_05,mixed_local_spatial_buffering,M_tot,1.0,BALANCED_OR_WEAK,0.2237472660713223,0.3984150174363563,0.4724006546870328,0.5267832129373403,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,mixed_local_spatial_buffering,M_tot,1.0,STRICTLY_LOCAL,0.22939843697921838,0.009611195899248397,0.36735107507838505,0.5601245057335046,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,mixed_local_spatial_buffering,M_tot,1.0,STRICTLY_LOCAL,0.4685127676265242,0.012798282318624963,0.3371120814755064,0.5758910446749417,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_08,low_recruitment_local_storage,M_tot,1.0,STRICTLY_LOCAL,4.5246676358109316e-77,2.2917708503068944e-79,0.29987657225721404,0.48168736728732214,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,available_surface_voltage_coupled_but_ionic_recruitment_low,M_tot,1.0,BALANCED_OR_WEAK,0.0005633060540020292,0.423231916854176,0.4899237721538785,0.504331335898143,provisional_accepted_ensemble_tag_pending_step06_validation
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_02,kir_dominant_local_buffering,M_tot,0.6666666666666666,STRICTLY_LOCAL,0.3067973878598963,0.3354425266284598,0.24641380296721546,0.7532418968274475,provisional_accepted_ensemble_tag_pending_step06_validation
