region,condition,cluster_a,cluster_b,alpha,sweep,current_na,feature_pass_fraction,n_features_scored,accepted_like_feature_contract,screen_type,simulation_status,simulation_warning,failure_reason,interpolation_feature_pass_fraction,min_feature_pass_fraction,warning_fraction,interpolation_acceptance_status
DH,CONTROL,M2,M3,0.0,1,50,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.0,2,75,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.0,3,100,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.0,4,125,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.0,5,150,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.0,6,175,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.25,1,50,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.25,2,75,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.25,3,100,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.25,4,125,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.25,5,150,0.8888888888888888,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.25,6,175,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.5,1,50,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.5,2,75,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.5,3,100,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.5,4,125,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.5,5,150,0.8888888888888888,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.5,6,175,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.75,1,50,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.75,2,75,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.75,3,100,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.75,4,125,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.75,5,150,0.8888888888888888,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,0.75,6,175,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,1.0,1,50,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,1.0,2,75,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,1.0,3,100,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,1.0,4,125,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,1.0,5,150,0.8888888888888888,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,CONTROL,M2,M3,1.0,6,175,0.7777777777777778,9,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.7777777777777778,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.0,1,50,1.0,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.0,2,75,1.0,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.0,3,100,0.75,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.0,4,125,0.875,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.0,5,150,0.875,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.0,6,175,0.875,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.25,1,50,1.0,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.25,2,75,1.0,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.25,3,100,0.75,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
DH,MFA,M2,M3,0.25,4,125,0.875,8,True,interpolated_parameter_resimulation_feature_contract_not_step04_refit,ok,,,1.0,0.75,0.0,continuous_compensation_manifold_feature_supported
