region,condition,window,buffering_phenotype,n_candidate_sweeps,n_candidates,n_cells
DH,CONTROL,M0,available_surface_voltage_coupled_but_ionic_recruitment_low,210,36,7
DH,CONTROL,M0,long_range_recruited_spatial_buffering,6,1,1
DH,CONTROL,M0,low_recruitment_local_storage,60,10,5
DH,CONTROL,M0,mixed_local_spatial_buffering,216,36,6
DH,CONTROL,M_decay,available_surface_voltage_coupled_but_ionic_recruitment_low,186,32,7
DH,CONTROL,M_decay,kir_dominant_local_buffering,4,2,2
DH,CONTROL,M_decay,long_range_recruited_spatial_buffering,25,6,3
DH,CONTROL,M_decay,low_recruitment_local_storage,74,15,5
DH,CONTROL,M_decay,mixed_local_spatial_buffering,197,36,6
DH,CONTROL,M_decay,recruited_surface_gap_assisted_buffering,6,1,1
DH,CONTROL,M_rise,available_surface_voltage_coupled_but_ionic_recruitment_low,256,45,7
DH,CONTROL,M_rise,kir_dominant_local_buffering,3,1,1
DH,CONTROL,M_rise,long_range_recruited_spatial_buffering,6,1,1
DH,CONTROL,M_rise,low_recruitment_local_storage,11,5,3
DH,CONTROL,M_rise,mixed_local_spatial_buffering,216,36,6
DH,CONTROL,M_tot,available_surface_voltage_coupled_but_ionic_recruitment_low,136,24,7
DH,CONTROL,M_tot,kir_dominant_local_buffering,85,16,6
DH,CONTROL,M_tot,long_range_recruited_spatial_buffering,4,2,1
DH,CONTROL,M_tot,low_recruitment_local_storage,53,10,4
DH,CONTROL,M_tot,mixed_local_spatial_buffering,214,36,6
DH,MFA,M0,available_surface_voltage_coupled_but_ionic_recruitment_low,90,15,3
DH,MFA,M0,low_recruitment_local_storage,12,2,1
DH,MFA,M0,mixed_local_spatial_buffering,36,6,2
DH,MFA,M_decay,available_surface_voltage_coupled_but_ionic_recruitment_low,64,12,3
DH,MFA,M_decay,kir_dominant_local_buffering,27,5,2
DH,MFA,M_decay,long_range_recruited_spatial_buffering,6,1,1
DH,MFA,M_decay,low_recruitment_local_storage,17,7,3
DH,MFA,M_decay,mixed_local_spatial_buffering,24,4,2
DH,MFA,M_rise,available_surface_voltage_coupled_but_ionic_recruitment_low,90,15,3
DH,MFA,M_rise,low_recruitment_local_storage,12,2,1
DH,MFA,M_rise,mixed_local_spatial_buffering,36,6,2
DH,MFA,M_tot,available_surface_voltage_coupled_but_ionic_recruitment_low,72,12,3
DH,MFA,M_tot,kir_dominant_local_buffering,36,6,2
DH,MFA,M_tot,mixed_local_spatial_buffering,30,5,2
DH,MFA_BA,M0,available_surface_voltage_coupled_but_ionic_recruitment_low,84,14,4
DH,MFA_BA,M0,long_range_recruited_spatial_buffering,18,3,2
DH,MFA_BA,M0,low_recruitment_local_storage,30,5,2
DH,MFA_BA,M0,mixed_local_spatial_buffering,141,24,5
DH,MFA_BA,M_decay,available_surface_voltage_coupled_but_ionic_recruitment_low,72,12,4
DH,MFA_BA,M_decay,kir_dominant_local_buffering,25,5,2
DH,MFA_BA,M_decay,long_range_recruited_spatial_buffering,50,11,3
DH,MFA_BA,M_decay,low_recruitment_local_storage,20,5,2
DH,MFA_BA,M_decay,mixed_local_spatial_buffering,105,21,5
DH,MFA_BA,M_decay,recruited_surface_gap_assisted_buffering,1,1,1
DH,MFA_BA,M_rise,available_surface_voltage_coupled_but_ionic_recruitment_low,88,17,4
DH,MFA_BA,M_rise,kir_dominant_local_buffering,11,3,1
DH,MFA_BA,M_rise,low_recruitment_local_storage,18,6,2
DH,MFA_BA,M_rise,mixed_local_spatial_buffering,156,26,5
DH,MFA_BA,M_tot,available_surface_voltage_coupled_but_ionic_recruitment_low,58,11,4
DH,MFA_BA,M_tot,kir_dominant_local_buffering,35,10,2
DH,MFA_BA,M_tot,low_recruitment_local_storage,25,5,2
DH,MFA_BA,M_tot,mixed_local_spatial_buffering,155,26,5
VH,MFA,M0,available_surface_voltage_coupled_but_ionic_recruitment_low,414,69,6
VH,MFA,M0,low_recruitment_local_storage,10,2,1
VH,MFA,M0,mixed_local_spatial_buffering,99,17,5
VH,MFA,M_decay,available_surface_voltage_coupled_but_ionic_recruitment_low,260,52,6
VH,MFA,M_decay,kir_dominant_local_buffering,125,24,3
VH,MFA,M_decay,low_recruitment_local_storage,32,10,4
VH,MFA,M_decay,mixed_local_spatial_buffering,93,18,5
VH,MFA,M_decay,recruited_surface_gap_assisted_buffering,13,3,1
VH,MFA,M_rise,available_surface_voltage_coupled_but_ionic_recruitment_low,412,69,6
VH,MFA,M_rise,kir_dominant_local_buffering,6,1,1
VH,MFA,M_rise,mixed_local_spatial_buffering,100,18,5
VH,MFA,M_rise,recruited_surface_gap_assisted_buffering,5,1,1
VH,MFA,M_tot,available_surface_voltage_coupled_but_ionic_recruitment_low,271,48,6
VH,MFA,M_tot,kir_dominant_local_buffering,142,28,3
VH,MFA,M_tot,low_recruitment_local_storage,14,5,2
VH,MFA,M_tot,mixed_local_spatial_buffering,91,16,5
VH,MFA,M_tot,recruited_surface_gap_assisted_buffering,5,1,1
VH,MFA_BA,M0,available_surface_voltage_coupled_but_ionic_recruitment_low,462,77,6
VH,MFA_BA,M0,mixed_local_spatial_buffering,204,34,5
VH,MFA_BA,M0,recruited_surface_gap_assisted_buffering,12,2,1
VH,MFA_BA,M_decay,available_surface_voltage_coupled_but_ionic_recruitment_low,352,64,6
VH,MFA_BA,M_decay,kir_dominant_local_buffering,24,5,4
VH,MFA_BA,M_decay,long_range_recruited_spatial_buffering,87,18,4
VH,MFA_BA,M_decay,low_recruitment_local_storage,58,13,4
