file_id,region,condition,candidate_id,baseline_buffering_phenotype,n_threshold_configs,n_unique_sensitivity_labels,modal_sensitivity_label,modal_label_fraction,baseline_label_fraction,threshold_sensitivity_status,claim_scope
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,low_recruitment_local_storage,243,3,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.2222222222222222,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,low_recruitment_local_storage,243,3,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.2222222222222222,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,mixed_local_spatial_buffering,243,2,mixed_local_spatial_buffering,0.7777777777777778,0.7777777777777778,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,available_surface_voltage_coupled_but_ionic_recruitment_low,243,1,available_surface_voltage_coupled_but_ionic_recruitment_low,1.0,1.0,stable,discrete_phenotype_label_supported
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_05,mixed_local_spatial_buffering,243,2,mixed_local_spatial_buffering,0.7777777777777778,0.7777777777777778,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,mixed_local_spatial_buffering,243,2,mixed_local_spatial_buffering,0.7777777777777778,0.7777777777777778,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,mixed_local_spatial_buffering,243,1,mixed_local_spatial_buffering,1.0,1.0,stable,discrete_phenotype_label_supported
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_08,low_recruitment_local_storage,243,2,low_recruitment_local_storage,0.6666666666666666,0.6666666666666666,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,available_surface_voltage_coupled_but_ionic_recruitment_low,243,1,available_surface_voltage_coupled_but_ionic_recruitment_low,1.0,1.0,stable,discrete_phenotype_label_supported
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_02,kir_dominant_local_buffering,243,2,mixed_local_spatial_buffering,0.6666666666666666,0.3333333333333333,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_03,mixed_local_spatial_buffering,243,1,mixed_local_spatial_buffering,1.0,1.0,stable,discrete_phenotype_label_supported
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_04,kir_dominant_local_buffering,243,3,kir_dominant_local_buffering,0.4444444444444444,0.4444444444444444,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_05,available_surface_voltage_coupled_but_ionic_recruitment_low,243,1,available_surface_voltage_coupled_but_ionic_recruitment_low,1.0,1.0,stable,discrete_phenotype_label_supported
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_06,kir_dominant_local_buffering,243,1,kir_dominant_local_buffering,1.0,1.0,stable,discrete_phenotype_label_supported
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_08,kir_dominant_local_buffering,243,3,kir_dominant_local_buffering,0.4444444444444444,0.4444444444444444,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_09,kir_dominant_local_buffering,243,2,kir_dominant_local_buffering,0.7777777777777778,0.7777777777777778,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_10,mixed_local_spatial_buffering,243,1,mixed_local_spatial_buffering,1.0,1.0,stable,discrete_phenotype_label_supported
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_11,mixed_local_spatial_buffering,243,2,mixed_local_spatial_buffering,0.6666666666666666,0.6666666666666666,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_12,kir_dominant_local_buffering,243,3,kir_dominant_local_buffering,0.6666666666666666,0.6666666666666666,threshold_sensitive,prefer_continuous_scores_or_modal_label
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_13,kir_dominant_local_buffering,243,3,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.2222222222222222,threshold_sensitive,prefer_continuous_scores_or_modal_label
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_02,available_surface_voltage_coupled_but_ionic_recruitment_low,243,1,available_surface_voltage_coupled_but_ionic_recruitment_low,1.0,1.0,stable,discrete_phenotype_label_supported
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_03,available_surface_voltage_coupled_but_ionic_recruitment_low,243,1,available_surface_voltage_coupled_but_ionic_recruitment_low,1.0,1.0,stable,discrete_phenotype_label_supported
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_04,low_recruitment_local_storage,243,2,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.3333333333333333,threshold_sensitive,prefer_continuous_scores_or_modal_label
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_05,low_recruitment_local_storage,243,2,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.3333333333333333,threshold_sensitive,prefer_continuous_scores_or_modal_label
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_06,available_surface_voltage_coupled_but_ionic_recruitment_low,243,1,available_surface_voltage_coupled_but_ionic_recruitment_low,1.0,1.0,stable,discrete_phenotype_label_supported
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_07,low_recruitment_local_storage,243,2,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.3333333333333333,threshold_sensitive,prefer_continuous_scores_or_modal_label
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_08,low_recruitment_local_storage,243,2,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.3333333333333333,threshold_sensitive,prefer_continuous_scores_or_modal_label
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_09,available_surface_voltage_coupled_but_ionic_recruitment_low,243,1,available_surface_voltage_coupled_but_ionic_recruitment_low,1.0,1.0,stable,discrete_phenotype_label_supported
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_10,kir_dominant_local_buffering,243,3,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.2222222222222222,threshold_sensitive,prefer_continuous_scores_or_modal_label
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_01,kir_dominant_local_buffering,243,3,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.2222222222222222,threshold_sensitive,prefer_continuous_scores_or_modal_label
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_02,kir_dominant_local_buffering,243,3,available_surface_voltage_coupled_but_ionic_recruitment_low,0.6666666666666666,0.2222222222222222,threshold_sensitive,prefer_continuous_scores_or_modal_label
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_03,mixed_local_spatial_buffering,243,2,mixed_local_spatial_buffering,0.8888888888888888,0.8888888888888888,stable,discrete_phenotype_label_supported
