region,condition,mechanism_cluster,n_candidates,n_cells,total_candidates,total_cells,candidate_fraction,small_stratum_flag,interpretation_scope
DH,CONTROL,M1,9,7,17,13,0.5294117647058824,False,population_level_cell_association_not_phenotype_claim
DH,CONTROL,M2,8,6,17,13,0.47058823529411764,False,population_level_cell_association_not_phenotype_claim
DH,MFA,M1,136,6,653,18,0.2082695252679939,False,population_level_cell_association_not_phenotype_claim
DH,MFA,M2,381,6,653,18,0.5834609494640123,False,population_level_cell_association_not_phenotype_claim
DH,MFA,M3,136,6,653,18,0.2082695252679939,False,population_level_cell_association_not_phenotype_claim
DH,MFA_BA,M1,82,6,662,18,0.12386706948640483,False,population_level_cell_association_not_phenotype_claim
DH,MFA_BA,M2,296,6,662,18,0.4471299093655589,False,population_level_cell_association_not_phenotype_claim
DH,MFA_BA,M3,284,6,662,18,0.42900302114803623,False,population_level_cell_association_not_phenotype_claim
VH,CONTROL,M2,17,2,17,2,1.0,True,population_level_cell_association_not_phenotype_claim
VH,MFA,M1,3,2,20,12,0.15,False,population_level_cell_association_not_phenotype_claim
VH,MFA,M2,14,7,20,12,0.7,False,population_level_cell_association_not_phenotype_claim
VH,MFA,M3,3,3,20,12,0.15,False,population_level_cell_association_not_phenotype_claim
VH,MFA_BA,M1,70,7,741,21,0.09446693657219973,False,population_level_cell_association_not_phenotype_claim
VH,MFA_BA,M2,148,7,741,21,0.19973009446693657,False,population_level_cell_association_not_phenotype_claim
VH,MFA_BA,M3,523,7,741,21,0.7058029689608637,False,population_level_cell_association_not_phenotype_claim
