file_id,region,condition,parameter,coordinate_type,n_accepted_candidate_values,log10_value_span,within_range_fraction,step03_identifiability_status,cell_specific_identifiability_status,claim_scope
1_DH_1_CONTROL,DH,CONTROL,P_gap_eff,effective,9,1.8331968164416583,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_1_CONTROL,DH,CONTROL,eps,raw,9,1.0612976251827526,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
1_DH_1_CONTROL,DH,CONTROL,gamma_s_eff,effective,9,4.747798470285938,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_1_CONTROL,DH,CONTROL,gamma_t_eff,effective,9,0.8123165771414937,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
1_DH_1_CONTROL,DH,CONTROL,gki,raw,9,1.165935200365872,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
1_DH_1_CONTROL,DH,CONTROL,gl_a,raw,9,2.590538022035629,1.0,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_1_CONTROL,DH,CONTROL,volume_ratio_wa_wo,effective,9,2.016548285475267,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_1_CONTROL,DH,CONTROL,zs,raw,9,4.127022420997981,0.4444444444444444,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_1_CONTROL,DH,CONTROL,zth,raw,9,1.006452539796834,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,P_gap_eff,effective,11,1.6929814773949436,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,eps,raw,11,0.7113044818801266,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,gamma_s_eff,effective,11,4.288638310758458,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,gamma_t_eff,effective,11,2.8407602022501406,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,gki,raw,11,1.0755080742245549,0.7272727272727273,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,gl_a,raw,11,2.561389939788846,1.0,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,volume_ratio_wa_wo,effective,11,2.1234906355456795,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,zs,raw,11,3.5396726691176488,0.7272727272727273,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
1_DH_2_CONTROL,DH,CONTROL,zth,raw,11,0.8842513391548141,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,P_gap_eff,effective,9,0.6186559791687456,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,eps,raw,9,0.90142497218569,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,gamma_s_eff,effective,9,5.963741107643116,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,gamma_t_eff,effective,9,0.7258579570875936,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,gki,raw,9,2.0103842103145864,0.8888888888888888,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,gl_a,raw,9,4.364048681310496,0.8888888888888888,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,volume_ratio_wa_wo,effective,9,2.016548285475267,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,zs,raw,9,1.3196505234193365,0.6666666666666666,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
2_DH_1_CONTROL,DH,CONTROL,zth,raw,9,0.9323527120179678,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
3_DH_1_CONTROL,DH,CONTROL,P_gap_eff,effective,9,1.401770286934866,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
3_DH_1_CONTROL,DH,CONTROL,eps,raw,9,0.028593667051050042,1.0,identifiable,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
3_DH_1_CONTROL,DH,CONTROL,gamma_s_eff,effective,9,4.404739203944027,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_1_CONTROL,DH,CONTROL,gamma_t_eff,effective,9,3.9242450753266507,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_1_CONTROL,DH,CONTROL,gki,raw,9,0.04983033530589531,1.0,identifiable,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
