file_id,region,condition,candidate_id,mechanism_cluster,n_current_rows,changed_parameters,max_fit_degradation_fraction,max_mechanism_flux_fraction_delta,prediction_persists_all_currents,mechanism_persists_all_currents,failure_axes,claim_action
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,6,zth,0.0003036503598147,2.4718074610463603e-06,True,True,no_constraint_failure_detected,candidate_parameter_claim_retained
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_12,M2,6,zth,16.77641490903722,1.6890566674226948e-05,False,False,prediction_constraint_sensitive;mechanism_constraint_sensitive,candidate_parameter_claim_downgraded_or_excluded
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_10,M2,6,gki;zth,0.0011384937002787,6.786326046115398e-07,True,True,no_constraint_failure_detected,candidate_parameter_claim_retained
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_01,M2,6,gl_a;zth,0.0001671623136102,0.0013029722295096,True,False,mechanism_constraint_sensitive,candidate_parameter_claim_downgraded_or_excluded
3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__cand_06,M3,6,zth;zs,3.515551666975438e-05,6.18558755882681e-08,True,True,no_constraint_failure_detected,candidate_parameter_claim_retained
DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__cand_27,M3,6,zth;zs,8.529483208878633e-08,7.349379035348491e-07,True,True,no_constraint_failure_detected,candidate_parameter_claim_retained
DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__cand_18,M3,6,gl_a;zth;gamma_s_eff,1.6406172592822865e-05,0.0015430823306064,True,True,no_constraint_failure_detected,candidate_parameter_claim_retained
DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__cand_14,M3,6,gki;zth,24.17007248456164,0.4581121320092333,False,False,prediction_constraint_sensitive;mechanism_constraint_sensitive,candidate_parameter_claim_downgraded_or_excluded
DH_2_MFA,DH,MFA,DH_2_MFA__cand_03,M3,6,zth,0.0007641466492761,8.371873294943377e-06,True,True,no_constraint_failure_detected,candidate_parameter_claim_retained
DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__cand_01,M2,6,zth,0.0006110671044607,1.120185342022616e-06,True,True,no_constraint_failure_detected,candidate_parameter_claim_retained
