file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,mechanism_cluster_unconstrained,constrained_screen_type,comparison_kind,unconstrained_source,changed_by_constraints,changed_parameters,adjusted_parameters,n_changed_parameters,unconstrained_mean_trace_rmse_mV,unconstrained_holdout_rmse_mV,unconstrained_holdout_pass_fraction,current_na,step08_contract_id,simulation_status,failure_reason,constrained_trace_delta_rmse_mV,fit_degradation_fraction,constrained_holdout_rmse_mV,delta_holdout_rmse_mV,constrained_holdout_pass_fraction,constrained_holdout_pass_fraction_estimate,prediction_persists_under_constraints,dominant_mechanism_unconstrained,dominant_mechanism_constrained,mechanism_flux_fraction_delta_max,mechanism_changed_under_constraints,mechanism_cluster_constrained,mechanism_persists_under_constraints,mechanism_conclusion_persists,constrained_claim_status,constraint_action
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,7.581328705455518,7.581328705455518,0.3596089913772268,50,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.00019510839770105117,2.5735382975895944e-05,7.581523813853219,0.00019510839770105117,0.3595832559942509,0.3595832559942509,True,kir,kir,3.243708306016613e-05,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,7.581328705455518,7.581328705455518,0.3596089913772268,75,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.00016720410079470104,2.2054722501925173e-05,7.581495909556312,0.00016720410079470104,0.35958693665472485,0.35958693665472485,True,kir,kir,6.243013514747875e-06,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,7.581328705455518,7.581328705455518,0.3596089913772268,100,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.00013937182057908705,1.838356124551033e-05,7.581468077276097,0.00013937182057908705,0.3595906078159813,0.3595906078159813,True,kir,kir,1.7971956985524118e-06,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,7.581328705455518,7.581328705455518,0.3596089913772268,125,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,0.00010932898931561865,1.442082167429907e-05,7.581438034444834,0.00010932898931561865,0.3595945705555525,0.3595945705555525,True,leak,leak,5.600972350014444e-07,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,7.581328705455518,7.581328705455518,0.3596089913772268,150,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,9.876223790923002e-05,1.3027035463870705e-05,7.581427467693428,9.876223790923002e-05,0.35959596434176294,0.35959596434176294,True,leak,leak,3.572787763313212e-07,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,7.581328705455518,7.581328705455518,0.3596089913772268,175,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,9.216092945532718e-05,1.2156303075080791e-05,7.581420866384973,9.216092945532718e-05,0.3595968350741517,0.3595968350741517,True,leak,leak,2.6703904815530977e-07,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,13.982361406690702,13.982361406690702,0.3593400005006864,50,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,5.882543749185101e-05,4.207117509042674e-06,13.982420232128193,5.882543749185101e-05,0.35933579338317734,0.35933579338317734,True,kir,kir,9.071113809655529e-06,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,13.982361406690702,13.982361406690702,0.3593400005006864,75,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,5.057532870068661e-05,3.61708063678613e-06,13.982411982019402,5.057532870068661e-05,0.3593363834200496,0.3593363834200496,True,kir,kir,1.8312002231374302e-06,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,13.982361406690702,13.982361406690702,0.3593400005006864,100,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,4.1578722361089436e-05,2.9736552469022575e-06,13.982402985413062,4.1578722361089436e-05,0.35933702684543944,0.35933702684543944,True,kir,kir,5.47359759711652e-07,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,13.982361406690702,13.982361406690702,0.3593400005006864,125,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,3.301095162534598e-05,2.3608996123894996e-06,13.982394417642327,3.301095162534598e-05,0.359337639601074,0.359337639601074,True,leak,leak,1.691335510464742e-07,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,13.982361406690702,13.982361406690702,0.3593400005006864,150,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,2.932271017985209e-05,2.0971214608872057e-06,13.982390729400882,2.932271017985209e-05,0.3593379033792255,0.3593379033792255,True,leak,leak,1.0347701580315505e-07,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,M2,Mixed,M2,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,zth,zth,1,13.982361406690702,13.982361406690702,0.3593400005006864,175,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,2.802604809984824e-05,2.0043859034023746e-06,13.9823894327388,2.802604809984824e-05,0.35933799611478295,0.35933799611478295,True,leak,leak,7.94561888506351e-08,False,M2,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_004,M1,Mixed,M1,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,gki;zth;zs,gki;zth;zs,3,6.452548930367247,6.452548930367247,0.3093203980865881,50,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,5.201512714010667e-05,8.061175157511936e-06,6.452600945494387,5.201512714010667e-05,0.3093123369114306,0.3093123369114306,True,gap,gap,7.021784975691503e-07,False,M1,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_004,M1,Mixed,M1,broad_range_projection_not_full_optimizer,step04_unconstrained_candidate_vs_broad_range_projection,step04_accepted_ensemble,True,gki;zth;zs,gki;zth;zs,3,6.452548930367247,6.452548930367247,0.3093203980865881,75,step08_all_valid_currents_plausibility_flux_rescore_v1,ok,,6.166640325035367e-05,9.556905947684758e-06,6.452610596770498,6.166640325035367e-05,0.30931084118064045,0.30931084118064045,True,kir,kir,2.7700304026101463e-06,False,M1,True,True,claim_persists_under_broad_constraints,clipped_to_broad_plausibility_range
