file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,parameter,value,lower_bound,upper_bound,plausibility_status,identifiability_status,physiologically_interpretable,interpretation_guardrail
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,P_gap_eff,0.0021014475048247,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,gamma_t_eff,0.0004778078440182,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,gamma_s_eff,0.0003120480859813,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,unknown,volume_ratio_wa_wo,0.078086972939458,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,P_gap_eff,0.0021014475048247,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,gamma_t_eff,0.0004778078440182,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,gamma_s_eff,0.0003120480859813,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_01,unlabeled,unknown,volume_ratio_wa_wo,0.078086972939458,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_01,unlabeled,unknown,P_gap_eff,0.0021014475048247,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_01,unlabeled,unknown,gamma_t_eff,0.0004778078440182,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
