file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,heldout_mean_rmse_mV,holdout_mean_pass_fraction,parameter,coordinate_type,value,lower_bound,upper_bound,below_lower_bound,above_upper_bound,within_lower_bound,within_upper_bound,bound_violation,range_source,range_basis,plausibility_status,identifiability_status,identifiability_source,identifiability_evidence,physiologically_interpretable,interpretation_guardrail,audit_scope
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,gki,raw,245.820036145688,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,eps,raw,0.0399643016769425,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,gl_a,raw,0.0975419138578228,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,zth,raw,18.305735226716823,0.001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating threshold kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,zs,raw,15.295404974738686,0.0001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating slope/scale kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,P_gap_eff,effective,2.14390170468164e-05,1e-08,0.005,False,False,True,True,none,effective_coordinate_guardrail,interpretable product d × pk for gap coupling,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,gamma_t_eff,effective,1.506272232520006e-05,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,transport effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,gamma_s_eff,effective,0.0097695661249053,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,syncytial effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,flat_unbounded,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,M3,Mixed,2.8621717427831266,0.5593827170130452,volume_ratio_wa_wo,effective,0.0818846063851555,0.001,1000.0,False,False,True,True,none,effective_coordinate_guardrail,cell/extracellular volume ratio effective coordinate,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,gki,raw,245.820036145688,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,eps,raw,0.0399643016769425,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,gl_a,raw,0.0975419138578228,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,zth,raw,77.83765579242564,0.001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating threshold kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,zs,raw,0.0016622321161456,0.0001,5.0,False,False,True,True,none,broad_model_guardrail,gating slope/scale kept positive on modeled potassium-deviation scale,within_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,P_gap_eff,effective,8.75135735778465e-07,1e-08,0.005,False,False,True,True,none,effective_coordinate_guardrail,interpretable product d × pk for gap coupling,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,gamma_t_eff,effective,1.506272232520006e-05,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,transport effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,gamma_s_eff,effective,4.93135237149876e-07,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,syncytial effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,flat_unbounded,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,2.59507226675659,0.6602636022124663,volume_ratio_wa_wo,effective,0.0818846063851555,0.001,1000.0,False,False,True,True,none,effective_coordinate_guardrail,cell/extracellular volume ratio effective coordinate,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,gki,raw,245.820036145688,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,eps,raw,0.0034703605955441,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,gl_a,raw,0.0975419138578228,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,zth,raw,17.964319772887684,0.001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating threshold kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,zs,raw,15.635362728779524,0.0001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating slope/scale kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,P_gap_eff,effective,1.185778850288792e-06,1e-08,0.005,False,False,True,True,none,effective_coordinate_guardrail,interpretable product d × pk for gap coupling,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,gamma_t_eff,effective,1.506272232520006e-05,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,transport effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,gamma_s_eff,effective,4.93135237149876e-07,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,syncytial effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,flat_unbounded,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,M2,Mixed,2.575443021415708,0.659576330397675,volume_ratio_wa_wo,effective,0.0818846063851555,0.001,1000.0,False,False,True,True,none,effective_coordinate_guardrail,cell/extracellular volume ratio effective coordinate,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,gki,raw,245.820036145688,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,eps,raw,0.0034703605955441,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,gl_a,raw,0.0975419138578228,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,zth,raw,17.964319772887684,0.001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating threshold kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,zs,raw,15.635362728779524,0.0001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating slope/scale kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,P_gap_eff,effective,1.185778850288792e-06,1e-08,0.005,False,False,True,True,none,effective_coordinate_guardrail,interpretable product d × pk for gap coupling,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,gamma_t_eff,effective,1.506272232520006e-05,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,transport effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,gamma_s_eff,effective,4.93135237149876e-07,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,syncytial effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,flat_unbounded,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,M2,Mixed,2.575443021415708,0.659576330397675,volume_ratio_wa_wo,effective,0.0818846063851555,0.001,1000.0,False,False,True,True,none,effective_coordinate_guardrail,cell/extracellular volume ratio effective coordinate,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,gki,raw,245.820036145688,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,eps,raw,0.0034703605955441,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,gl_a,raw,0.001881513558523,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,zth,raw,13.737310998995122,0.001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating threshold kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,zs,raw,0.0437446872919096,0.0001,5.0,False,False,True,True,none,broad_model_guardrail,gating slope/scale kept positive on modeled potassium-deviation scale,within_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,P_gap_eff,effective,1.185778850288792e-06,1e-08,0.005,False,False,True,True,none,effective_coordinate_guardrail,interpretable product d × pk for gap coupling,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,gamma_t_eff,effective,1.506272232520006e-05,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,transport effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,gamma_s_eff,effective,4.93135237149876e-07,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,syncytial effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,flat_unbounded,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,M2,Mixed,2.571666973886227,0.6595090943076035,volume_ratio_wa_wo,effective,0.0911033075361193,0.001,1000.0,False,False,True,True,none,effective_coordinate_guardrail,cell/extracellular volume ratio effective coordinate,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,gki,raw,245.820036145688,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,eps,raw,0.036309591863459,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,gl_a,raw,0.0975419138578228,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,zth,raw,139.4293716371739,0.001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating threshold kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,zs,raw,0.008860142951755,0.0001,5.0,False,False,True,True,none,broad_model_guardrail,gating slope/scale kept positive on modeled potassium-deviation scale,within_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,P_gap_eff,effective,1.185778850288792e-06,1e-08,0.005,False,False,True,True,none,effective_coordinate_guardrail,interpretable product d × pk for gap coupling,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,gamma_t_eff,effective,1.506272232520006e-05,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,transport effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,gamma_s_eff,effective,4.93135237149876e-07,1e-08,0.05,False,False,True,True,none,effective_coordinate_guardrail,syncytial effective coordinate normalized by volume/Faraday terms,within_range,weakly_identified,step03_profile_summary,flat_unbounded,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,M2,Mixed,2.5916812500335045,0.6592221493587633,volume_ratio_wa_wo,effective,8.506493044099056,0.001,1000.0,False,False,True,True,none,effective_coordinate_guardrail,cell/extracellular volume ratio effective coordinate,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,M2,Mixed,2.5983160545916326,0.6575563071506219,gki,raw,16.775755113607403,1.0,300.0,False,False,True,True,none,broad_model_guardrail,Kir conductance kept within broad positive astrocyte-model scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,M2,Mixed,2.5983160545916326,0.6575563071506219,eps,raw,0.0399643016769425,1e-05,0.2,False,False,True,True,none,broad_model_guardrail,extracellular exchange factor must be positive and sub-unity,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,M2,Mixed,2.5983160545916326,0.6575563071506219,gl_a,raw,0.0002504109123526,0.0001,50.0,False,False,True,True,none,broad_model_guardrail,leak conductance kept positive and below dominant Kir scale,within_range,identifiable,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,True,within broad range and supported by available identifiability evidence,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,M2,Mixed,2.5983160545916326,0.6575563071506219,zth,raw,50.85446865730511,0.001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating threshold kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,M2,Mixed,2.5983160545916326,0.6575563071506219,zs,raw,22.269685821727563,0.0001,5.0,False,True,True,False,above_upper_bound,broad_model_guardrail,gating slope/scale kept positive on modeled potassium-deviation scale,out_of_range,weakly_identified,step03_effective_parameter_map,Interpret only after profile/FIM support; weak profiles imply practical non-identifiability.,False,not physiologically interpretable because the value is outside the broad plausibility range or missing,full_accepted_ensemble
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,M2,Mixed,2.5983160545916326,0.6575563071506219,P_gap_eff,effective,1.185778850288792e-06,1e-08,0.005,False,False,True,True,none,effective_coordinate_guardrail,interpretable product d × pk for gap coupling,within_range,weakly_identified,step03_profile_summary,broad_valley,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability,full_accepted_ensemble
