db_name,study_name,condition,current_na,trial_id,trial_number,objective,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo
BARIUM_50nA.db,BARIUM_50nA_centered_L2_20000t_20240930_133313,BARIUM,50,1,0,3450.286229649251,0.0003820129306098796,7.679271415100625e-05,4.6974713048764884e-05,2.7764332721479126
BARIUM_75nA.db,BARIUM_75nA_centered_L2_20000t_20240930_133312,BARIUM,75,1,0,5848.293742396548,0.0005145793427211518,3.284867620832471e-05,0.0003187749171947053,2.2742502761575127
BARIUM_100nA.db,BARIUM_100nA_centered_L2_20000t_20240930_133313,BARIUM,100,1,0,7963.653221034436,0.00030606297806397374,5.747163489489452e-05,0.0003288734594611913,2.8883801018047386
BARIUM_125nA.db,BARIUM_125nA_centered_L2_20000t_20240930_133313,BARIUM,125,1,0,13492.704818784376,0.00026941434038718707,4.841039173123568e-05,0.00011244377569381156,1.5854568730619676
BARIUM_150nA.db,BARIUM_150nA_centered_L2_20000t_20240930_133313,BARIUM,150,4312,4311,23509.57296810886,0.00020997606023509348,5.8443702223124995e-05,0.00025528220896797315,3.0711493922747204
BARIUM_175nA.db,BARIUM_175nA_centered_L2_20000t_20240930_133313,BARIUM,175,1,0,28903.238239273964,0.0003980285121824415,2.980046111735023e-05,1.6277552955732154e-05,1.585018154648927
CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,50,2068,2067,21.50222564593525,4.282360303663508e-06,5.184218770357169e-05,9.09790791929634e-05,1.3080283380849265
CONTROL_75nA.db,CONTROL_75nA_centered_L2_2500t,CONTROL,75,2426,2425,30.054498122056586,7.688694890666813e-06,8.311215695332037e-06,6.86542049542796e-05,1.5270157179498545
CONTROL_100nA.db,CONTROL_100nA_centered_L2_2500t,CONTROL,100,1944,1943,38.365140704237675,4.567634289871277e-08,2.6138475879734662e-05,7.987740563984289e-05,1.465699300995336
CONTROL_125nA.db,CONTROL_125nA_centered_L2_2500t,CONTROL,125,1930,1929,102.64549480370115,6.177250285746726e-08,8.299743656058084e-06,0.000131456784864753,1.0149643535834536
CONTROL_150nA.db,CONTROL_150nA_centered_L2_2500t,CONTROL,150,895,894,107.26506607668941,6.415040863328785e-07,3.782917844381905e-05,0.00013256201388638105,1.2691908228634596
CONTROL_175nA.db,CONTROL_175nA_centered_L2_2500t,CONTROL,175,1538,1537,122.59678950343822,3.408063198232678e-07,5.932856027714867e-05,0.00012607255402635726,4.69335724631258
MFA_50nA.db,MFA_50nA_centered_COMBINED_20000t_2024-10-12_22-28-28,MFA,50,1,0,98069.09819642841,6.457559950192216e-05,1.8286349662011145e-05,0.0012798478090465277,0.19020250522582166
MFA_75nA.db,MFA_75nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,75,1,0,105235.35069003326,6.457559950192216e-05,1.8286349662011145e-05,0.0012798478090465277,0.19020250522582166
MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,100,1,0,135164.78820498346,6.457559950192216e-05,1.8286349662011145e-05,0.0012798478090465277,0.19020250522582166
MFA_125nA.db,MFA_125nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,125,1,0,128775.80448636774,3.665946085608996e-05,1.055125559035025e-05,0.00025933107021636464,0.6765042290777935
MFA_150nA.db,MFA_150nA_centered_COMBINED_20000t_2024-10-12_22-28-24,MFA,150,13423,13422,194037.56802489416,9.895641315635623e-06,2.167678907537994e-05,0.0002754088000188631,0.7405886913475961
MFA_175nA.db,MFA_175nA_centered_COMBINED_20000t_2024-10-12_22-28-24,MFA,175,1,0,216877.89064248485,6.457559950192216e-05,1.8286349662011145e-05,0.0012798478090465277,0.19020250522582166
