db_name,condition,legacy_protocol_condition,current_na,n_configurations,legacy_top_n_requested,legacy_top_n_available,best_objective,worst_included_objective,provenance_status,legacy_configuration_status,legacy_acceptance_rule
CONTROL_50nA.db,CONTROL,CONTROL,50,300,300,300,21.50222564593525,86.04712874354051,unresolved,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
CONTROL_75nA.db,CONTROL,CONTROL,75,300,300,300,30.054498122056586,95.68784595363215,unresolved,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
CONTROL_100nA.db,CONTROL,CONTROL,100,300,300,300,38.365140704237675,84.60562931506288,unresolved,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
CONTROL_125nA.db,CONTROL,CONTROL,125,300,300,300,102.64549480370115,245.54984843177908,unresolved,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
CONTROL_150nA.db,CONTROL,CONTROL,150,300,300,300,107.26506607668941,246.89924232589973,unresolved,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
CONTROL_175nA.db,CONTROL,CONTROL,175,300,300,300,122.59678950343822,1461.046075785154,unresolved,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
MFA_50nA.db,MFA,MFA,50,300,300,300,98069.09819642841,266310.2054105413,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
MFA_75nA.db,MFA,MFA,75,300,300,300,105235.35069003326,635532.821415678,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
MFA_100nA.db,MFA,MFA,100,300,300,300,135164.78820498346,1476383.9669403357,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
MFA_125nA.db,MFA,MFA,125,300,300,300,128775.80448636774,1933386.4456235415,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
MFA_150nA.db,MFA,MFA,150,300,300,300,194037.56802489416,4464923.707258619,unresolved,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
MFA_175nA.db,MFA,MFA,175,300,300,300,216877.89064248485,7344588.6179404855,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
BARIUM_50nA.db,MFA_BA,BARIUM,50,300,300,300,3450.286229649251,6653.5528403559265,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
BARIUM_75nA.db,MFA_BA,BARIUM,75,300,300,300,5848.293742396548,12738.61522962405,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
BARIUM_100nA.db,MFA_BA,BARIUM,100,300,300,300,7963.653221034436,20410.530114290483,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
BARIUM_125nA.db,MFA_BA,BARIUM,125,300,300,300,13492.704818784376,33097.68650140857,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
BARIUM_150nA.db,MFA_BA,BARIUM,150,300,300,300,23509.57296810886,52610.58085646783,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
BARIUM_175nA.db,MFA_BA,BARIUM,175,300,300,300,28903.238239273964,74492.77799977399,verified,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass
