db_name,study_name,condition,current_na,trial_id,trial_number,objective,K_bath_value_middle,Va_l,Va_s,ca,d,eps,eps_middle,gki,gl_a,gs,gt,pk,switching_function,wo,zs,zth,wo_middle,w_a,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo
BARIUM_50nA.db,BARIUM_50nA_centered_L2_20000t_20240930_133313,BARIUM,50,1,0,3450.286229649251,5.795237576961135,-50.96492159783455,-91.0,315.0,0.909128186260662,0.039212704719569925,0.4128614360100207,131.189631513449,13.023393086148097,5.6654439856376,9.261681281074798,0.0004201969935407439,tanh,720.3486646206173,11.982227686378746,102.5587758881035,1.0,2000.0,0.0003820129306098796,7.679271415100625e-05,4.6974713048764884e-05,2.7764332721479126
BARIUM_50nA.db,BARIUM_50nA_centered_L2_20000t_20240930_133313,BARIUM,50,9250,9249,3704.158782354361,5.76200665796067,-57.49791510618484,-91.0,330.0,0.3515436946356113,0.060563596322647885,0.42956115511206494,92.37610631461743,3.1738332284860142,21.02363084396449,31.17499007992111,0.00048726569193720324,tanh,431.8867689601404,16.03347342531749,88.67896851325702,1.0,2000.0,0.00017129518161278202,0.00025848569273915,0.00017431626341059844,4.63084341485021
BARIUM_50nA.db,BARIUM_50nA_centered_L2_20000t_20240930_133313,BARIUM,50,10757,10756,3817.8334940431805,5.790071342580345,-48.640404470301235,-92.0,307.0,1.3516004311486156,0.05777768196396404,0.3296897082000823,174.0017614514518,10.733565774048287,14.502027583859608,4.718829576214485,0.0005905363159397301,tanh,546.2330431293103,11.49276251934097,92.11854343838219,1.0,2000.0,0.0007981691392330543,3.912591243168978e-05,0.00012024275345481356,3.661440890763794
BARIUM_50nA.db,BARIUM_50nA_centered_L2_20000t_20240930_133313,BARIUM,50,6582,6581,4049.167272825071,5.716857451999543,-63.37242949244198,-99.0,350.0,0.7495541634389318,0.025823148602365217,0.4153569620843913,132.2569115364179,0.03701215842252559,7.591851822050665,10.152395733445848,0.0014656948445215669,tanh,1563.6054218595925,11.729167444973195,85.0690045724634,1.0,2000.0,0.0010986176730421182,8.417802338971529e-05,6.294741625786943e-05,1.2790950786173434
BARIUM_50nA.db,BARIUM_50nA_centered_L2_20000t_20240930_133313,BARIUM,50,1363,1362,4251.275191856331,5.807790581238489,-58.8564661215035,-96.0,348.0,1.1630888142004485,0.018270674379006185,0.41692143899287754,97.64984513994253,24.719565410103183,10.834828166722536,42.76748310587184,0.00030087904099809586,tanh,1896.6996015720174,7.461470621811638,48.45542372164106,1.0,2000.0,0.00034994904701224344,0.00035460420256721225,8.983637387550427e-05,1.0544632362142985
BARIUM_75nA.db,BARIUM_75nA_centered_L2_20000t_20240930_133312,BARIUM,75,1,0,5848.293742396548,6.524303833267918,-41.137522560747534,-96.0,304.0,0.12306701468971992,0.034143806301788225,0.3780657117904774,194.5504966016593,15.059161245420622,38.44624735691392,3.961755654950262,0.004181293777366129,tanh,879.4106879824697,12.50931350171144,56.47396321608147,1.0,2000.0,0.0005145793427211518,3.284867620832471e-05,0.0003187749171947053,2.2742502761575127
BARIUM_75nA.db,BARIUM_75nA_centered_L2_20000t_20240930_133312,BARIUM,75,6217,6216,6205.336301986269,6.689067180242534,-66.63815465325865,-91.0,316.0,0.6795461387571892,0.02263838867681776,0.3321238684410045,65.19949659840009,25.79031302673506,20.359504381912785,7.003679369364598,0.0004211928449323049,tanh,1654.8693872182898,15.14547397949542,96.47352139173746,1.0,2000.0,0.00028621997144590337,5.807061714765692e-05,0.00016880969586495546,1.208554593762743
BARIUM_75nA.db,BARIUM_75nA_centered_L2_20000t_20240930_133312,BARIUM,75,3019,3018,6437.226658992031,6.526946842800481,-68.22255780110982,-95.0,357.0,0.16400818186015792,0.09777681335655526,0.26744605460861687,116.71802045211678,29.494174275401093,47.07631058045397,3.131707299156488,0.004400068123000683,tanh,602.7539078469522,18.093043858811,83.30701427961701,1.0,2000.0,0.0007216471729141797,2.5966376528218793e-05,0.0003903306054242958,3.318103746758003
BARIUM_75nA.db,BARIUM_75nA_centered_L2_20000t_20240930_133312,BARIUM,75,9089,9088,6575.427731376359,6.460255265391223,-56.31482146112062,-93.0,398.0,0.3051115926803817,0.0398728687389185,0.234291056931427,191.40477134270859,25.497542464714464,44.261470758427734,1.505311557298132,0.005144106777384888,tanh,1941.3314010401807,4.54768827889945,93.71418491532262,1.0,2000.0,0.0015695266117658488,1.2481206880224961e-05,0.000366991517922394,1.0302208056431705
BARIUM_75nA.db,BARIUM_75nA_centered_L2_20000t_20240930_133312,BARIUM,75,7270,7269,6760.275338418959,6.707583275253114,-61.38530588662412,-91.0,385.0,0.2731803171776937,0.0177828613968699,0.35741537864599127,80.26207687905617,27.297286294129098,32.60605196880442,3.4977872082601387,0.0013222009320555549,tanh,1575.9221426197512,9.129202585920769,102.82730302792584,1.0,2000.0,0.0003611992699915787,2.900170769143505e-05,0.00027035126263194836,1.26909822884732
BARIUM_100nA.db,BARIUM_100nA_centered_L2_20000t_20240930_133313,BARIUM,100,1,0,7963.653221034436,7.613525523051458,-56.87455911248903,-96.0,305.0,0.15277500713333486,0.056591256949320455,0.23806948857973767,97.67536716939819,22.038447244701786,39.664194670141306,6.931438366042372,0.002003357642109984,tanh,692.4296420510394,0.6090445875181298,80.50153260092446,1.0,2000.0,0.00030606297806397374,5.747163489489452e-05,0.0003288734594611913,2.8883801018047386
BARIUM_100nA.db,BARIUM_100nA_centered_L2_20000t_20240930_133313,BARIUM,100,1182,1181,8448.081186133728,8.030615295775327,-65.86459169155023,-94.0,355.0,0.1426817792601688,0.022062295218689708,0.45018351785937355,167.05812347481464,23.876911157148587,48.63359018228754,12.865269279633292,0.0010277017868604243,tanh,919.8886414296519,7.569854354470845,56.38297974443902,1.0,2000.0,0.0001466343194981001,0.00010667166319849338,0.00040324270244939666,2.174176209950462
BARIUM_100nA.db,BARIUM_100nA_centered_L2_20000t_20240930_133313,BARIUM,100,8254,8253,8573.710111087199,7.611003994590968,-56.80797360651263,-94.0,388.0,0.7975388943591948,0.030669153571576166,0.26868033500994454,140.88191605811681,22.07798788496331,26.378064507582977,7.690600786387635,0.00046420252010923664,tanh,1125.0344963834816,14.813035726160777,116.391872412752,1.0,2000.0,0.0003702195646466725,6.37661877919895e-05,0.00021871225170820729,1.7777232666457508
