file_id,region,condition,source_path,source_relpath,dataset_kind
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL.atf,data/2_K+ Pumps Data/1_DH_1_CONTROL.atf,new_atf_trace
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL.atf,data/2_K+ Pumps Data/1_DH_2_CONTROL.atf,new_atf_trace
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL.atf,data/2_K+ Pumps Data/2_DH_1_CONTROL.atf,new_atf_trace
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL.atf,data/2_K+ Pumps Data/3_DH_1_CONTROL.atf,new_atf_trace
3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL.atf,data/2_K+ Pumps Data/3_DH_2_CONTROL.atf,new_atf_trace
DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL.atf,data/2_K+ Pumps Data/DH_1_CONTROL.atf,new_atf_trace
DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL.atf,data/2_K+ Pumps Data/DH_2_CONTROL.atf,new_atf_trace
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL.atf,data/2_K+ Pumps Data/1_VH_1_CONTROL.atf,new_atf_trace
1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL.atf,data/2_K+ Pumps Data/1_VH_2_CONTROL.atf,new_atf_trace
2_VH_1_CONTROL,VH,CONTROL,2_VH_1_CONTROL.atf,data/2_K+ Pumps Data/2_VH_1_CONTROL.atf,new_atf_trace
3_VH_1_CONTROL,VH,CONTROL,3_VH_1_CONTROL.atf,data/2_K+ Pumps Data/3_VH_1_CONTROL.atf,new_atf_trace
DH_1_MFA,DH,MFA,DH_1_MFA.atf,data/2_K+ Pumps Data/DH_1_MFA.atf,new_atf_trace
DH_2_MFA,DH,MFA,DH_2_MFA.atf,data/2_K+ Pumps Data/DH_2_MFA.atf,new_atf_trace
DH_3_MFA,DH,MFA,DH_3_MFA.atf,data/2_K+ Pumps Data/DH_3_MFA.atf,new_atf_trace
DH_4_MFA,DH,MFA,DH_4_MFA.atf,data/2_K+ Pumps Data/DH_4_MFA.atf,new_atf_trace
DH_5_MFA,DH,MFA,DH_5_MFA.atf,data/2_K+ Pumps Data/DH_5_MFA.atf,new_atf_trace
DH_6_MFA,DH,MFA,DH_6_MFA.atf,data/2_K+ Pumps Data/DH_6_MFA.atf,new_atf_trace
VH_1_MFA,VH,MFA,VH_1_MFA.atf,data/2_K+ Pumps Data/VH_1_MFA.atf,new_atf_trace
VH_2_MFA,VH,MFA,VH_2_MFA.atf,data/2_K+ Pumps Data/VH_2_MFA.atf,new_atf_trace
VH_3_MFA,VH,MFA,VH_3_MFA.atf,data/2_K+ Pumps Data/VH_3_MFA.atf,new_atf_trace
VH_4_MFA,VH,MFA,VH_4_MFA.atf,data/2_K+ Pumps Data/VH_4_MFA.atf,new_atf_trace
VH_5_MFA,VH,MFA,VH_5_MFA.atf,data/2_K+ Pumps Data/VH_5_MFA.atf,new_atf_trace
VH_6_MFA,VH,MFA,VH_6_MFA.atf,data/2_K+ Pumps Data/VH_6_MFA.atf,new_atf_trace
VH_7_OG_MFA,VH,MFA,VH_7_OG_MFA.atf,data/2_K+ Pumps Data/VH_7_OG_MFA.atf,new_atf_trace
DH_1_MFA_Ba,DH,MFA_BA,DH_1_MFA_Ba.atf,data/2_K+ Pumps Data/DH_1_MFA_Ba.atf,new_atf_trace
DH_2_MFA_Ba,DH,MFA_BA,DH_2_MFA_Ba.atf,data/2_K+ Pumps Data/DH_2_MFA_Ba.atf,new_atf_trace
DH_3_MFA_Ba,DH,MFA_BA,DH_3_MFA_Ba.atf,data/2_K+ Pumps Data/DH_3_MFA_Ba.atf,new_atf_trace
DH_4_MFA_Ba,DH,MFA_BA,DH_4_MFA_Ba.atf,data/2_K+ Pumps Data/DH_4_MFA_Ba.atf,new_atf_trace
DH_5_MFA_Ba,DH,MFA_BA,DH_5_MFA_Ba.atf,data/2_K+ Pumps Data/DH_5_MFA_Ba.atf,new_atf_trace
DH_6_MFA_Ba,DH,MFA_BA,DH_6_MFA_Ba.atf,data/2_K+ Pumps Data/DH_6_MFA_Ba.atf,new_atf_trace
VH_1_MFA_Ba,VH,MFA_BA,VH_1_MFA_Ba.atf,data/2_K+ Pumps Data/VH_1_MFA_Ba.atf,new_atf_trace
VH_2_MFA_Ba,VH,MFA_BA,VH_2_MFA_Ba.atf,data/2_K+ Pumps Data/VH_2_MFA_Ba.atf,new_atf_trace
VH_3_MFA_Ba,VH,MFA_BA,VH_3_MFA_Ba.atf,data/2_K+ Pumps Data/VH_3_MFA_Ba.atf,new_atf_trace
VH_4_MFA_Ba,VH,MFA_BA,VH_4_MFA_Ba.atf,data/2_K+ Pumps Data/VH_4_MFA_Ba.atf,new_atf_trace
VH_5_MFA_Ba,VH,MFA_BA,VH_5_MFA_Ba.atf,data/2_K+ Pumps Data/VH_5_MFA_Ba.atf,new_atf_trace
VH_6_MFA_Ba,VH,MFA_BA,VH_6_MFA_Ba.atf,data/2_K+ Pumps Data/VH_6_MFA_Ba.atf,new_atf_trace
VH_7_OG_MFA_Ba,VH,MFA_BA,VH_7_OG_MFA_Ba.atf,data/2_K+ Pumps Data/VH_7_OG_MFA_Ba.atf,new_atf_trace
