db_name,study_name,condition,current_na,target_mean_mode,objective_loss_type,n_target_points,n_trials,n_complete,best_trial_number,best_objective
BARIUM_50nA.db,BARIUM_50nA_centered_L2_20000t_20240930_133313,BARIUM,50,centered,L2,20000,11907,11906,0,3450.286229649251
BARIUM_75nA.db,BARIUM_75nA_centered_L2_20000t_20240930_133312,BARIUM,75,centered,L2,20000,11925,11924,0,5848.293742396548
BARIUM_100nA.db,BARIUM_100nA_centered_L2_20000t_20240930_133313,BARIUM,100,centered,L2,20000,11903,11902,0,7963.653221034436
BARIUM_125nA.db,BARIUM_125nA_centered_L2_20000t_20240930_133313,BARIUM,125,centered,L2,20000,11914,11913,0,13492.704818784376
BARIUM_150nA.db,BARIUM_150nA_centered_L2_20000t_20240930_133313,BARIUM,150,centered,L2,20000,11924,11923,4311,23509.57296810886
BARIUM_175nA.db,BARIUM_175nA_centered_L2_20000t_20240930_133313,BARIUM,175,centered,L2,20000,11942,11941,0,28903.238239273964
CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,50,centered,L2,2500,2500,2500,2067,21.50222564593525
CONTROL_75nA.db,CONTROL_75nA_centered_L2_2500t,CONTROL,75,centered,L2,2500,2500,2500,2425,30.054498122056586
CONTROL_100nA.db,CONTROL_100nA_centered_L2_2500t,CONTROL,100,centered,L2,2500,2500,2500,1943,38.365140704237675
CONTROL_125nA.db,CONTROL_125nA_centered_L2_2500t,CONTROL,125,centered,L2,2500,2500,2500,1929,102.64549480370115
CONTROL_150nA.db,CONTROL_150nA_centered_L2_2500t,CONTROL,150,centered,L2,2500,2500,2500,894,107.26506607668941
CONTROL_175nA.db,CONTROL_175nA_centered_L2_2500t,CONTROL,175,centered,L2,2500,2500,2500,1537,122.59678950343822
MFA_50nA.db,MFA_50nA_centered_COMBINED_20000t_2024-10-12_22-28-28,MFA,50,centered,COMBINED,20000,20000,20000,0,98069.09819642841
MFA_75nA.db,MFA_75nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,75,centered,COMBINED,20000,20000,20000,0,105235.35069003326
MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,100,centered,COMBINED,20000,20000,20000,0,135164.78820498346
MFA_125nA.db,MFA_125nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,125,centered,COMBINED,20000,20000,20000,0,128775.80448636774
MFA_150nA.db,MFA_150nA_centered_COMBINED_20000t_2024-10-12_22-28-24,MFA,150,centered,COMBINED,20000,20000,20000,13422,194037.56802489416
MFA_175nA.db,MFA_175nA_centered_COMBINED_20000t_2024-10-12_22-28-24,MFA,175,centered,COMBINED,20000,20000,20000,0,216877.89064248485
