file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,parameter_interpretability_status,parameter_claim_allowed_after_step08,prediction_persists_under_constraints,mechanism_persists_under_constraints,buffering_phenotype,phenotype_claim_scope,validation_label,biological_description_score,n_direct_physiology_parameters,n_effective_coordinate_parameters,homeostasis_endpoint_gate,step05_mechanism_gate,step06_prediction_gate,assumption_all_axis_gate,parameter_semantic_gate,parameter_step08_gate,ko_homeostasis_gate,restricted_degeneracy_claim_allowed,blocking_axes
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.9283234126984128,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_12,M2,Mixed,downgraded_out_of_range_parameters,False,False,False,kir_dominant_local_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.9283234126984128,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_10,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,kir_dominant_local_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.9283234126984128,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_01,M2,Mixed,downgraded_out_of_range_parameters,False,True,False,kir_dominant_local_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.9283234126984128,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__cand_06,M3,Mixed,downgraded_out_of_range_parameters,False,True,True,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.92220844356261,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__cand_27,M3,Mixed,downgraded_out_of_range_parameters,False,True,True,kir_dominant_local_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.92220844356261,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__cand_18,M3,Kir,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8878091778120712,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__cand_14,M3,Mixed,downgraded_out_of_range_parameters,False,False,False,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.92220844356261,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_2_MFA,DH,MFA,DH_2_MFA__cand_03,M3,Mixed,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.9175250771604938,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__cand_01,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8961859139231823,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_3_MFA,DH,MFA,DH_3_MFA__cand_10,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,kir_dominant_local_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.9105516975308644,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_3_MFA_BA,DH,MFA_BA,DH_3_MFA_BA__cand_01,M2,Mixed,downgraded_out_of_range_parameters,False,True,False,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8961859139231823,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_4_MFA_BA,DH,MFA_BA,DH_4_MFA_BA__cand_20,M3,Mixed,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8878091778120712,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_5_MFA_BA,DH,MFA_BA,DH_5_MFA_BA__cand_08,M3,Mixed,downgraded_out_of_range_parameters,False,True,True,low_recruitment_local_storage,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8878091778120712,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_6_MFA,DH,MFA,DH_6_MFA__cand_01,M3,Mixed,downgraded_out_of_range_parameters,False,True,False,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.9175250771604938,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_16,M3,Mixed,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8878091778120712,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_1_MFA,VH,MFA,VH_1_MFA__cand_16,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8261805555555555,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_01,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8573479623330815,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_2_MFA,VH,MFA,VH_2_MFA__cand_10,M3,Mixed,downgraded_out_of_range_parameters,False,True,True,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8299768518518519,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_15,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8573479623330815,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_41,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8573479623330815,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_4_MFA,VH,MFA,VH_4_MFA__cand_08,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,mixed_local_spatial_buffering,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8261805555555555,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_10,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8573479623330815,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_5_MFA,VH,MFA,VH_5_MFA__cand_12,M2,Mixed,downgraded_out_of_range_parameters,False,True,False,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8261805555555555,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_5_MFA_BA,VH,MFA_BA,VH_5_MFA_BA__cand_19,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8573479623330815,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_6_MFA,VH,MFA,VH_6_MFA__cand_09,M2,Mixed,downgraded_out_of_range_parameters,False,True,True,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8261805555555555,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
VH_6_MFA_BA,VH,MFA_BA,VH_6_MFA_BA__cand_01,M3,Mixed,downgraded_out_of_range_parameters,False,True,True,available_surface_voltage_coupled_but_ionic_recruitment_low,provisional_accepted_ensemble_tag_pending_step06_validation,predictive_supported,0.8541458018392543,0,0,pass,True,True,False,False,False,True,False,assumptions;parameter_step08;parameter_semantics
