file_id,region,condition,candidate_id,fit_scope,seed_source,provenance_status,start_label,optimizer_backend,optimization_config_hash,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,gki,eps,gl_a,zth,zs,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,n_sweeps_scored,n_failures,mean_trace_rmse_mV,mean_trace_objective_loss,mean_weighted_pass_fraction,mean_feature_loss,mean_binary_penalty,objective_trace,objective_feature,objective_binary,objective_prior,objective_hidden,objective_fail,scalar_objective,optuna_trial_number,optuna_objective_names,optuna_objective_values,pareto_front,accepted_by_trace,accepted_by_feature_contract,eligible_by_contract,ensemble_rank,accepted_all6,holdout_mean_rmse_mV,holdout_mean_pass_fraction,generation_strategy,source_generation_strategy,P_gap_eff_effective_plausible,gamma_t_eff_effective_plausible,gamma_s_eff_effective_plausible,volume_ratio_wa_wo_effective_plausible,effective_plausible,effective_selection_quality_order,effective_selection_quality_score,effective_diverse_selected,effective_selection_strategy,effective_selection_rank,effective_selection_target_k,effective_selection_distance_threshold,effective_selection_min_distance_to_previous,append_pool,hybrid_stage,hybrid_parent_trial_number
3_DH_1_CONTROL,DH,CONTROL,optuna_nsga2_multi_acceptance_archive__3_DH_1_CONTROL__cand_04,all6,optuna,generic_seed,trial_107,optuna_multi,137f527fff0e54d7,1,True,1.7524437395821053,1,40.2023052645072,1.97778285124627e-05,0.2063059042702778,17.380358928769457,0.2313247956358284,1.0792764548678448e-08,4.00968167209241e-06,1.908202647024653e-05,3.728522386607317,6,0,7.66357993890277,2482.2437348355106,0.3399773681347151,0.6600226318652849,0.6666666666666666,2482.2437348355106,0.6600226318652849,0.6666666666666666,48.43890340229253,0.0,0.0,2483.5704241340422,107.0,"[""trace"", ""feature"", ""binary"", ""fail""]","[0.4257544410501539, 0.6600226318652849, 0.6666666666666666, 0.0]",True,True,True,True,1,True,7.66357993890277,0.3399773681347151,optuna_nsga2_multi_acceptance_archive,optuna_nsga2_multi_acceptance_archive,True,True,True,True,True,1,1.0,True,quality_filtered_effective_maximin,1,5,0.5,,append_random_plus_nsga2,,
3_DH_1_CONTROL,DH,CONTROL,optuna_random_acceptance_archive__3_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_22,optuna_scalar,c7f7778ccb02c263,1,True,1.325648482676815,1,1.527060159221693,0.0392840951347922,0.0662411243163617,1.3795577424944472,0.0029978626836734,0.0021014475048247,0.0004778078440182,0.0003120480859813,0.078086972939458,6,0,8.861672688182662,2874.1627223245923,0.3333333333333332,0.6666666666666666,0.1666666666666666,2874.1627223245923,0.6666666666666666,0.1666666666666666,5.893791807389031,0.0,0.0,2874.9960556579254,22.0,"[""scalar""]",[1.3256484826768147],False,True,True,True,1,True,8.861672688182662,0.3333333333333332,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,2,0.8,True,quality_filtered_effective_maximin,2,5,0.5,6.048114764501566,append_random_plus_nsga2,,
3_DH_1_CONTROL,DH,CONTROL,optuna_random_acceptance_archive__3_DH_1_CONTROL__cand_93,all6,optuna,generic_seed,trial_104,optuna_scalar,c7f7778ccb02c263,1,True,1.9901894212152795,1,3.319981520753209,0.0016470698221724,0.1272387537697888,124.46127055608024,0.0093318417257373,1.2892705405728818e-08,0.0030605032101341,6.672023698791058e-08,1.0606002068629998,6,0,11.530515699327884,4906.782021697703,0.317061450969603,0.6829385490303971,0.6666666666666666,4906.782021697703,0.6829385490303971,0.6666666666666666,1734.2861709301644,0.0,0.0,4908.1316269134,104.0,"[""scalar""]",[1.9901894212152795],False,True,True,True,2,True,11.530515699327884,0.317061450969603,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,4,0.4,True,quality_filtered_effective_maximin,3,5,0.5,3.8272262326390933,append_random_plus_nsga2,,
3_DH_1_CONTROL,DH,CONTROL,optuna_random_acceptance_archive__3_DH_1_CONTROL__cand_77,all6,optuna,generic_seed,trial_93,optuna_scalar,c7f7778ccb02c263,1,True,1.868044431526109,1,48.93077791926964,5.153993511603138e-05,11.369278324507132,22.299409162966946,0.0887781969576259,1.494044023881934e-06,3.0445990088982677e-05,0.0002665937817979,0.0535920958745476,6,0,9.209970422966371,3388.659509964004,0.3102872586386888,0.6897127413613111,0.6666666666666666,3388.659509964004,0.6897127413613111,0.6666666666666666,66.21355599102016,0.0,0.0,3390.015889372032,93.0,"[""scalar""]",[1.8680444315261093],False,True,True,True,3,True,9.209970422966371,0.3102872586386888,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,5,0.19999999999999996,True,quality_filtered_effective_maximin,4,5,0.5,3.172715016168134,append_random_plus_nsga2,,
3_DH_1_CONTROL,DH,CONTROL,optuna_random_acceptance_archive__3_DH_1_CONTROL__cand_105,all6,optuna,generic_seed,trial_89,optuna_scalar,c7f7778ccb02c263,1,True,2.255811811780219,1,80.96600504318333,0.054634636643444,6.792583140917074,67.62590571061982,0.0034048829032305,8.226862854559918e-08,2.8689974418147173e-05,0.0001766059473376,0.4730503858787748,6,0,16.041855584701537,8415.803080430269,0.3020690540365326,0.6979309459634674,0.6666666666666666,8415.803080430269,0.6979309459634674,0.6666666666666666,516.858789298942,0.0,0.0,8417.167678042899,89.0,"[""scalar""]",[2.255811811780219],False,True,True,True,4,True,16.041855584701537,0.3020690540365326,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,6,0.0,True,quality_filtered_effective_maximin,5,5,0.5,1.585120652008604,append_random_plus_nsga2,,
DH_1_MFA,DH,MFA,optuna_random_acceptance_archive__DH_1_MFA__cand_12,all6,optuna,generic_seed,trial_77,optuna_scalar,c7f7778ccb02c263,1,True,1.7067672027806684,1,27.713071905323496,4.1442969011363934e-05,0.0107566791304921,79.88841488273788,0.0017519319988736,2.8474649993162884e-07,4.8867593032889744e-08,0.0001880789957018,0.2307371717629052,6,0,8.089413736004987,2636.823637112049,0.4093113381084974,0.5906886618915026,0.6666666666666666,2636.823637112049,0.5906886618915026,0.6666666666666666,717.7578104558569,0.0,0.0,2638.0809924406067,77.0,"[""scalar""]",[1.7067672027806684],False,True,True,True,1,True,8.089413736004987,0.4093113381084974,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,1,1.0,True,quality_filtered_effective_maximin,1,5,0.5,,append_random_plus_nsga2,,
DH_1_MFA,DH,MFA,optuna_random_acceptance_archive__DH_1_MFA__cand_67,all6,optuna,generic_seed,trial_14,optuna_scalar,c7f7778ccb02c263,1,True,1.89109517480846,1,8.937231628119205,7.734482156646794e-05,5.692136092333855e-05,50.64227571054419,26.95903952737453,0.0008092609705736,0.0014601030210159,1.1185744978598897e-08,0.7485397499479053,6,0,10.394369421737936,3813.271899409172,0.353036459732536,0.6469635402674639,0.6666666666666666,3813.271899409172,0.6469635402674639,0.6666666666666666,310.9922918165471,0.0,0.0,3814.5855296161058,14.0,"[""scalar""]",[1.8910951748084601],False,True,True,True,29,True,10.394369421737936,0.353036459732536,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,31,0.719626168224299,True,quality_filtered_effective_maximin,2,5,0.5,7.076297367120573,append_random_plus_nsga2,,
DH_1_MFA,DH,MFA,optuna_random_acceptance_archive__DH_1_MFA__cand_61,all6,optuna,generic_seed,trial_30,optuna_scalar,c7f7778ccb02c263,1,True,1.866590198710094,1,17.100042938675,0.0010140635645866,1.0717213144342974,97.49458961666475,1.9884803343899229,0.0007180702480208,0.0007255717547916,0.0117356251741232,6.314862650808437,6,0,10.128781695902024,3656.555013579648,0.3627865621733515,0.6372134378266484,0.6666666666666666,3656.555013579648,0.6372134378266484,0.6666666666666666,1060.4150004862893,0.0,0.0,3657.858893684141,30.0,"[""scalar""]",[1.8665901987100941],False,True,True,True,24,True,10.128781695902024,0.3627865621733515,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,27,0.7570093457943925,True,quality_filtered_effective_maximin,3,5,0.5,5.8534315639502355,append_random_plus_nsga2,,
DH_1_MFA,DH,MFA,optuna_random_acceptance_archive__DH_1_MFA__cand_32,all6,optuna,generic_seed,trial_104,optuna_scalar,c7f7778ccb02c263,1,True,1.769304857502073,1,3.319981520753209,0.0016470698221724,0.1272387537697888,124.46127055608024,0.0093318417257373,1.2892705405728818e-08,0.0030605032101341,6.672023698791058e-08,1.0606002068629998,6,0,8.413284442914073,2971.6193054823184,0.3647665004375979,0.635233499562402,0.6666666666666666,2971.6193054823184,0.635233499562402,0.6666666666666666,1739.6938151381603,0.0,0.0,2972.921205648547,104.0,"[""scalar""]",[1.769304857502073],False,True,True,True,22,True,8.413284442914073,0.3647665004375979,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,24,0.7850467289719626,True,quality_filtered_effective_maximin,4,5,0.5,4.872997375563501,append_random_plus_nsga2,,
DH_1_MFA,DH,MFA,optuna_random_acceptance_archive__DH_1_MFA__cand_02,all6,optuna,generic_seed,trial_119,optuna_scalar,c7f7778ccb02c263,1,True,1.557950115421595,1,9.600401708278657,0.0003445931091927,0.1916363606968135,32.73808317975963,29.096389960895035,2.521427622701615e-07,1.7887890916820494e-08,1.3338824026767265e-08,9.37019978048466,6,0,4.166087353330069,988.5948219082848,0.3401658486522978,0.6598341513477023,0.6666666666666666,988.5948219082848,0.6598341513477023,0.6666666666666666,149.57552513858326,0.0,0.0,989.9213227262992,119.0,"[""scalar""]",[1.557950115421595],False,True,True,True,48,True,4.166087353330069,0.3401658486522978,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,49,0.5514018691588785,True,quality_filtered_effective_maximin,5,5,0.5,4.471804119403109,append_random_plus_nsga2,,
DH_1_MFA_BA,DH,MFA_BA,optuna_nsga2_multi_acceptance_archive__DH_1_MFA_BA__cand_01,all6,optuna,generic_seed,trial_83,optuna_multi,137f527fff0e54d7,1,True,0.8914630909973563,1,1.6675132417849785,0.0001330003421978,0.002734204649129,140.50949831051017,0.0044279916323101,1.2575549573395233e-08,1.543743400929221e-08,3.850085963315305e-07,0.2644311088245752,6,0,4.260621352238128,1142.508191392756,0.4285714285714285,0.5714285714285713,0.0833333333333333,1142.508191392756,0.5714285714285713,0.0833333333333333,2215.0127953134565,0.0,0.0,1143.1629532975178,83.0,"[""trace"", ""feature"", ""binary"", ""fail""]","[0.23670118623545156, 0.5714285714285714, 0.08333333333333333, 0.0]",True,True,True,True,1,True,4.260621352238128,0.4285714285714285,optuna_nsga2_multi_acceptance_archive,optuna_nsga2_multi_acceptance_archive,True,True,True,True,True,1,1.0,True,quality_filtered_effective_maximin,1,5,0.5,,append_random_plus_nsga2,,
DH_1_MFA_BA,DH,MFA_BA,optuna_random_acceptance_archive__DH_1_MFA_BA__cand_47,all6,optuna,generic_seed,trial_30,optuna_scalar,c7f7778ccb02c263,1,True,1.473339972707923,1,17.100042938675,0.0010140635645866,1.0717213144342974,97.49458961666475,1.9884803343899229,0.0007180702480208,0.0007255717547916,0.0117356251741232,6.314862650808437,6,0,8.685378349955414,2831.461178423601,0.4258477134007112,0.5741522865992886,0.4166666666666667,2831.461178423601,0.5741522865992886,0.4166666666666667,1059.190522273242,0.0,0.0,2832.4519973768665,30.0,"[""scalar""]",[1.473339972707923],False,True,True,True,21,True,8.685378349955414,0.4258477134007112,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,21,0.801980198019802,True,quality_filtered_effective_maximin,2,5,0.5,8.152287645437525,append_random_plus_nsga2,,
DH_1_MFA_BA,DH,MFA_BA,optuna_random_acceptance_archive__DH_1_MFA_BA__cand_52,all6,optuna,generic_seed,trial_14,optuna_scalar,c7f7778ccb02c263,1,True,1.4905021996796948,1,8.937231628119205,7.734482156646794e-05,5.692136092333855e-05,50.64227571054419,26.95903952737453,0.0008092609705736,0.0014601030210159,1.1185744978598897e-08,0.7485397499479053,6,0,8.955986740747427,2971.307767949946,0.4237192859173846,0.5762807140826153,0.4166666666666667,2971.307767949946,0.5762807140826153,0.4166666666666667,304.8060418427141,0.0,0.0,2972.3007153306958,14.0,"[""scalar""]",[1.4905021996796948],False,True,True,True,26,True,8.955986740747427,0.4237192859173846,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,25,0.7623762376237624,True,quality_filtered_effective_maximin,3,5,0.5,6.0994437167913125,append_random_plus_nsga2,,
DH_1_MFA_BA,DH,MFA_BA,optuna_random_acceptance_archive__DH_1_MFA_BA__cand_45,all6,optuna,generic_seed,trial_8,optuna_scalar,c7f7778ccb02c263,1,True,1.472517847938279,1,102.98667678718591,1.97778285124627e-05,0.0018142758011323,17.380358928769457,11.368341439732731,1.0792764548678448e-08,0.0007812113973534,0.0008871588860587,2.379235137455205,6,0,8.67209148880866,2853.232602542397,0.4259316792177576,0.5740683207822423,0.4166666666666667,2853.232602542397,0.5740683207822423,0.4166666666666667,53.89580817985107,0.0,0.0,2854.223337529846,8.0,"[""scalar""]",[1.472517847938279],False,True,True,True,20,True,8.67209148880866,0.4259316792177576,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,20,0.8118811881188119,True,quality_filtered_effective_maximin,4,5,0.5,4.969927124287916,append_random_plus_nsga2,,
DH_1_MFA_BA,DH,MFA_BA,optuna_random_acceptance_archive__DH_1_MFA_BA__cand_58,all6,optuna,generic_seed,trial_80,optuna_scalar,c7f7778ccb02c263,1,True,1.5027122957630554,1,26.447787320935305,0.0232978104226705,7.598186297687711e-05,119.29009677898352,0.008860142951755,0.0042662150252853,1.2229209837458632e-07,2.9206120423162892e-08,2.536943812845334,6,0,9.108649427623684,3041.834951129205,0.4199904502160381,0.5800095497839618,0.4166666666666667,3041.834951129205,0.5800095497839618,0.4166666666666667,1592.188879049187,0.0,0.0,3042.8316273456558,80.0,"[""scalar""]",[1.5027122957630554],False,True,True,True,48,True,9.108649427623684,0.4199904502160381,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,46,0.5544554455445545,True,quality_filtered_effective_maximin,5,5,0.5,4.194968029772792,append_random_plus_nsga2,,
DH_2_CONTROL,DH,CONTROL,optuna_random_acceptance_archive__DH_2_CONTROL__cand_01,all6,optuna,generic_seed,trial_22,optuna_scalar,c7f7778ccb02c263,1,True,1.4098258283005094,1,1.527060159221693,0.0392840951347922,0.0662411243163617,1.3795577424944472,0.0029978626836734,0.0021014475048247,0.0004778078440182,0.0003120480859813,0.078086972939458,6,0,8.160693709475876,2457.8550548164726,0.3768793777814836,0.6231206222185163,0.3333333333333333,2457.8550548164726,0.6231206222185163,0.3333333333333333,5.893791807389031,0.0,0.0,2458.811508772025,22.0,"[""scalar""]",[1.4098258283005094],False,True,True,True,1,True,8.160693709475876,0.3768793777814836,optuna_random_acceptance_archive,optuna_random_acceptance_archive,True,True,True,True,True,1,1.0,True,quality_filtered_effective_maximin,1,5,0.5,,append_random_plus_nsga2,,
DH_2_CONTROL,DH,CONTROL,optuna_nsga2_multi_acceptance_archive__DH_2_CONTROL__cand_04,all6,optuna,generic_seed,trial_107,optuna_multi,137f527fff0e54d7,1,True,1.5275379647656386,1,40.2023052645072,1.97778285124627e-05,0.2063059042702778,99.0296065076597,0.2313247956358284,1.0792764548678448e-08,4.00968167209241e-06,1.6332784823920554e-07,3.728522386607317,6,0,6.633079251493229,1954.8742427713105,0.3409664380950963,0.6590335619049036,0.5,1954.8742427713105,0.6590335619049036,0.5,1104.7337987157075,0.0,0.0,1956.0332763332156,107.0,"[""trace"", ""feature"", ""binary"", ""fail""]","[0.36850440286073494, 0.6590335619049037, 0.5, 0.0]",True,True,True,True,2,True,6.633079251493229,0.3409664380950963,optuna_nsga2_multi_acceptance_archive,optuna_nsga2_multi_acceptance_archive,True,True,True,True,True,3,0.6,True,quality_filtered_effective_maximin,2,5,0.5,6.772953109081665,append_random_plus_nsga2,,
