selection_strategy,file_id,region,condition,accepted_rows,accepted_effective_cluster_count_t0_5,accepted_min_pairwise_effective_log_distance,best_trace_rmse_mV,best_weighted_pass_fraction
baseline_hybrid_tpe_acceptance,3_DH_1_CONTROL,DH,CONTROL,1,1,,15.36486831456813,0.342576008834583
baseline_hybrid_tpe_acceptance,DH_1_MFA,DH,MFA,51,34,0.0,3.759273877029918,0.4096277306186485
baseline_hybrid_tpe_acceptance,DH_1_MFA_BA,DH,MFA_BA,47,27,0.0,2.47525426719317,0.4285714285714285
baseline_hybrid_tpe_acceptance,VH_4_MFA_BA,VH,MFA_BA,50,31,0.0,0.7821601171215677,0.4285714285714285
hybrid_random_acceptance_large_archive,3_DH_1_CONTROL,DH,CONTROL,2,1,0.01595690456452007,8.858725408410933,0.3333333333333332
hybrid_random_acceptance_large_archive,DH_1_MFA,DH,MFA,87,73,0.0,3.7381254364826457,0.3990935910767597
hybrid_random_acceptance_large_archive,DH_1_MFA_BA,DH,MFA_BA,86,69,0.0,2.511543951683057,0.4285714285714285
hybrid_random_acceptance_large_archive,DH_2_CONTROL,DH,CONTROL,2,1,5.765548152569482e-08,8.160693683233243,0.3768797058575499
hybrid_random_acceptance_large_archive,VH_1_MFA,VH,MFA,9,9,1.0816393290654942,4.703936328089789,0.3356320739719932
hybrid_random_acceptance_large_archive,VH_4_MFA_BA,VH,MFA_BA,85,67,0.0,0.750971562276329,0.4285714285714285
hybrid_random_acceptance_large_archive,VH_6_MFA,VH,MFA,9,9,1.0816393290654942,4.13160556743149,0.3356320739719932
optuna_random_acceptance_archive,3_DH_1_CONTROL,DH,CONTROL,4,4,1.585120652008604,8.861672688182662,0.3333333333333332
optuna_random_acceptance_archive,DH_1_MFA,DH,MFA,109,109,0.570481105665474,3.7381254364826457,0.4093113381084974
optuna_random_acceptance_archive,DH_1_MFA_BA,DH,MFA_BA,106,106,0.570481105665474,2.511543951683057,0.4285714285714285
optuna_random_acceptance_archive,DH_2_CONTROL,DH,CONTROL,4,4,1.585120652008604,8.160693709475876,0.3768793777814836
optuna_random_acceptance_archive,VH_1_MFA,VH,MFA,14,14,1.0816393290654942,4.013271611776198,0.3576944007222063
optuna_random_acceptance_archive,VH_4_MFA_BA,VH,MFA_BA,102,102,0.570481105665474,0.750971562276329,0.4285714285714285
optuna_random_acceptance_archive,VH_6_MFA,VH,MFA,14,14,1.0816393290654942,3.452274783970042,0.3576944007222063
optuna_nsga2_multi_acceptance_archive,3_DH_1_CONTROL,DH,CONTROL,2,2,6.048114764501566,7.66357993890277,0.3399773681347151
