selection_strategy,elapsed_s,n_target_cells,n_candidate_rows,n_accepted_rows,n_accepted_cells,median_accepted_rows_per_accepted_cell,median_accepted_effective_clusters_t0_5,cells_with_3plus_effective_clusters_t0_5,effective_diverse_top5_rows,effective_diverse_top5_cells,median_top5_min_pairwise_effective_log_distance,median_top5_effective_cluster_count,mean_best_trace_rmse_mV,mean_best_weighted_pass_fraction,accepted_rows_per_second,accepted_cells_per_minute,strategy_description
canonical_current_full_step04_accepted_only,,9,346,346,8,8.0,3.0,5,27,8,2.070186352396324,3.0,4.701039573824522,0.41565097632616566,,,Current full Step 04 accepted candidates for same target cells; not runtime comparable
optuna_random_trace_shape_archive,78.899,9,1080,353,7,14.0,14.0,7,33,7,2.867061328055375,5.0,4.498364820549544,0.38457938683008347,4.474074449612796,5.323261384808426,"Pure Optuna random trace-shape archive, 120 retained trials"
optuna_random_acceptance_archive,93.117,9,1080,353,7,14.0,14.0,7,33,7,2.867061328055375,5.0,4.498364820549544,0.38457938683008347,3.7909296906042935,4.510454589387544,"Pure Optuna random acceptance-margin, 120 retained trials"
append_random_plus_nsga2,142.707,9,1164,386,7,19.0,17.0,7,35,7,2.867061328055375,5.0,4.086634635184608,0.3855285346588523,2.7048427897720506,2.943093190943682,"Post-run appended candidate pool from: optuna_random_acceptance_archive, optuna_nsga2_multi_acceptance_archive"
append_random_plus_hybrid_random,420.5,9,1926,633,7,23.0,14.0,7,35,7,2.9584585756420747,5.0,4.497943776833208,0.38457943369809294,1.5053507728894173,0.9988109393579072,"Post-run appended candidate pool from: optuna_random_acceptance_archive, hybrid_random_acceptance_large_archive"
append_random_plus_nsga2_plus_hybrid_random,470.09,9,2010,666,7,28.0,17.0,7,35,7,2.867061328055375,5.0,4.086634635184608,0.38552858152686176,1.4167499840456084,0.8934459358846178,"Post-run appended candidate pool from: optuna_random_acceptance_archive, optuna_nsga2_multi_acceptance_archive, hybrid_random_acceptance_large_archive"
append_all_completed_generation_strategies,1084.671,9,3657,1202,7,42.0,17.0,7,35,7,2.867061328055375,5.0,4.081450394543196,0.38594501484257876,1.108170127162983,0.387214187527831,"Post-run appended candidate pool from: baseline_hybrid_tpe_acceptance, hybrid_random_acceptance_large_archive, optuna_random_acceptance_archive, optuna_nsga2_multi_acceptance_archive, least_squares_12starts_soft_l1_bounded, optuna_random_trace_shape_archive"
optuna_nsga2_multi_acceptance_archive,49.59,9,84,33,7,5.0,5.0,5,25,7,4.337814200184454,3.0,4.116811590235547,0.38071887441934005,0.6654567453115547,8.469449485783423,"Optuna NSGA-II multi-objective acceptance-margin, Pareto archive"
hybrid_random_acceptance_large_archive,327.383,9,846,280,7,9.0,9.0,5,29,7,2.7489316230757543,5.0,4.693657419658213,0.3768162336220695,0.8552673779640361,1.282901066946054,"Hybrid random acceptance-margin, 80 trials, larger archive/refine"
baseline_hybrid_tpe_acceptance,243.817,9,459,149,4,48.5,29.0,3,16,4,2.4935068784859835,5.0,5.5953891439781955,0.4023366491490221,0.6111140732598629,0.984344815989041,"Hybrid TPE acceptance-margin, 40 trials, 8 starts"
least_squares_12starts_soft_l1_bounded,291.865,9,108,34,3,11.0,11.0,3,15,3,3.2545172842142263,5.0,2.775027870833796,0.3967416596708229,0.11649221386599969,0.6167234851729395,"Bounded many-start least-squares, 12 starts, soft_l1"
