file_id,region,condition,n_accepted_all6,n_contract_and_plausible,accepted_distinct_clusters_0p5dex,plausible_distinct_clusters_0p5dex,accepted_max_pairwise_log10_distance,plausible_max_pairwise_log10_distance,has_2plus_plausible_distinct_effective_sets
1_DH_1_CONTROL,DH,CONTROL,2,0,2,0,5.229713110370127,,False
1_DH_2_CONTROL,DH,CONTROL,4,0,4,0,6.371891538211885,,False
2_DH_1_CONTROL,DH,CONTROL,2,0,2,0,3.9144392928359464,,False
3_DH_1_CONTROL,DH,CONTROL,3,0,2,0,8.247803283606128,,False
3_DH_2_CONTROL,DH,CONTROL,2,0,2,0,5.270190587525519,,False
DH_1_CONTROL,DH,CONTROL,3,0,3,0,6.403202753746823,,False
DH_2_CONTROL,DH,CONTROL,1,0,1,0,0.0,,False
1_VH_1_CONTROL,VH,CONTROL,4,0,2,0,0.895576428332991,,False
1_VH_2_CONTROL,VH,CONTROL,13,0,3,0,1.2053097673135424,,False
DH_1_MFA,DH,MFA,111,8,70,1,8.399418179652702,0.4827811486882897,False
DH_2_MFA,DH,MFA,105,21,68,8,8.668103905220395,6.452518823052736,True
DH_3_MFA,DH,MFA,111,8,63,1,8.237655613598514,0.4827811505409624,False
DH_4_MFA,DH,MFA,105,8,64,1,8.832801057569961,0.4827811505409624,False
DH_5_MFA,DH,MFA,111,9,61,2,8.68472296298435,3.443526570645448,True
DH_6_MFA,DH,MFA,110,8,68,1,9.326081859938396,0.4827811505409624,False
VH_1_MFA,VH,MFA,2,0,2,0,0.7655521258556603,,False
VH_2_MFA,VH,MFA,3,0,3,0,4.813580059906935,,False
VH_3_MFA,VH,MFA,3,0,3,0,5.268238697874385,,False
VH_4_MFA,VH,MFA,3,0,3,0,4.702716083898414,,False
VH_5_MFA,VH,MFA,3,0,3,0,5.50775930171077,,False
VH_6_MFA,VH,MFA,3,0,3,0,3.37772362686531,,False
VH_7_OG_MFA,VH,MFA,3,0,2,0,1.412216119461573,,False
DH_1_MFA_BA,DH,MFA_BA,110,8,67,1,9.340483030371994,0.4827811460113246,False
DH_2_MFA_BA,DH,MFA_BA,111,8,75,1,7.699898326151862,0.4827812036070718,False
DH_3_MFA_BA,DH,MFA_BA,111,8,64,1,9.340483030371994,0.4827812036070718,False
DH_4_MFA_BA,DH,MFA_BA,111,8,80,1,9.340483030371994,0.4827812053804836,False
DH_5_MFA_BA,DH,MFA_BA,109,8,65,1,9.340483030371994,0.4827812036070718,False
DH_6_MFA_BA,DH,MFA_BA,110,8,74,1,8.008704354678017,0.4827812036070718,False
VH_1_MFA_BA,VH,MFA_BA,105,10,59,3,9.347181084182681,4.113121318124567,True
VH_2_MFA_BA,VH,MFA_BA,110,8,59,1,9.340483030371994,0.48278120360718246,False
VH_3_MFA_BA,VH,MFA_BA,109,8,72,1,8.197428794654003,0.48278120360718246,False
VH_4_MFA_BA,VH,MFA_BA,103,12,62,3,9.340483030371994,4.443597876349683,True
VH_5_MFA_BA,VH,MFA_BA,107,8,70,1,9.340483030371994,0.48278120360718246,False
VH_6_MFA_BA,VH,MFA_BA,109,11,65,4,7.499673208032562,4.089566789353011,True
VH_7_OG_MFA_BA,VH,MFA_BA,98,8,59,1,9.347181084182681,0.4827812053804836,False
