file_id,region,condition,n_accepted_all6,n_effective_plausible,n_all_audited_plausible,effective_plausible_distinct_clusters_0p5dex,all_audited_plausible_distinct_clusters_0p5dex,effective_plausible_max_pairwise_log10_distance,all_audited_plausible_max_pairwise_log10_distance
1_DH_1_CONTROL,DH,CONTROL,2,2,0,2,0,5.229713110370127,
1_DH_2_CONTROL,DH,CONTROL,4,3,0,3,0,5.270190584920884,
2_DH_1_CONTROL,DH,CONTROL,2,2,0,2,0,3.9144392928359464,
3_DH_1_CONTROL,DH,CONTROL,3,1,0,1,0,0.0,
3_DH_2_CONTROL,DH,CONTROL,2,2,0,2,0,5.270190587525519,
DH_1_CONTROL,DH,CONTROL,3,3,0,3,0,6.403202753746823,
DH_2_CONTROL,DH,CONTROL,1,1,0,1,0,0.0,
1_VH_1_CONTROL,VH,CONTROL,4,4,0,2,0,0.895576428332991,
1_VH_2_CONTROL,VH,CONTROL,13,13,0,3,0,1.2053097673135424,
DH_1_MFA,DH,MFA,111,108,8,67,1,7.256450103585063,0.4827811486882897
DH_2_MFA,DH,MFA,105,102,21,65,8,7.839070236852408,6.452518823052736
DH_3_MFA,DH,MFA,111,108,8,60,1,7.172056876228702,0.4827811505409624
DH_4_MFA,DH,MFA,105,101,8,60,1,8.766682129858879,0.4827811505409624
DH_5_MFA,DH,MFA,111,108,9,58,2,7.237508119752705,3.443526570645448
DH_6_MFA,DH,MFA,110,106,8,64,1,7.582764877779237,0.4827811505409624
VH_1_MFA,VH,MFA,2,2,0,2,0,0.7655521258556603,
VH_2_MFA,VH,MFA,3,3,0,3,0,4.813580059906935,
VH_3_MFA,VH,MFA,3,3,0,3,0,5.268238697874385,
VH_4_MFA,VH,MFA,3,3,0,3,0,4.702716083898414,
VH_5_MFA,VH,MFA,3,3,0,3,0,5.50775930171077,
VH_6_MFA,VH,MFA,3,3,0,3,0,3.37772362686531,
VH_7_OG_MFA,VH,MFA,3,3,0,2,0,1.412216119461573,
DH_1_MFA_BA,DH,MFA_BA,110,103,8,62,1,8.873571205114487,0.4827811460113246
DH_2_MFA_BA,DH,MFA_BA,111,108,8,72,1,6.4156827004432415,0.4827812036070718
DH_3_MFA_BA,DH,MFA_BA,111,107,8,61,1,9.111498836115171,0.4827812036070718
DH_4_MFA_BA,DH,MFA_BA,111,107,8,77,1,8.873571205114487,0.4827812053804836
DH_5_MFA_BA,DH,MFA_BA,109,96,8,59,1,8.873571205114487,0.4827812036070718
DH_6_MFA_BA,DH,MFA_BA,110,107,8,71,1,7.908844127343265,0.4827812036070718
VH_1_MFA_BA,VH,MFA_BA,105,101,10,56,3,9.006215467589875,4.113121318124567
VH_2_MFA_BA,VH,MFA_BA,110,96,8,54,1,8.873571205114487,0.48278120360718246
VH_3_MFA_BA,VH,MFA_BA,109,105,8,68,1,7.764772528516694,0.48278120360718246
VH_4_MFA_BA,VH,MFA_BA,103,97,12,58,3,8.873571205114487,4.443597876349683
VH_5_MFA_BA,VH,MFA_BA,107,83,8,56,1,8.873571205114487,0.48278120360718246
VH_6_MFA_BA,VH,MFA_BA,109,101,11,60,4,7.499673208032562,4.089566789353011
VH_7_OG_MFA_BA,VH,MFA_BA,98,95,8,57,1,9.006215467589875,0.4827812053804836
