selection_strategy,region,condition,cells,reviewer_facing_cells,cells_2plus_clusters_t0_5,median_min_distance,median_clusters_t0_5,mean_selected_trace_rmse_mV,mean_selected_weighted_pass_fraction
effective_cluster_medoids_t0_5,DH,CONTROL,7,7,5,3.9144392928359464,2.0,9.87557505206297,0.3332471203247157
effective_cluster_medoids_t0_5,DH,MFA,6,6,6,1.789581228910074,3.0,7.603021913684767,0.39688214455032306
effective_cluster_medoids_t0_5,DH,MFA_BA,6,6,6,1.2047212953036568,3.0,5.037308806112116,0.5003407949884195
effective_cluster_medoids_t0_5,VH,CONTROL,2,0,2,0.4005694951607248,2.5,8.171166188902621,0.32689947741722136
effective_cluster_medoids_t0_5,VH,MFA,7,7,7,2.4591026724248763,3.0,5.53952387143664,0.32737374200941977
effective_cluster_medoids_t0_5,VH,MFA_BA,7,7,7,2.452878259820874,3.0,2.9718029454040966,0.521535573523449
effective_maximin_best_seed,DH,CONTROL,7,7,5,3.9144392928359464,2.0,9.87557505206297,0.3332471203247157
effective_maximin_best_seed,DH,MFA,6,6,6,5.0718965713677076,3.0,7.132099349897026,0.37120486015609994
effective_maximin_best_seed,DH,MFA_BA,6,6,6,5.601960693910154,3.0,4.596351236663454,0.4999692794201409
effective_maximin_best_seed,VH,CONTROL,2,0,2,0.39900819218046246,2.5,8.162433507703419,0.3267507231530142
effective_maximin_best_seed,VH,MFA,7,7,7,2.4591026724248763,3.0,5.53952387143664,0.32737374200941977
effective_maximin_best_seed,VH,MFA_BA,7,7,7,5.347644481576171,3.0,3.555505009379788,0.5065097276157596
quality_filtered_effective_maximin,DH,CONTROL,7,7,5,3.9144392928359464,2.0,9.87557505206297,0.3332471203247157
quality_filtered_effective_maximin,DH,MFA,6,6,6,4.748012234781548,3.0,7.447369384423273,0.37662633092809467
quality_filtered_effective_maximin,DH,MFA_BA,6,6,6,5.153104902280074,3.0,4.982946026792143,0.5001026832879806
quality_filtered_effective_maximin,VH,CONTROL,2,0,2,0.4005694951607248,2.5,8.171166188902621,0.32689947741722136
quality_filtered_effective_maximin,VH,MFA,7,7,7,2.4591026724248763,3.0,5.53952387143664,0.32737374200941977
quality_filtered_effective_maximin,VH,MFA_BA,7,7,7,4.140248014842561,3.0,3.3650125646981395,0.5196139453235988
quality_top_k,DH,CONTROL,7,7,5,3.9144392928359464,2.0,9.87557505206297,0.3332471203247157
quality_top_k,DH,MFA,6,6,6,1.789581228910074,3.0,7.603021913684767,0.39688214455032306
quality_top_k,DH,MFA_BA,6,6,6,0.0,2.0,5.575357570141194,0.5003955044320696
quality_top_k,VH,CONTROL,2,0,2,0.08975493987771077,2.0,8.156679082555861,0.3318517503526513
quality_top_k,VH,MFA,7,7,7,2.4591026724248763,3.0,5.53952387143664,0.32737374200941977
quality_top_k,VH,MFA_BA,7,7,7,0.0,2.0,3.474659458671131,0.5301084099229101
weighted_effective_novelty_quality,DH,CONTROL,7,7,5,3.9144392928359464,2.0,9.87557505206297,0.3332471203247157
weighted_effective_novelty_quality,DH,MFA,6,6,6,4.996905085723087,3.0,7.4795403810255765,0.372924403316056
weighted_effective_novelty_quality,DH,MFA_BA,6,6,6,5.568307824792559,3.0,4.545661113738434,0.5000590494114375
weighted_effective_novelty_quality,VH,CONTROL,2,0,2,0.4005694951607248,2.5,8.171166188902621,0.32689947741722136
weighted_effective_novelty_quality,VH,MFA,7,7,7,2.4591026724248763,3.0,5.53952387143664,0.32737374200941977
weighted_effective_novelty_quality,VH,MFA_BA,7,7,7,5.347644481576171,3.0,3.6154224023896853,0.5156952298942528
