file_id,region,condition,candidate_id,selection_note,mean_trace_rmse_mV,mean_weighted_pass_fraction,accepted_all6
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_10,accepted_best,3.013730012174142,0.6782504003944498,True
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_05,accepted_best,2.1724843650209764,0.6756884149389891,True
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_08,accepted_best,3.20781657829232,0.6754817043551983,True
3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__cand_09,accepted_best,3.5979091692909204,0.675649873091667,True
DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__cand_35,accepted_best,3.207607121057189,0.6689450757025085,True
DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__cand_14,accepted_best,2.7424766541720462,0.6710667062585309,True
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__cand_02,best_nonaccepted,2.460179380511061,0.3791790082930202,False
1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__cand_03,best_nonaccepted,2.6529784464559563,0.3216487897130184,False
2_VH_1_CONTROL,VH,CONTROL,2_VH_1_CONTROL__cand_07,best_nonaccepted,2.794314493767021,0.4543462245353091,False
3_VH_1_CONTROL,VH,CONTROL,3_VH_1_CONTROL__cand_09,best_nonaccepted,2.936416513884033,0.4948981339922255,False
DH_1_MFA,DH,MFA,DH_1_MFA__cand_19,best_nonaccepted,5.197561217160832,1.0,False
DH_2_MFA,DH,MFA,DH_2_MFA__cand_06,accepted_best,3.6508306921706577,1.0,True
DH_3_MFA,DH,MFA,DH_3_MFA__cand_10,accepted_best,3.1651335236031435,1.0,True
DH_4_MFA,DH,MFA,DH_4_MFA__cand_06,best_nonaccepted,5.473054419672542,1.0,False
DH_5_MFA,DH,MFA,DH_5_MFA__cand_01,best_nonaccepted,5.526079646847428,1.0,False
DH_6_MFA,DH,MFA,DH_6_MFA__cand_01,accepted_best,2.8093079379544683,0.9933658351348168,True
VH_1_MFA,VH,MFA,VH_1_MFA__cand_16,accepted_best,2.2704145645043883,0.8568113393464133,True
VH_2_MFA,VH,MFA,VH_2_MFA__cand_10,accepted_best,2.825593619687363,0.8767172303593727,True
VH_3_MFA,VH,MFA,VH_3_MFA__cand_35,best_nonaccepted,5.032500170909528,0.8580983485586753,False
VH_4_MFA,VH,MFA,VH_4_MFA__cand_04,accepted_best,2.820339837864973,0.8582779579985536,True
VH_5_MFA,VH,MFA,VH_5_MFA__cand_13,accepted_best,2.5640945742048014,0.8638527867064295,True
VH_6_MFA,VH,MFA,VH_6_MFA__cand_14,accepted_best,2.080216868818518,0.8534936270091503,True
VH_7_OG_MFA,VH,MFA,VH_7_OG_MFA__cand_09,accepted_best,2.464868154707513,0.9553476387034212,True
DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__cand_18,accepted_best,3.997804457851956,1.0,True
DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__cand_01,accepted_best,2.1549085846808027,1.0,True
DH_3_MFA_BA,DH,MFA_BA,DH_3_MFA_BA__cand_01,accepted_best,1.482898305069652,1.0,True
DH_4_MFA_BA,DH,MFA_BA,DH_4_MFA_BA__cand_20,accepted_best,3.9952887464725406,0.9999998125055362,True
DH_5_MFA_BA,DH,MFA_BA,DH_5_MFA_BA__cand_09,accepted_best,3.281092211571381,1.0,True
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_16,accepted_best,2.8107392102412336,1.0,True
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_01,accepted_best,1.205831576143505,0.9915856850710858,True
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_10,accepted_best,2.140931697919377,0.9843619422102576,True
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_41,accepted_best,3.457861619953276,0.9850682830817792,True
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_10,accepted_best,1.3306135004388242,0.9854570843355812,True
VH_5_MFA_BA,VH,MFA_BA,VH_5_MFA_BA__cand_24,accepted_best,2.740176071848296,0.9889563755180568,True
VH_6_MFA_BA,VH,MFA_BA,VH_6_MFA_BA__cand_01,accepted_best,1.283668530080144,0.98720489078284,True
VH_7_OG_MFA_BA,VH,MFA_BA,VH_7_OG_MFA_BA__cand_15,accepted_best,2.1272817992956505,0.9522273171985948,True
