file_id,region,condition,candidate_id,sweep,current_na,time_ms,vm_observed_mV,vm_predicted_mV,vm_observed_centered_mV,vm_predicted_centered_mV,vm_observed_baseline_mV,vm_predicted_baseline_mV,vm_predicted_baseline_aligned_mV,vm_baseline_delta_pred_minus_obs_mV,stim_onset_s,stim_offset_s,step_source,simulation_health,selection_note,mean_trace_rmse_mV,mean_weighted_pass_fraction,accepted_all6
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,0.0,-60.3027,-89.0,0.07100869565221046,-2.3561081311682415,-60.37370869565221,-86.64389186883176,-62.72981682682045,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,3173.869565217391,-60.38633043478259,-86.25847161940622,-0.012621739130381116,0.3854202494255361,-60.37370869565221,-86.64389186883176,-59.988288446226676,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,6347.739130434782,-60.341182608695675,-86.53166413639599,0.032526086956536915,0.11222773243576967,-60.37370869565221,-86.64389186883176,-60.26148096321644,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,9521.608695652172,-60.40623478260874,-86.75611960126751,-0.03252608695652981,-0.11222773243575546,-60.37370869565221,-86.64389186883176,-60.48593642808797,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,12695.478260869564,-53.2532,-74.18309324649186,7.120508695652212,12.460798622339894,-60.37370869565221,-86.64389186883176,-47.91291007331232,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,15869.347826086954,-53.19083913043492,-75.35603963092598,7.182869565217295,11.287852237905781,-60.37370869565221,-86.64389186883176,-49.08585645774643,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,19043.217391304344,-53.4058,-72.55386748612696,6.967908695652213,14.090024382704797,-60.37370869565221,-86.64389186883176,-46.283684312947415,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,22217.086956521736,-53.408452173913,-72.55386748613584,6.965256521739214,14.090024382695916,-60.37370869565221,-86.64389186883176,-46.2836843129563,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,25390.95652173913,-53.5278,-72.55386748613752,6.845908695652213,14.090024382694239,-60.37370869565221,-86.64389186883176,-46.28368431295797,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,28564.82608695652,-53.5583,-72.55386748613752,6.815408695652209,14.090024382694239,-60.37370869565221,-86.64389186883176,-46.28368431295797,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,31738.69565217391,-60.40358260869577,-85.92238625357575,-0.02987391304355924,0.7215056152560066,-60.37370869565221,-86.64389186883176,-59.652203080396205,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,34912.565217391304,-61.618978260869675,-85.92238626422541,-1.2452695652174626,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,38086.43478260869,-61.3098,-85.92238626422541,-0.9360913043477908,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,41260.30434782608,-61.117417391304585,-85.92238626422541,-0.7437086956523729,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,44434.17391304347,-60.765804347825984,-85.92238626422541,-0.3920956521737722,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,47608.043478260865,-60.637073913043444,-85.92238626422541,-0.2633652173912324,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,50781.91304347826,-60.6079,-85.92238626422541,-0.2341913043477888,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,53955.78260869564,-60.49908260869637,-85.92238626422541,-0.12537391304415735,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,57129.65217391304,-60.6185086956524,-85.92238626422541,-0.24480000000018975,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,60303.52173913043,-60.623813043478165,-85.92238626422541,-0.25010434782595325,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,63477.39130434782,-60.55220434782555,-85.92238626422541,-0.17849565217333918,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,1,50,66651.2608695652,-60.53894347826113,-85.92238626422541,-0.16523478260891977,0.7215056046063495,-60.37370869565221,-86.64389186883176,-59.65220309104586,-26.270183173179547,11.166,31.116,IP_curr,ok,accepted_best,2.935704699090323,0.6637139796176986,True
