file_id,region,condition,n_candidates,n_accepted,n_eligible,accepted_fraction,all_candidates_eligible,any_accepted,cell_reviewer_facing,holdout_pass_count,best_trace_rmse_mV,best_weighted_pass_fraction,holdout_mean_rmse_mV,holdout_mean_pass_fraction,best_hybrid_stage,best_optuna_trial_number,best_optuna_trial_fraction,optuna_best_scalar_objective,optuna_best_by_25_trials,optuna_best_by_50_trials,optuna_best_by_75_trials,optuna_best_by_100_trials,accepted_seen_by_25_trials,accepted_seen_by_50_trials,accepted_seen_by_75_trials,accepted_seen_by_100_trials,post_refinement_parent_improvement_fraction,post_refinement_mean_delta_scalar_objective,acceptance_failure_main_reason,heldout_failure_mode
1_DH_1_CONTROL,DH,CONTROL,111,2,2,0.018018018018018018,False,True,True,3,7.598614341672754,0.3592140714053211,7.581328705455518,0.3596089913772268,scipy_post,59,0.6,299.8525671888993,726.9670483935756,305.1019944748555,299.8525671888993,299.8525671888993,True,True,True,True,0.3333333333333333,2869.597213254508,accepted_exists,rmse_fail_rows=0; feature_fail_rows=3; failed_sweeps=3
1_DH_2_CONTROL,DH,CONTROL,111,4,4,0.036036036036036036,False,True,True,3,13.977227693028652,0.3592629870825042,13.982361406690702,0.3593400005006864,optuna_seeded,96,0.97,2555.4868982068742,3209.469101044511,2992.6058237196307,2667.257449999061,2555.4868982068742,True,True,True,True,1.0,-42.9579756391316,accepted_exists,rmse_fail_rows=0; feature_fail_rows=3; failed_sweeps=3
1_VH_1_CONTROL,VH,CONTROL,111,4,4,0.036036036036036036,False,True,False,1,6.460123378392464,0.3090362481637552,6.452548930367247,0.3093203980865881,optuna_seeded,32,0.33,1747.2398869657957,2258.4241790058136,1747.2398869657957,1747.2398869657957,1747.2398869657957,False,False,False,True,0.3333333333333333,21.058335817925506,accepted_exists,rmse_fail_rows=0; feature_fail_rows=5; failed_sweeps=5
1_VH_2_CONTROL,VH,CONTROL,111,13,13,0.11711711711711711,False,True,False,1,6.896417008210958,0.3864627003840549,6.917792427006322,0.2972629025202522,optuna_seeded,32,0.33,2021.9909571419237,2614.4239388688247,2021.9909571419237,2021.9909571419237,2021.9909571419237,False,False,False,True,0.0,24.39468693360641,accepted_exists,rmse_fail_rows=0; feature_fail_rows=5; failed_sweeps=5
2_DH_1_CONTROL,DH,CONTROL,111,2,2,0.018018018018018018,False,True,True,3,12.448600024573151,0.3592629849136366,12.449729895697262,0.3592784978311763,optuna_seeded,59,0.6,1603.2157843515563,1982.3372317827304,1884.3324432136385,1603.2157843515563,1603.2157843515563,True,True,True,True,0.6666666666666666,3.1165540542181893,accepted_exists,rmse_fail_rows=0; feature_fail_rows=3; failed_sweeps=3
2_VH_1_CONTROL,VH,CONTROL,111,0,0,0.0,False,False,False,1,17.750486192918853,0.2995732272973441,17.854380234709343,0.2491434398589918,optuna_seeded,24,0.25,2446.492382981119,2446.492382981119,2446.492382981119,2446.492382981119,2446.492382981119,False,False,False,False,1.0,-49.6196718438899,feature,rmse_fail_rows=3; feature_fail_rows=5; failed_sweeps=5
3_DH_1_CONTROL,DH,CONTROL,111,3,3,0.02702702702702703,False,True,True,3,15.033451490435638,0.3592629849136366,15.03473662999395,0.3592932305184015,optuna_seeded,28,0.29,3435.2142553278645,3994.301297884341,3435.2142553278645,3435.2142553278645,3435.2142553278645,True,True,True,True,0.6666666666666666,-0.0844804675089108,accepted_exists,rmse_fail_rows=1; feature_fail_rows=3; failed_sweeps=3
3_DH_2_CONTROL,DH,CONTROL,111,2,2,0.018018018018018018,False,True,True,3,14.757077556565273,0.3592629849136366,14.75816737558676,0.3592785028336003,optuna_seeded,90,0.91,3135.569558837133,3881.900401787545,3509.1790723002828,3213.33364265938,3135.569558837133,True,True,True,True,0.0,4.021433507562809,accepted_exists,rmse_fail_rows=1; feature_fail_rows=3; failed_sweeps=3
3_VH_1_CONTROL,VH,CONTROL,111,0,0,0.0,False,False,False,1,7.4334704215152385,0.2889735383457647,7.433474252631195,0.2889742285847283,optuna_seeded,90,0.91,1790.742443912623,1888.5184963505485,1888.5184963505485,1888.5184963505485,1790.742443912623,False,False,False,False,0.3333333333333333,25.01264727855975,feature,rmse_fail_rows=0; feature_fail_rows=5; failed_sweeps=5
DH_1_CONTROL,DH,CONTROL,111,3,3,0.02702702702702703,False,True,True,3,14.37998457908929,0.3598312687182541,14.379885750991996,0.3598628598328197,optuna_seeded,40,0.41,1627.023008660059,2222.4056281703283,1627.023008660059,1627.023008660059,1627.023008660059,True,True,True,True,1.0,-61.89604139501224,accepted_exists,rmse_fail_rows=1; feature_fail_rows=3; failed_sweeps=3
