run_dir,region,condition,cells,accepted_candidates,cells_2plus_eff_t0_5,cells_2plus_all_t0_5,median_eff_clusters_t0_5,median_eff_plausible_n,median_all_plausible_n
outputs/cell_fits,DH,CONTROL,7,17,5,0,2.0,2.0,0.0
outputs/cell_fits,DH,MFA,6,653,6,2,62.0,107.0,8.0
outputs/cell_fits,DH,MFA_BA,6,662,6,0,66.5,107.0,8.0
outputs/cell_fits,VH,CONTROL,2,17,2,0,2.5,8.5,0.0
outputs/cell_fits,VH,MFA,7,20,7,0,3.0,3.0,0.0
outputs/cell_fits,VH,MFA_BA,7,741,7,3,57.0,97.0,8.0
outputs/cell_fits_step04_acceptance_margin_100_all,DH,CONTROL,7,17,5,0,2.0,2.0,0.0
outputs/cell_fits_step04_acceptance_margin_100_all,DH,MFA,6,653,6,2,62.0,107.0,8.0
outputs/cell_fits_step04_acceptance_margin_100_all,DH,MFA_BA,6,662,6,0,66.5,107.0,8.0
outputs/cell_fits_step04_acceptance_margin_100_all,VH,CONTROL,2,17,2,0,2.5,8.5,0.0
outputs/cell_fits_step04_acceptance_margin_100_all,VH,MFA,2,8,2,0,3.5,4.0,0.0
outputs/cell_fits_step04_acceptance_margin_100_all,VH,MFA_BA,7,741,7,3,57.0,97.0,8.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,DH,CONTROL,7,17,5,0,2.0,2.0,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,DH,MFA,6,653,6,2,62.0,107.0,8.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,DH,MFA_BA,6,662,6,0,66.5,107.0,8.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,VH,CONTROL,2,17,2,0,2.5,8.5,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,VH,MFA,2,8,2,0,3.5,4.0,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,VH,MFA_BA,7,741,7,3,57.0,97.0,8.0
outputs/cell_fits_step04_hybrid_2_per_group,DH,MFA,2,6,2,0,2.0,2.5,1.5
outputs/cell_fits_step04_hybrid_2_per_group,DH,MFA_BA,2,6,1,0,1.5,2.5,0.0
outputs/cell_fits_step04_hybrid_2_per_group,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_2_per_group_notebook,DH,MFA,2,6,2,0,2.0,2.5,1.5
outputs/cell_fits_step04_hybrid_2_per_group_notebook,DH,MFA_BA,2,6,1,0,1.5,2.5,0.0
outputs/cell_fits_step04_hybrid_2_per_group_notebook,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group,DH,CONTROL,1,3,1,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group,DH,MFA,2,6,2,0,2.0,3.0,2.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group_notebook,DH,CONTROL,1,3,1,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group_notebook,DH,MFA,2,6,2,0,2.0,3.0,2.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group_notebook,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group_notebook,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_trace_shape_parallel_2_per_group,DH,MFA,2,6,1,0,1.5,2.0,1.5
outputs/cell_fits_step04_hybrid_trace_shape_parallel_2_per_group,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_trace_shape_parallel_2_per_group,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_trace_shape_parallel_2_per_group_notebook,DH,MFA,2,6,1,0,1.5,2.0,1.5
outputs/cell_fits_step04_hybrid_trace_shape_parallel_2_per_group_notebook,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_trace_shape_parallel_2_per_group_notebook,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/cell_fits_step04_model_aligned_demo,DH,CONTROL,7,17,5,0,2.0,2.0,0.0
outputs/cell_fits_step04_model_aligned_demo,DH,MFA,6,653,6,2,62.0,107.0,8.0
outputs/cell_fits_step04_model_aligned_demo,DH,MFA_BA,6,662,6,0,66.5,107.0,8.0
outputs/cell_fits_step04_model_aligned_demo,VH,CONTROL,2,17,2,0,2.5,8.5,0.0
outputs/cell_fits_step04_model_aligned_demo,VH,MFA,7,20,7,0,3.0,3.0,0.0
outputs/cell_fits_step04_model_aligned_demo,VH,MFA_BA,7,741,7,3,57.0,97.0,8.0
outputs/reviewer_synthesis/step04_high_budget_probe_vh_failures,VH,MFA,3,30,2,0,3.0,3.0,0.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_multi_nsga2_24,DH,MFA,1,8,1,0,8.0,8.0,0.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_multi_nsga2_24,DH,MFA_BA,1,4,1,0,4.0,4.0,0.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_multi_nsga2_24,VH,MFA,1,2,1,0,2.0,2.0,0.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_multi_nsga2_24,VH,MFA_BA,1,4,1,0,4.0,4.0,0.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_scalar_random_acceptance_margin_24,DH,MFA,1,22,1,0,21.0,21.0,1.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_scalar_random_acceptance_margin_24,DH,MFA_BA,1,22,1,0,21.0,21.0,1.0
