run_dir,backend,objective,sampler,trials,run_holdout,pre_nfev,post_nfev,refine_top_k,candidate_top_k,hash,quality_cells,quality_reviewer_cells,total_candidates,accepted_candidates,cells_with_accepted,cells_2plus_eff_t0.3,cells_2plus_all_t0.3,median_eff_clusters_t0.3,cells_2plus_eff_t0.5,cells_2plus_all_t0.5,median_eff_clusters_t0.5,cells_2plus_eff_t0.7,cells_2plus_all_t0.7,median_eff_clusters_t0.7,cells_2plus_eff_t1.0,cells_2plus_all_t1.0,median_eff_clusters_t1.0,median_effective_plausible_n,median_all_audited_plausible_n
outputs/cell_fits,hybrid,acceptance_margin,tpe,100.0,True,40.0,20.0,3.0,500.0,e61866f5553ad5be,37,33,2110,2110,35,33,19,67.0,33,5,56.0,33,5,43.0,31,5,29.0,95.0,8.0
outputs/cell_fits_step04_model_aligned_demo,hybrid,acceptance_margin,tpe,100.0,True,40.0,20.0,3.0,500.0,e61866f5553ad5be,37,33,2110,2110,35,33,19,67.0,33,5,56.0,33,5,43.0,31,5,29.0,95.0,8.0
outputs/cell_fits_step04_acceptance_margin_100_all,hybrid,acceptance_margin,tpe,100.0,True,40.0,20.0,3.0,500.0,e61866f5553ad5be,37,26,2098,2098,30,28,19,70.0,28,5,57.5,28,5,44.0,27,5,30.0,96.5,8.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,37,26,2098,2098,30,28,19,70.0,28,5,57.5,28,5,44.0,27,5,30.0,96.5,8.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group,hybrid,metric_scalar,tpe,50.0,True,40.0,20.0,3.0,,541334d2eb6c790d,12,7,21,21,7,7,0,2.0,7,0,2.0,6,0,2.0,6,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group_notebook,,,,,,,,,,,12,7,21,21,7,7,0,2.0,7,0,2.0,6,0,2.0,6,0,2.0,3.0,0.0
outputs/reviewer_synthesis/step04_targeted_vh_high_budget_numerical_health_v2,hybrid,acceptance_margin,tpe,300.0,True,80.0,60.0,5.0,500.0,1710e98be83bf964,11,6,20,20,7,7,0,3.0,7,0,3.0,7,0,3.0,6,0,3.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/acceptance_margin,hybrid,acceptance_margin,tpe,100.0,False,40.0,20.0,3.0,,8e5c33d588c29965,12,0,21,21,7,6,0,3.0,6,0,2.0,6,0,2.0,5,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/balanced_residual,hybrid,balanced_residual,tpe,100.0,False,40.0,20.0,3.0,,c9f93f3036de3bc2,12,0,18,18,6,6,0,2.5,6,0,2.0,6,0,2.0,5,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/trace_shape_log_cosh,hybrid,trace_shape_log_cosh,tpe,100.0,False,40.0,20.0,3.0,,17d22b0b0e704f77,12,0,18,18,6,6,0,3.0,6,0,2.0,6,0,2.0,6,0,2.0,3.0,0.0
outputs/step04_objective_bench_balanced_residual,hybrid,balanced_residual,tpe,20.0,False,10.0,5.0,2.0,,6ca241325ca96350,12,0,18,18,6,6,2,2.0,6,1,2.0,6,1,2.0,5,0,2.0,3.0,0.0
outputs/step04_objective_bench_metric_scalar,hybrid,metric_scalar,tpe,20.0,False,10.0,5.0,2.0,,a5f045985ed0d6c3,12,0,18,18,6,6,2,2.0,6,1,2.0,5,0,2.0,5,0,2.0,3.0,1.0
outputs/step04_objective_bench_trace_shape,hybrid,trace_shape,tpe,20.0,False,10.0,5.0,2.0,,3d915153d7b033cb,12,0,18,18,6,6,3,2.0,6,3,2.0,4,1,2.0,4,1,2.0,3.0,2.0
outputs/cell_fits_step04_hybrid_2_per_group,hybrid,"trace,feature,binary",tpe,50.0,True,40.0,20.0,3.0,,91c5068376273fc2,12,6,18,18,6,6,0,2.0,5,0,2.0,4,0,2.0,4,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_2_per_group_notebook,,,,,,,,,,,12,6,18,18,6,6,0,2.0,5,0,2.0,4,0,2.0,4,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_trace_shape_parallel_2_per_group,hybrid,trace_shape,tpe,50.0,True,40.0,20.0,3.0,,7a92cd75da90603e,12,6,18,18,6,5,0,3.0,5,0,2.0,5,0,2.0,5,0,2.0,3.0,0.0
outputs/cell_fits_step04_hybrid_trace_shape_parallel_2_per_group_notebook,,,,,,,,,,,12,6,18,18,6,5,0,3.0,5,0,2.0,5,0,2.0,5,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/metric_scalar,hybrid,metric_scalar,tpe,100.0,False,40.0,20.0,3.0,,20bec210fe58ab13,12,0,21,21,7,6,0,3.0,5,0,2.0,5,0,2.0,5,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/trace_shape_l1,hybrid,trace_shape_l1,tpe,100.0,False,40.0,20.0,3.0,,9129e66d5391474a,12,0,18,18,6,6,0,3.0,5,0,2.0,5,0,2.0,5,0,2.0,3.0,0.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_scalar_random_acceptance_margin_24,optuna_scalar,acceptance_margin,random,24.0,False,40.0,20.0,3.0,24.0,7ba4070bce232982,6,0,68,68,4,4,0,21.0,4,0,21.0,4,0,19.0,4,0,18.0,21.0,1.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_multi_nsga2_24,optuna_multi,metric_scalar,nsga2,24.0,False,40.0,20.0,3.0,24.0,1aaa0d8cafd4a31f,6,0,18,18,4,4,0,4.0,4,0,4.0,4,0,4.0,4,0,4.0,4.0,0.0
outputs/step04_objective100_screen/balanced_residual,optuna_scalar,balanced_residual,tpe,100.0,False,40.0,20.0,3.0,,9fc1a9971e642917,6,0,10,10,4,3,0,3.0,3,0,2.5,3,0,2.0,3,0,2.0,3.0,0.0
outputs/step04_objective100_screen/acceptance_margin,optuna_scalar,acceptance_margin,tpe,100.0,False,40.0,20.0,3.0,,32bfff584bec05e4,6,0,9,9,3,3,0,3.0,3,0,3.0,3,0,2.0,2,0,2.0,3.0,0.0
