fit_scope,file_id,candidate_id,simulation_health,trace_rmse_mV,trace_objective_loss,pass_stim_end_depolarization_mV,pass_rise_tau_s,pass_undershoot_magnitude_mV,pass_decay_tau_s,weighted_pass_fraction,weighted_feature_penalty,feature_loss,binary_penalty,peak_depolarization_mV,stim_end_depolarization_mV,rise_slope_mV_per_s,rise_tau_s,plateau_slope_mV_per_s,undershoot_magnitude_mV,decay_slope_mV_per_s,decay_tau_s,return_slope_mV_per_s,plateau_reached_sim,has_undershoot_sim,sweep,current_na,region,condition,pass_peak_depolarization_mV,pass_rise_slope_mV_per_s,pass_plateau_slope_mV_per_s,pass_decay_slope_mV_per_s,pass_return_slope_mV_per_s
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_01,ok,0.891730109655093,181.25166335790155,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,7.351695136095643,-0.0014851683014001082,-0.00011822806261310686,62182.31927011741,3.3937134442480596e-05,0.0013548068574777972,,,3.391600447298865e-05,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_01,ok,1.0653448099822451,204.50731635433894,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,10.470628723365948,-0.002782096926438271,-0.00018282801929617434,57270.37225297471,3.398410885189603e-05,0.002651555029288488,,,3.396298690280882e-05,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_01,ok,1.2431950065263493,241.74817058232242,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,13.692265666949538,-0.004124318543688332,-0.0002495848648157291,54860.16019865095,3.403279416449055e-05,0.003993589775802775,,,3.40115489429209e-05,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_01,ok,1.209533990401085,230.66463546676383,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,17.459822167321462,-0.0056970489167866845,-0.00032767936195193727,53283.25245543661,3.408970495998064e-05,0.005566101377780797,,,3.406850685921371e-05,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_01,ok,1.687904301436249,310.6904489145696,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,19.028318251417815,-0.006352709420312408,-0.0003601963610072403,52827.62490494824,3.411343616490206e-05,0.006221670755806485,,,3.4092261280181727e-05,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_01,ok,2.7460297522185946,464.7029206191588,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,20.023185576817966,-0.006768844201801016,-0.0003808221669110835,52578.83420818067,3.4128567388692164e-05,0.006637747513053682,,,3.4107272884760474e-05,True,True,6,175,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_02,ok,0.9533472006139456,195.8358539420162,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,7.378325389697466,-0.008146834994619212,4.2534364994323566e-05,173467.39255851455,-2.0950828097233276e-05,0.008134861453868325,,,1.1237629452793549e-05,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_02,ok,1.182954950137705,237.26860308523416,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,10.510258510708894,-0.00793968215251084,4.792422976555364e-05,219309.90987492766,-3.408171217017108e-05,0.00794139160809948,,,1.0777999416062993e-05,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_02,ok,1.377984061600909,273.73785729093066,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,13.744087943219753,-0.007729780877369308,5.523768213476283e-05,248817.24598234292,-4.692832998898842e-05,0.00774454299121885,,,1.0345795548570556e-05,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_02,ok,1.4232065006257306,302.5226556774226,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,17.52446641232126,-0.007489388720060219,6.517172570258586e-05,268896.76809073554,-6.104558410726831e-05,0.00751808784659147,,,9.892881754581452e-06,True,True,4,125,DH,CONTROL,,,,,
