file_id,region,condition,n_candidates,n_phenotypes,phenotypes,n_mechanism_clusters,mechanism_clusters
1_DH_1_CONTROL,DH,CONTROL,2,1,mixed_local_spatial_buffering,2,M1;M2
1_DH_2_CONTROL,DH,CONTROL,4,2,low_recruitment_local_storage;mixed_local_spatial_buffering,2,M1;M2
1_VH_1_CONTROL,VH,CONTROL,4,1,kir_dominant_local_buffering,1,M2
1_VH_2_CONTROL,VH,CONTROL,13,2,kir_dominant_local_buffering;mixed_local_spatial_buffering,1,M2
2_DH_1_CONTROL,DH,CONTROL,2,1,mixed_local_spatial_buffering,2,M1;M2
3_DH_1_CONTROL,DH,CONTROL,3,1,mixed_local_spatial_buffering,2,M1;M2
3_DH_2_CONTROL,DH,CONTROL,2,1,mixed_local_spatial_buffering,2,M1;M2
DH_1_CONTROL,DH,CONTROL,3,2,available_surface_voltage_coupled_but_ionic_recruitment_low;mixed_local_spatial_buffering,2,M1;M2
DH_1_MFA,DH,MFA,111,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_1_MFA_BA,DH,MFA_BA,110,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_2_CONTROL,DH,CONTROL,1,1,low_recruitment_local_storage,1,M1
DH_2_MFA,DH,MFA,105,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_2_MFA_BA,DH,MFA_BA,111,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_3_MFA,DH,MFA,111,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_3_MFA_BA,DH,MFA_BA,111,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_4_MFA,DH,MFA,105,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_4_MFA_BA,DH,MFA_BA,111,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_5_MFA,DH,MFA,111,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_5_MFA_BA,DH,MFA_BA,109,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_6_MFA,DH,MFA,110,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
DH_6_MFA_BA,DH,MFA_BA,110,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
VH_1_MFA,VH,MFA,2,1,available_surface_voltage_coupled_but_ionic_recruitment_low,1,M2
VH_1_MFA_BA,VH,MFA_BA,105,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
VH_2_MFA,VH,MFA,3,1,kir_dominant_local_buffering,2,M2;M3
VH_2_MFA_BA,VH,MFA_BA,110,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
VH_3_MFA,VH,MFA,3,1,kir_dominant_local_buffering,1,M2
VH_3_MFA_BA,VH,MFA_BA,109,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
VH_4_MFA,VH,MFA,3,2,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering,2,M2;M3
VH_4_MFA_BA,VH,MFA_BA,103,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
VH_5_MFA,VH,MFA,3,3,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage,2,M2;M3
VH_5_MFA_BA,VH,MFA_BA,107,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
VH_6_MFA,VH,MFA,3,2,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering,2,M1;M2
VH_6_MFA_BA,VH,MFA_BA,109,4,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
VH_7_OG_MFA,VH,MFA,3,2,low_recruitment_local_storage;mixed_local_spatial_buffering,2,M1;M2
VH_7_OG_MFA_BA,VH,MFA_BA,98,5,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;low_recruitment_local_storage;mixed_local_spatial_buffering;recruited_surface_gap_assisted_buffering,3,M1;M2;M3
