phenotype_a,phenotype_b,n_cells,strata
available_surface_voltage_coupled_but_ionic_recruitment_low,kir_dominant_local_buffering,22,DH_MFA;DH_MFA_BA;VH_MFA;VH_MFA_BA
available_surface_voltage_coupled_but_ionic_recruitment_low,low_recruitment_local_storage,19,DH_MFA;DH_MFA_BA;VH_MFA;VH_MFA_BA
available_surface_voltage_coupled_but_ionic_recruitment_low,mixed_local_spatial_buffering,20,DH_CONTROL;DH_MFA;DH_MFA_BA;VH_MFA_BA
available_surface_voltage_coupled_but_ionic_recruitment_low,recruited_surface_gap_assisted_buffering,19,DH_MFA;DH_MFA_BA;VH_MFA_BA
kir_dominant_local_buffering,low_recruitment_local_storage,19,DH_MFA;DH_MFA_BA;VH_MFA;VH_MFA_BA
kir_dominant_local_buffering,mixed_local_spatial_buffering,20,DH_MFA;DH_MFA_BA;VH_CONTROL;VH_MFA_BA
kir_dominant_local_buffering,recruited_surface_gap_assisted_buffering,19,DH_MFA;DH_MFA_BA;VH_MFA_BA
low_recruitment_local_storage,mixed_local_spatial_buffering,20,DH_CONTROL;DH_MFA;DH_MFA_BA;VH_MFA;VH_MFA_BA
low_recruitment_local_storage,recruited_surface_gap_assisted_buffering,18,DH_MFA;DH_MFA_BA;VH_MFA_BA
mixed_local_spatial_buffering,recruited_surface_gap_assisted_buffering,19,DH_MFA;DH_MFA_BA;VH_MFA_BA
