region,condition,buffering_phenotype,n_candidates,n_cells,candidate_fraction_within_stratum
DH,CONTROL,available_surface_voltage_coupled_but_ionic_recruitment_low,1,1,0.058823529411764705
DH,CONTROL,low_recruitment_local_storage,3,2,0.17647058823529413
DH,CONTROL,mixed_local_spatial_buffering,13,6,0.7647058823529411
DH,MFA,available_surface_voltage_coupled_but_ionic_recruitment_low,100,6,0.15313935681470137
DH,MFA,kir_dominant_local_buffering,169,6,0.25880551301684535
DH,MFA,low_recruitment_local_storage,106,6,0.16232771822358347
DH,MFA,mixed_local_spatial_buffering,177,6,0.27105666156202146
DH,MFA,recruited_surface_gap_assisted_buffering,101,6,0.1546707503828484
DH,MFA_BA,available_surface_voltage_coupled_but_ionic_recruitment_low,238,6,0.3595166163141994
DH,MFA_BA,kir_dominant_local_buffering,56,6,0.08459214501510574
DH,MFA_BA,low_recruitment_local_storage,129,6,0.19486404833836857
DH,MFA_BA,mixed_local_spatial_buffering,110,6,0.1661631419939577
DH,MFA_BA,recruited_surface_gap_assisted_buffering,129,6,0.19486404833836857
VH,CONTROL,kir_dominant_local_buffering,6,2,0.35294117647058826
VH,CONTROL,mixed_local_spatial_buffering,11,1,0.6470588235294118
VH,MFA,available_surface_voltage_coupled_but_ionic_recruitment_low,6,4,0.3
VH,MFA,kir_dominant_local_buffering,10,5,0.5
VH,MFA,low_recruitment_local_storage,2,2,0.1
VH,MFA,mixed_local_spatial_buffering,2,1,0.1
VH,MFA_BA,available_surface_voltage_coupled_but_ionic_recruitment_low,217,7,0.29284750337381915
VH,MFA_BA,kir_dominant_local_buffering,31,7,0.04183535762483131
VH,MFA_BA,low_recruitment_local_storage,71,6,0.09581646423751687
VH,MFA_BA,mixed_local_spatial_buffering,155,7,0.20917678812415655
VH,MFA_BA,recruited_surface_gap_assisted_buffering,267,7,0.3603238866396761
