selection_strategy,file_id,region,condition,accepted_rows,accepted_effective_cluster_count_t0_5,accepted_min_pairwise_effective_log_distance,best_trace_rmse_mV,best_weighted_pass_fraction
random_acceptance_160_archive,1_DH_1_CONTROL,DH,CONTROL,4,4,1.585120652008604,4.277100859836664,0.3333333333333332
random_acceptance_160_archive,3_DH_1_CONTROL,DH,CONTROL,4,4,1.585120652008604,8.861672688182662,0.3333333333333332
random_acceptance_160_archive,DH_1_MFA,DH,MFA,146,145,0.3280172943120024,3.7381254364826457,0.4093113381084974
random_acceptance_160_archive,DH_1_MFA_BA,DH,MFA_BA,143,142,0.3280172943120024,2.511543951683057,0.4285714285714285
random_acceptance_160_archive,DH_2_CONTROL,DH,CONTROL,4,4,1.585120652008604,8.160693709475876,0.3768793777814836
random_acceptance_160_archive,DH_2_MFA,DH,MFA,146,145,0.3280172943120024,2.1742037880930334,0.4093113381084974
random_acceptance_160_archive,VH_1_MFA,VH,MFA,15,15,1.0816393290654942,4.013271611776198,0.3576944007222063
random_acceptance_160_archive,VH_4_MFA_BA,VH,MFA_BA,137,136,0.3280172943120024,0.750971562276329,0.4498654078575875
random_acceptance_160_archive,VH_6_MFA,VH,MFA,15,15,1.0816393290654942,3.452274783970042,0.3576944007222063
random_acceptance_160_archive,VH_7_OG_MFA_BA,VH,MFA_BA,140,138,0.3280172943120024,0.6266246357368402,0.4306345874651696
nsga2_trace_feature_160_archive_preseed_tpe160,1_DH_1_CONTROL,DH,CONTROL,1,1,,5.597176039583417,0.344036818059144
nsga2_trace_feature_160_archive_preseed_tpe160,3_DH_1_CONTROL,DH,CONTROL,3,3,0.9453910517948882,7.257825632160983,0.3416426348538745
nsga2_trace_feature_160_archive_preseed_tpe160,DH_1_MFA,DH,MFA,9,8,0.49226601332313,3.7381254364826457,0.4135167588755741
nsga2_trace_feature_160_archive_preseed_tpe160,DH_1_MFA_BA,DH,MFA_BA,6,6,1.4747941963496285,2.511543951683057,0.4285714285714285
nsga2_trace_feature_160_archive_preseed_tpe160,DH_2_CONTROL,DH,CONTROL,7,6,0.2135152955832873,5.817994779960986,0.4657665182367025
nsga2_trace_feature_160_archive_preseed_tpe160,DH_2_MFA,DH,MFA,14,12,0.0,2.15669139734178,0.3962818172763573
nsga2_trace_feature_160_archive_preseed_tpe160,VH_1_MFA,VH,MFA,4,4,1.0033446740604477,3.856867521484182,0.3856701955022545
nsga2_trace_feature_160_archive_preseed_tpe160,VH_4_MFA_BA,VH,MFA_BA,10,9,0.0,0.6489786894381588,0.4429221938996597
nsga2_trace_feature_160_archive_preseed_tpe160,VH_6_MFA,VH,MFA,3,3,1.106388048504254,3.663513469326608,0.3578239464822711
