selection_strategy,elapsed_s,n_target_cells,n_candidate_rows,n_accepted_rows,n_accepted_cells,median_accepted_rows_per_accepted_cell,median_accepted_effective_clusters_t0_5,cells_with_3plus_effective_clusters_t0_5,effective_diverse_top5_rows,effective_diverse_top5_cells,median_top5_min_pairwise_effective_log_distance,median_top5_effective_cluster_count,mean_best_trace_rmse_mV,mean_best_weighted_pass_fraction,accepted_cells_per_minute,strategy_description,workers_requested,workers_effective_upper_bound
random_acceptance_160_archive,125.62849701300729,12,1920,1105,10,126.5,126.0,10,50,10,4.360717497886565,5.0,4.0226957531761425,0.571665249910305,4.7759864542348005,"Pure Optuna random acceptance-margin retained archive, 160 trials.",12,12
scipy_seed1_tpe160_pre60_post1,157.20529015098873,12,1944,1210,10,150.5,76.0,10,48,10,2.6877616501140924,5.0,4.190003284760961,0.5558188588908185,3.8166654533300153,"One SciPy prefit seed, TPE Optuna acceptance archive, one small post-refine.",12,12
nsga2_trace_feature_160_archive_adaptive_500,713.4477453319996,12,161,132,10,13.0,10.0,10,49,10,1.536620765233615,5.0,3.9529505950288515,0.6070993062755995,0.8409866089362897,"NSGA-II trace+feature Pareto archive with adaptive extension (target 160, batches of 100 up to 500) and extended trainable parameters.",12,12
nsga2_trace_feature_metric_multi_160_archive,61.8792465019942,12,68,51,10,4.5,4.0,9,38,10,2.0845027292120966,4.0,4.083627519091107,0.5778170071094738,9.696304236359174,"NSGA-II metric_scalar Pareto archive with trace+feature objective names (trace/feature), 160 trials.",12,12
nsga2_multi_160_archive,63.10425923200091,12,113,76,10,6.5,6.5,9,44,10,2.1394391557973678,5.0,4.035179423419529,0.5855726205916518,9.508074530977664,"NSGA-II multi-objective acceptance-margin Pareto archive, 160 trials.",12,12
nsga2_multi_160_archive_refine_all_nfev15,186.17147903500882,12,226,144,10,13.0,8.0,9,47,10,2.137896799432487,5.0,4.032367188474466,0.5863564508445591,3.2228352221833743,"Append raw NSGA-II candidates with SciPy-refined version of every generated candidate, max_nfev=15.",12,12
nsga2_multi_160_archive_refine_all_nfev30,219.21942560099706,12,226,144,10,13.0,8.0,9,47,10,2.137896799432487,5.0,4.032367189484877,0.5863751448196792,2.7369837246634545,"Append raw NSGA-II candidates with SciPy-refined version of every generated candidate, max_nfev=30.",12,12
nsga2_trace_feature_160_archive,59.494499310007086,12,76,54,10,4.0,4.0,8,34,10,1.8140585114257672,3.0,4.081375883743254,0.6028548621774782,10.084965954139543,"NSGA-II acceptance-margin Pareto archive using only trace and feature objectives, 160 trials.",12,12
nsga2_trace_feature_160_archive_feature_focused,62.66955164699175,12,76,54,10,4.0,4.0,8,34,10,1.8140585114257672,3.0,4.081375883743254,0.6028548621774782,9.574027326375505,NSGA-II trace+feature Pareto archive with stronger feature-weighting in scalar ranking.,12,12
nsga2_trace_feature_160_archive_preseed_tpe160,72.03846809899551,12,79,57,10,4.0,4.0,8,34,10,1.674949159438243,3.0,4.081375883743254,0.6030122937240086,8.328883384575557,"NSGA-II trace+feature Pareto archive, 160 trials, pre-seeded with already found accepted candidates from `scipy_seed1_tpe160_pre60_post1`.",12,12
nsga2_trace_feature_160_archive_strict,729.5935042810015,12,161,0,0,0.0,0.0,0,0,0,,0.0,,,,"NSGA-II acceptance-margin trace+feature Pareto archive with strict acceptance contract and adaptive extension (target 160, batches of 100 up to 500 if <3 accepted).",12,12
